Parámetro,Valor
Ra (Promedio Aritmético),1.856 µm
Rq (RMS),2.267 µm
Rp (Pico Máximo),5.424 µm
Rv (Valle Máximo),-5.484 µm
Rt (Altura Total del Perfil),10.908 µm
Rz (ISO 4287:1997),6.554 µm
Rsk (Asimetría),0.058
Rku (Curtosis),2.649
RSm (Anchura Media de Elementos),277.631 µm
Rdq (Pendiente RMS),32.055 µm/mm
Rda (Pendiente Media Absoluta),23.945 µm/mm
Pc (Conteo de Picos),87.20 1/mm
Rpk (Altura de picos que se desgastan),0.693 µm
Rk (Profundidad del núcleo funcional),1.940 µm
Rvk (Profundidad de valles para lubricante),0.403 µm
Mr1 (%),19.17
Mr2 (%),51.18
