x (mm),altura (µm)
0.000000000,-18.544284501
0.000203500,-18.535974470
0.000406900,-18.515664591
0.000610400,-18.503354560
0.000813800,-18.495044682
0.001017300,-18.478734651
0.001220700,-18.466424772
0.001424200,-18.458114741
0.001627600,-18.449804863
0.001831100,-18.429494832
0.002034500,-18.421184953
0.002238000,-18.412874922
0.002441400,-18.396565044
0.002644900,-18.384255013
0.002848300,-18.375945134
0.003051800,-18.359635103
0.003255200,-18.351325225
0.003458700,-18.343015194
0.003662100,-18.334705315
0.003865600,-18.314395284
0.004069000,-18.306085405
0.004272500,-18.297775374
0.004475900,-18.281465496
0.004679400,-18.273155465
0.004882800,-18.264845586
0.005086300,-18.248535555
0.005289700,-18.236225677
0.005493200,-18.227915646
0.005696600,-18.219605767
0.005900100,-18.203295736
0.006103500,-18.194985858
0.006307000,-18.186675827
0.006510400,-18.166365948
0.006713900,-18.158055917
0.006917300,-18.149746039
0.007120800,-18.129436008
0.007324200,-18.121126129
0.007527700,-18.112816098
0.007731100,-18.092506219
0.007934600,-18.084196189
0.008138000,-18.075886310
0.008341500,-18.063576279
0.008544900,-18.043266400
0.008748400,-18.034956369
0.008951800,-18.022646491
0.009155300,-18.002336460
0.009358700,-17.994026581
0.009562200,-17.981716550
0.009765600,-17.961406672
0.009969100,-17.953096641
0.010172500,-17.940786762
0.010376000,-17.928476731
0.010579400,-17.908166853
0.010782900,-17.895856822
0.010986300,-17.883546943
0.011189800,-17.863236912
0.011393200,-17.850927034
0.011596700,-17.838617003
0.011800100,-17.814307124
0.012003600,-17.801997093
0.012207000,-17.789687214
0.012410500,-17.777377183
0.012613900,-17.753067305
0.012817400,-17.740757274
0.013020800,-17.728447395
0.013224300,-17.704137364
0.013427700,-17.691827486
0.013631200,-17.675517455
0.013834600,-17.651207576
0.014038100,-17.638897545
0.014241500,-17.626587667
0.014445000,-17.610277636
0.014648400,-17.585967757
0.014851900,-17.569657726
0.015055300,-17.557347848
0.015258800,-17.529037817
0.015462200,-17.516727938
0.015665700,-17.500417907
0.015869100,-17.476108028
0.016072600,-17.459797998
0.016276000,-17.447488119
0.016479500,-17.419178088
0.016682900,-17.402868209
0.016886400,-17.390558178
0.017089800,-17.374248300
0.017293300,-17.345938269
0.017496700,-17.333628390
0.017700200,-17.317318359
0.017903600,-17.289008481
0.018107100,-17.272698450
0.018310500,-17.260388571
0.018514000,-17.228078540
0.018717400,-17.215768662
0.018920900,-17.199458631
0.019124300,-17.187148752
0.019327800,-17.154838721
0.019531300,-17.142528690
0.019734700,-17.126218812
0.019938200,-17.097908781
0.020141600,-17.081598902
0.020345100,-17.069288871
0.020548500,-17.036978992
0.020752000,-17.024668962
0.020955400,-17.008359083
0.021158900,-16.992049052
0.021362300,-16.963739173
0.021565800,-16.947429142
0.021769200,-16.935119264
0.021972700,-16.902809233
0.022176100,-16.890499354
0.022379600,-16.874189323
0.022583000,-16.845879445
0.022786500,-16.829569414
0.022989900,-16.813259535
0.023193400,-16.800949504
0.023396800,-16.772639626
0.023600300,-16.756329595
0.023803700,-16.740019716
0.024007200,-16.711709685
0.024210600,-16.695399807
0.024414100,-16.683089776
0.024617500,-16.650779897
0.024821000,-16.638469866
0.025024400,-16.622159987
0.025227900,-16.593849956
0.025431300,-16.577540078
0.025634800,-16.561230047
0.025838200,-16.548920168
0.026041700,-16.516610137
0.026245100,-16.504300259
0.026448600,-16.487990228
0.026652000,-16.459680349
0.026855500,-16.443370318
0.027058900,-16.431060440
0.027262400,-16.398750409
0.027465800,-16.386440530
0.027669300,-16.370130499
0.027872700,-16.357820621
0.028076200,-16.325510590
0.028279600,-16.313200711
0.028483100,-16.296890680
0.028686500,-16.268580801
0.028890000,-16.252270771
0.029093400,-16.239960892
0.029296900,-16.211650861
0.029500300,-16.195340982
0.029703800,-16.179030951
0.029907200,-16.166721073
0.030110700,-16.138411042
0.030314100,-16.122101163
0.030517600,-16.109791132
0.030721000,-16.081481254
0.030924500,-16.065171223
0.031127900,-16.052861344
0.031331400,-16.024551313
0.031534800,-16.008241435
0.031738300,-15.995931404
0.031941700,-15.979621525
0.032145200,-15.951311494
0.032348600,-15.939001616
0.032552100,-15.922691585
0.032755500,-15.898381706
0.032959000,-15.882071675
0.033162400,-15.869761796
0.033365900,-15.841451765
0.033569300,-15.829141887
0.033772800,-15.812831856
0.033976200,-15.800521977
0.034179700,-15.776211946
0.034383100,-15.759902068
0.034586600,-15.747592037
0.034790000,-15.723282158
0.034993500,-15.706972127
0.035196900,-15.694662249
0.035400400,-15.670352218
0.035603800,-15.658042339
0.035807300,-15.645732308
0.036010700,-15.617422430
0.036214200,-15.605112399
