x (mm),altura (µm)
0.000000000,-7.910805415
0.000203500,-7.906673637
0.000406900,-7.886541923
0.000610400,-7.878410145
0.000813800,-7.870278431
0.001017300,-7.858146653
0.001220700,-7.846014939
0.001424200,-7.841883160
0.001627600,-7.837751447
0.001831100,-7.817619668
0.002034500,-7.813487955
0.002238000,-7.805356176
0.002441400,-7.793224462
0.002644900,-7.781092684
0.002848300,-7.776960970
0.003051800,-7.760829192
0.003255200,-7.756697478
0.003458700,-7.748565700
0.003662100,-7.744433986
0.003865600,-7.728302208
0.004069000,-7.720170494
0.004272500,-7.716038715
0.004475900,-7.699907002
0.004679400,-7.695775223
0.004882800,-7.687643510
0.005086300,-7.675511731
0.005289700,-7.663380017
0.005493200,-7.659248239
0.005696600,-7.651116525
0.005900100,-7.638984747
0.006103500,-7.634853033
0.006307000,-7.626721255
0.006510400,-7.610589541
0.006713900,-7.602457763
0.006917300,-7.598326049
0.007120800,-7.578194271
0.007324200,-7.574062557
0.007527700,-7.565930778
0.007731100,-7.549799065
0.007934600,-7.541667286
0.008138000,-7.537535573
0.008341500,-7.529403794
0.008544900,-7.509272080
0.008748400,-7.505140302
0.008951800,-7.493008588
0.009155300,-7.476876810
0.009358700,-7.468745096
0.009562200,-7.460613318
0.009765600,-7.440481604
0.009969100,-7.436349826
0.010172500,-7.424218112
0.010376000,-7.416086333
0.010579400,-7.399954620
0.010782900,-7.387822841
0.010986300,-7.379691128
0.011189800,-7.359559349
0.011393200,-7.351427635
0.011596700,-7.339295857
0.011800100,-7.319164143
0.012003600,-7.307032365
0.012207000,-7.298900651
0.012410500,-7.286768873
0.012613900,-7.266637159
0.012817400,-7.258505381
0.013020800,-7.246373667
0.013224300,-7.226241889
0.013427700,-7.214110175
0.013631200,-7.201978396
0.013834600,-7.177846683
0.014038100,-7.169714904
0.014241500,-7.157583191
0.014445000,-7.145451412
0.014648400,-7.121319698
0.014851900,-7.109187920
0.015055300,-7.101056206
0.015258800,-7.072924428
0.015462200,-7.064792714
0.015665700,-7.048660936
0.015869100,-7.028529222
0.016072600,-7.012397444
0.016276000,-7.004265730
0.016479500,-6.976133951
0.016682900,-6.964002238
0.016886400,-6.955870459
0.017089800,-6.939738746
0.017293300,-6.915606967
0.017496700,-6.903475253
0.017700200,-6.891343475
0.017903600,-6.863211761
0.018107100,-6.851079983
0.018310500,-6.838948269
0.018514000,-6.810816491
0.018717400,-6.798684777
0.018920900,-6.786552999
0.019124300,-6.778421285
0.019327800,-6.746289507
0.019531300,-6.738157728
0.019734700,-6.722026014
0.019938200,-6.697894236
0.020141600,-6.681762522
0.020345100,-6.673630744
0.020548500,-6.641499030
0.020752000,-6.633367252
0.020955400,-6.617235538
0.021158900,-6.605103760
0.021362300,-6.580972046
0.021565800,-6.564840267
0.021769200,-6.556708554
0.021972700,-6.524576775
0.022176100,-6.516445062
0.022379600,-6.500313283
0.022583000,-6.476181569
0.022786500,-6.460049791
0.022989900,-6.447918077
0.023193400,-6.435786299
0.023396800,-6.411654585
0.023600300,-6.399522807
0.023803700,-6.383391093
0.024007200,-6.359259315
0.024210600,-6.343127601
0.024414100,-6.334995822
0.024617500,-6.302864109
0.024821000,-6.294732330
0.025024400,-6.278600617
0.025227900,-6.254468838
0.025431300,-6.238337125
0.025634800,-6.226205346
0.025838200,-6.218073632
0.026041700,-6.185941854
0.026245100,-6.177810140
0.026448600,-6.161678362
0.026652000,-6.137546648
0.026855500,-6.121414870
0.027058900,-6.113283156
0.027262400,-6.081151378
0.027465800,-6.073019664
0.027669300,-6.056887885
0.027872700,-6.048756172
0.028076200,-6.020624393
0.028279600,-6.008492680
0.028483100,-5.996360901
0.028686500,-5.968229187
0.028890000,-5.956097409
0.029093400,-5.943965695
0.029296900,-5.919833917
0.029500300,-5.903702203
0.029703800,-5.891570425
0.029907200,-5.883438711
0.030110700,-5.855306933
0.030314100,-5.843175219
0.030517600,-5.831043440
0.030721000,-5.806911727
0.030924500,-5.790779948
0.031127900,-5.782648235
0.031331400,-5.754516456
0.031534800,-5.742384743
0.031738300,-5.730252964
0.031941700,-5.718121250
0.032145200,-5.693989472
0.032348600,-5.681857758
0.032552100,-5.669725980
0.032755500,-5.645594266
0.032959000,-5.633462488
0.033162400,-5.621330774
0.033365900,-5.597198996
0.033569300,-5.585067282
0.033772800,-5.572935503
0.033976200,-5.560803790
0.034179700,-5.540672011
0.034383100,-5.528540298
0.034586600,-5.516408519
0.034790000,-5.496276805
0.034993500,-5.480145027
0.035196900,-5.472013313
0.035400400,-5.447881535
0.035603800,-5.439749821
0.035807300,-5.427618043
0.036010700,-5.403486329
0.036214200,-5.391354551
0.036417600,-5.383222837
0.036621100,-5.375091058
0.036824500,-5.350959345
0.037028000,-5.342827566
0.037231400,-5.330695853
0.037434900,-5.310564074
0.037638300,-5.298432361
0.037841800,-5.290300582
0.038045200,-5.270168868
0.038248700,-5.262037090
0.038452100,-5.249905376
0.038655600,-5.241773598
0.038859000,-5.225641884
0.039062500,-5.213510106
0.039266000,-5.205378327
0.039469400,-5.185246614
0.039672900,-5.177114835
0.039876300,-5.164983121
0.040079800,-5.148851343
0.040283200,-5.140719629
0.040486700,-5.132587851
0.040690100,-5.120456137
0.040893600,-5.104324359
0.041097000,-5.100192645
0.041300500,-5.088060867
0.041503900,-5.075929153
0.041707400,-5.063797374
0.041910800,-5.059665661
0.042114300,-5.039533882
0.042317700,-5.035402169
0.042521200,-5.023270390
0.042724600,-5.019138676
0.042928100,-5.003006898
0.043131500,-4.994875184
0.043335000,-4.990743406
0.043538400,-4.974611692
0.043741900,-4.970479914
0.043945300,-4.962348200
0.044148800,-4.946216422
0.044352200,-4.938084708
0.044555700,-4.933952929
0.044759100,-4.917821216
0.044962600,-4.913689437
0.045166000,-4.905557724
0.045369500,-4.901425945
0.045572900,-4.893294232
0.045776400,-4.885162453
0.045979800,-4.881030739
0.046183300,-4.864898961
0.046386700,-4.860767247
0.046590200,-4.852635469
0.046793600,-4.844503755
0.046997100,-4.836371977
0.047200500,-4.832240263
0.047404000,-4.828108485
0.047607400,-4.815976771
0.047810900,-4.815844992
0.048014300,-4.807713279
0.048217800,-4.799581500
0.048421200,-4.791449787
0.048624700,-4.787318008
0.048828100,-4.775186294
0.049031600,-4.775054516
0.049235000,-4.766922802
0.049438500,-4.766791024
0.049641900,-4.750659310
0.049845400,-4.750527532
0.050048800,-4.746395818
0.050252300,-4.734264040
0.050455700,-4.734132326
0.050659200,-4.726000547
0.050862600,-4.717868834
0.051066100,-4.713737055
0.051269500,-4.709605342
0.051473000,-4.705473563
0.051676400,-4.697341850
0.051879900,-4.693210071
0.052083300,-4.689078357
0.052286800,-4.680946579
0.052490200,-4.672814865
0.052693700,-4.672683087
0.052897100,-4.660551373
0.053100600,-4.656419595
0.053304000,-4.652287881
0.053507500,-4.648156103
0.053710900,-4.636024389
0.053914400,-4.631892610
0.054117800,-4.631760897
0.054321300,-4.615629118
0.054524700,-4.615497405
0.054728200,-4.607365626
0.054931600,-4.595233912
0.055135100,-4.591102134
0.055338500,-4.586970420
0.055542000,-4.570838642
0.055745400,-4.570706928
0.055948900,-4.562575150
0.056152300,-4.558443436
0.056355800,-4.546311658
0.056559200,-4.538179944
0.056762700,-4.534048165
0.056966100,-4.517916452
0.057169600,-4.513784673
0.057373000,-4.505652960
0.057576500,-4.493521181
0.057779900,-4.485389468
0.057983400,-4.481257689
0.058186800,-4.473125975
0.058390300,-4.460994197
0.058593800,-4.448862418
0.058797200,-4.444730705
0.059000700,-4.432598926
0.059204100,-4.420467213
0.059407600,-4.416335434
0.059611000,-4.396203721
0.059814500,-4.392071942
0.060017900,-4.383940228
0.060221400,-4.375808450
0.060424800,-4.359676736
0.060628300,-4.351544958
0.060831700,-4.343413244
0.061035200,-4.327281466
0.061238600,-4.319149752
0.061442100,-4.311017974
0.061645500,-4.294886260
0.061849000,-4.282754481
0.062052400,-4.278622768
0.062255900,-4.266490989
0.062459300,-4.250359276
0.062662800,-4.242227497
0.062866200,-4.234095783
0.063069700,-4.213964005
0.063273100,-4.209832291
0.063476600,-4.201700513
0.063680000,-4.181568799
0.063883500,-4.177437021
0.064086900,-4.165305307
0.064290400,-4.149173529
0.064493800,-4.137041815
0.064697300,-4.132910036
0.064900700,-4.120778323
0.065104200,-4.104646544
0.065307600,-4.096514831
0.065511100,-4.088383052
0.065714500,-4.072251339
0.065918000,-4.064119560
0.066121400,-4.055987846
0.066324900,-4.035856068
0.066528300,-4.031724354
0.066731800,-4.019592576
0.066935200,-4.015460862
0.067138700,-3.995329084
0.067342100,-3.987197370
0.067545600,-3.979065592
0.067749000,-3.962933878
0.067952500,-3.958802099
0.068155900,-3.946670386
0.068359400,-3.930538607
0.068562800,-3.922406894
0.068766300,-3.918275115
0.068969700,-3.906143401
0.069173200,-3.894011623
0.069376600,-3.881879909
0.069580100,-3.877748131
0.069783500,-3.857616417
0.069987000,-3.853484639
0.070190400,-3.845352925
0.070393900,-3.829221147
0.070597300,-3.821089433
0.070800800,-3.812957654
0.071004200,-3.804825941
0.071207700,-3.788694162
0.071411100,-3.780562449
0.071614600,-3.772430670
0.071818000,-3.756298957
0.072021500,-3.748167178
0.072224900,-3.740035464
0.072428400,-3.727903686
0.072631800,-3.715771972
0.072835300,-3.711640194
0.073038700,-3.691508480
0.073242200,-3.687376702
0.073445600,-3.675244988
