Parámetro,Valor
Ra (Promedio Aritmético),8.276 µm
Rq (RMS),9.895 µm
Rp (Pico Máximo),17.368 µm
Rv (Valle Máximo),-20.632 µm
Rt (Altura Total del Perfil),38.000 µm
Rz (ISO 4287:1997),19.181 µm
Rsk (Asimetría),-0.128
Rku (Curtosis),2.083
RSm (Anchura Media de Elementos),1341.634 µm
Rdq (Pendiente RMS),47.818 µm/mm
Rda (Pendiente Media Absoluta),34.735 µm/mm
Pc (Conteo de Picos),145.60 1/mm
Rpk (Altura de picos que se desgastan),0.000 µm
Rk (Profundidad del núcleo funcional),14.975 µm
Rvk (Profundidad de valles para lubricante),1.241 µm
Mr1 (%),62.63
Mr2 (%),97.67
