x (mm),altura (µm)
0.000000000,1.903755549
0.000203500,1.908258497
0.000406900,1.924761197
0.000610400,1.933264145
0.000813800,1.941766845
0.001017300,1.954269793
0.001220700,1.962772494
0.001424200,1.971275441
0.001627600,1.975778142
0.001831100,1.992281089
0.002034500,2.000783790
0.002238000,2.005286737
0.002441400,2.021789438
0.002644900,2.026292385
0.002848300,2.034795086
0.003051800,2.047298033
0.003255200,2.055800734
0.003458700,2.064303681
0.003662100,2.068806382
0.003865600,2.085309329
0.004069000,2.089812030
0.004272500,2.098314977
0.004475900,2.110817678
0.004679400,2.119320625
0.004882800,2.123823326
0.005086300,2.136326273
0.005289700,2.144828974
0.005493200,2.149331921
0.005696600,2.157834622
0.005900100,2.170337569
0.006103500,2.174840270
0.006307000,2.183343218
0.006510400,2.195845918
0.006713900,2.200348866
0.006917300,2.208851566
0.007120800,2.221354514
0.007324200,2.225857214
0.007527700,2.234360162
0.007731100,2.246862862
0.007934600,2.251365810
0.008138000,2.255868510
0.008341500,2.264371458
0.008544900,2.276874158
0.008748400,2.281377106
0.008951800,2.285879806
0.009155300,2.298382754
0.009358700,2.306885454
0.009562200,2.311388402
0.009765600,2.323891102
0.009969100,2.328394050
0.010172500,2.336896750
0.010376000,2.341399698
0.010579400,2.353902398
0.010782900,2.358405346
0.010986300,2.362908046
0.011189800,2.375410994
0.011393200,2.379913694
0.011596700,2.388416642
0.011800100,2.400919342
0.012003600,2.405422290
0.012207000,2.409924990
0.012410500,2.418427938
0.012613900,2.426930638
0.012817400,2.435433586
0.013020800,2.439936286
0.013224300,2.452439234
0.013427700,2.456941935
0.013631200,2.465444882
0.013834600,2.473947583
0.014038100,2.482450530
0.014241500,2.486953231
0.014445000,2.491456178
0.014648400,2.503958879
0.014851900,2.508461826
0.015055300,2.516964527
0.015258800,2.529467474
0.015462200,2.533970175
0.015665700,2.538473122
0.015869100,2.550975823
0.016072600,2.559478770
0.016276000,2.563981471
0.016479500,2.576484418
0.016682900,2.580987119
0.016886400,2.589490066
0.017089800,2.593992767
0.017293300,2.606495714
0.017496700,2.610998415
0.017700200,2.619501362
0.017903600,2.628004063
0.018107100,2.636507010
0.018310500,2.641009711
0.018514000,2.653512658
0.018717400,2.658015359
0.018920900,2.666518307
0.019124300,2.671021007
0.019327800,2.683523955
0.019531300,2.688026902
0.019734700,2.696529603
0.019938200,2.709032550
0.020141600,2.713535251
0.020345100,2.718038198
0.020548500,2.730540899
0.020752000,2.739043846
0.020955400,2.743546547
0.021158900,2.748049494
0.021362300,2.760552195
0.021565800,2.765055142
0.021769200,2.773557843
0.021972700,2.786060790
0.022176100,2.790563491
0.022379600,2.795066438
0.022583000,2.807569139
0.022786500,2.812072086
0.022989900,2.816574787
0.023193400,2.825077734
0.023396800,2.833580435
0.023600300,2.842083382
0.023803700,2.846586083
0.024007200,2.855089031
0.024210600,2.863591731
0.024414100,2.868094679
0.024617500,2.876597379
0.024821000,2.885100327
0.025024400,2.889603027
0.025227900,2.898105975
0.025431300,2.902608675
0.025634800,2.907111623
0.025838200,2.915614323
0.026041700,2.924117271
0.026245100,2.928619971
0.026448600,2.933122919
0.026652000,2.941625619
0.026855500,2.946128567
0.027058900,2.950631267
0.027262400,2.959134215
0.027465800,2.963636915
0.027669300,2.968139863
0.027872700,2.972642563
0.028076200,2.981145511
0.028279600,2.985648211
0.028483100,2.990151159
0.028686500,2.998653859
0.028890000,3.003156807
0.029093400,3.007659507
0.029296900,3.016162455
0.029500300,3.016665155
0.029703800,3.021168103
0.029907200,3.025670803
0.030110700,3.034173751
0.030314100,3.038676451
0.030517600,3.039179399
0.030721000,3.047682099
0.030924500,3.052185047
0.031127900,3.052687748
0.031331400,3.061190695
0.031534800,3.065693396
0.031738300,3.066196343
0.031941700,3.070699044
0.032145200,3.075201991
0.032348600,3.079704692
0.032552100,3.084207639
