Parámetro,Valor
Ra (Promedio Aritmético),2.385 µm
Rq (RMS),2.947 µm
Rp (Pico Máximo),7.392 µm
Rv (Valle Máximo),-6.112 µm
Rt (Altura Total del Perfil),13.504 µm
Rz (ISO 4287:1997),8.734 µm
Rsk (Asimetría),0.121
Rku (Curtosis),2.641
RSm (Anchura Media de Elementos),234.430 µm
Rdq (Pendiente RMS),40.661 µm/mm
Rda (Pendiente Media Absoluta),30.428 µm/mm
Pc (Conteo de Picos),70.60 1/mm
Rpk (Altura de picos que se desgastan),1.419 µm
Rk (Profundidad del núcleo funcional),6.119 µm
Rvk (Profundidad de valles para lubricante),0.827 µm
Mr1 (%),11.22
Mr2 (%),82.87
