x (mm),altura (µm)
0.000000000,11.144264105
0.000203500,11.147947815
0.000406900,11.159631680
0.000610400,11.167315389
0.000813800,11.166999254
0.001017300,11.178682964
0.001220700,11.186366829
0.001424200,11.194050538
0.001627600,11.197734403
0.001831100,11.209418113
0.002034500,11.217101978
0.002238000,11.224785687
0.002441400,11.228469552
0.002644900,11.236153262
0.002848300,11.243837127
0.003051800,11.251520836
0.003255200,11.259204701
0.003458700,11.266888411
0.003662100,11.274572276
0.003865600,11.282255985
0.004069000,11.285939850
0.004272500,11.293623560
0.004475900,11.301307425
0.004679400,11.308991134
0.004882800,11.316674999
0.005086300,11.324358709
0.005289700,11.332042574
0.005493200,11.335726283
0.005696600,11.339410148
0.005900100,11.347093858
0.006103500,11.354777723
0.006307000,11.358461432
0.006510400,11.370145297
0.006713900,11.373829007
0.006917300,11.381512872
0.007120800,11.389196582
0.007324200,11.392880447
0.007527700,11.396564156
0.007731100,11.404248021
0.007934600,11.407931731
0.008138000,11.415615596
0.008341500,11.419299305
0.008544900,11.426983170
0.008748400,11.430666880
0.008951800,11.438350745
0.009155300,11.442034454
0.009358700,11.445718319
0.009562200,11.449402029
0.009765600,11.453085894
0.009969100,11.456769603
0.010172500,11.464453468
0.010376000,11.468137178
0.010579400,11.471821043
0.010782900,11.475504752
0.010986300,11.475188617
0.011189800,11.478872327
0.011393200,11.482556192
0.011596700,11.486239901
0.011800100,11.489923766
0.012003600,11.493607476
0.012207000,11.497291341
0.012410500,11.500975050
0.012613900,11.504658915
0.012817400,11.504342625
0.013020800,11.508026490
0.013224300,11.507710199
0.013427700,11.511394064
0.013631200,11.515077774
0.013834600,11.514761639
0.014038100,11.518445349
0.014241500,11.518129213
0.014445000,11.521812923
0.014648400,11.517496788
0.014851900,11.521180498
0.015055300,11.520864363
0.015258800,11.524548072
0.015462200,11.524231937
0.015665700,11.523915647
0.015869100,11.523599512
0.016072600,11.527283221
0.016276000,11.526967086
0.016479500,11.522650796
0.016682900,11.522334661
0.016886400,11.526018370
0.017089800,11.525702235
0.017293300,11.521385945
0.017496700,11.525069810
0.017700200,11.524753519
0.017903600,11.520437384
0.018107100,11.520121094
0.018310500,11.515804959
0.018514000,11.515488668
0.018717400,11.515172533
0.018920900,11.514856243
0.019124300,11.514540108
0.019327800,11.510223817
0.019531300,11.509907527
0.019734700,11.509591392
0.019938200,11.505275101
0.020141600,11.504958966
0.020345100,11.500642676
0.020548500,11.492326541
0.020752000,11.492010251
0.020955400,11.491694115
0.021158900,11.491377825
0.021362300,11.483061690
0.021565800,11.482745400
0.021769200,11.482429265
0.021972700,11.474112974
0.022176100,11.469796839
0.022379600,11.469480549
0.022583000,11.461164414
0.022786500,11.460848123
0.022989900,11.456531988
0.023193400,11.456215698
0.023396800,11.447899563
0.023600300,11.443583272
0.023803700,11.443267137
0.024007200,11.434950847
0.024210600,11.426634712
0.024414100,11.426318421
0.024617500,11.418002286
0.024821000,11.413685996
0.025024400,11.409369861
0.025227900,11.401053570
0.025431300,11.400737435
0.025634800,11.396421145
0.025838200,11.392105010
0.026041700,11.383788719
0.026245100,11.375472584
0.026448600,11.371156294
0.026652000,11.362840159
0.026855500,11.358523868
0.027058900,11.354207733
0.027262400,11.345891443
0.027465800,11.341575308
0.027669300,11.337259017
0.027872700,11.332942882
0.028076200,11.324626592
0.028279600,11.316310457
0.028483100,11.311994167
0.028686500,11.299678032
0.028890000,11.295361741
0.029093400,11.291045606
0.029296900,11.278729316
0.029500300,11.274413181
0.029703800,11.270096890
0.029907200,11.265780755
0.030110700,11.253464465
0.030314100,11.245148330
0.030517600,11.240832039
0.030721000,11.224515904
0.030924500,11.220199614
0.031127900,11.215883479
0.031331400,11.203567188
0.031534800,11.199251053
0.031738300,11.194934763
0.031941700,11.186618628
0.032145200,11.174302337
0.032348600,11.165986202
0.032552100,11.161669912
0.032755500,11.145353777
0.032959000,11.141037486
0.033162400,11.136721351
0.033365900,11.120405061
0.033569300,11.116088926
0.033772800,11.107772635
0.033976200,11.103456500
0.034179700,11.087140210
0.034383100,11.078824075
0.034586600,11.074507784
0.034790000,11.058191649
0.034993500,11.053875359
0.035196900,11.049559224
0.035400400,11.033242933
0.035603800,11.028926798
0.035807300,11.020610508
0.036010700,11.008294373
0.036214200,10.999978083
0.036417600,10.995661948
0.036621100,10.987345657
0.036824500,10.971029522
0.037028000,10.966713232
0.037231400,10.958397097
0.037434900,10.946080806
0.037638300,10.941764671
0.037841800,10.933448381
0.038045200,10.921132246
0.038248700,10.916815955
0.038452100,10.912499820
0.038655600,10.908183530
0.038859000,10.887867395
0.039062500,10.883551104
0.039266000,10.879234814
0.039469400,10.866918679
0.039672900,10.862602388
0.039876300,10.858286253
0.040079800,10.845969963
0.040283200,10.841653828
0.040486700,10.837337537
0.040690100,10.833021402
0.040893600,10.824705112
0.041097000,10.816388977
0.041300500,10.812072686
0.041503900,10.803756551
0.041707400,10.799440261
0.041910800,10.795124126
0.042114300,10.786807835
0.042317700,10.782491700
0.042521200,10.782175410
0.042724600,10.777859275
0.042928100,10.769542985
0.043131500,10.769226850
