Parámetro,Valor
Ra (Promedio Aritmético),4.023 µm
Rq (RMS),5.092 µm
Rp (Pico Máximo),12.016 µm
Rv (Valle Máximo),-10.696 µm
Rt (Altura Total del Perfil),22.712 µm
Rz (ISO 4287:1997),12.570 µm
Rsk (Asimetría),0.539
Rku (Curtosis),2.949
RSm (Anchura Media de Elementos),380.793 µm
Rdq (Pendiente RMS),40.232 µm/mm
Rda (Pendiente Media Absoluta),30.934 µm/mm
Pc (Conteo de Picos),96.00 1/mm
Rpk (Altura de picos que se desgastan),1.547 µm
Rk (Profundidad del núcleo funcional),3.606 µm
Rvk (Profundidad de valles para lubricante),1.204 µm
Mr1 (%),50.69
Mr2 (%),81.02
