x (mm),altura (µm)
0.000000000,8.570422819
0.000203500,8.576668522
0.000406900,8.586913122
0.000610400,8.593158826
0.000813800,8.595403426
0.001017300,8.605649129
0.001220700,8.611893729
0.001424200,8.618139432
0.001627600,8.624384032
0.001831100,8.634629736
0.002034500,8.640874336
0.002238000,8.647120039
0.002441400,8.657364639
0.002644900,8.663610342
0.002848300,8.669854942
0.003051800,8.680100646
0.003255200,8.682345246
0.003458700,8.688590949
0.003662100,8.694835549
0.003865600,8.705081253
0.004069000,8.711325852
0.004272500,8.717571556
0.004475900,8.727816156
0.004679400,8.730061859
0.004882800,8.736306459
0.005086300,8.746552163
0.005289700,8.752796762
0.005493200,8.759042466
0.005696600,8.765287066
0.005900100,8.771532769
0.006103500,8.777777369
0.006307000,8.784023073
0.006510400,8.790267672
0.006713900,8.796513376
0.006917300,8.802757976
0.007120800,8.809003679
0.007324200,8.815248279
0.007527700,8.821493983
0.007731100,8.827738583
0.007934600,8.833984286
0.008138000,8.840228886
0.008341500,8.842474589
0.008544900,8.848719189
0.008748400,8.854964893
0.008951800,8.861209493
0.009155300,8.867455196
0.009358700,8.869699796
0.009562200,8.875945499
0.009765600,8.882190099
0.009969100,8.888435803
0.010172500,8.890680403
0.010376000,8.896926106
0.010579400,8.903170706
0.010782900,8.905416409
0.010986300,8.911661009
0.011189800,8.917906713
0.011393200,8.920151313
0.011596700,8.922397016
0.011800100,8.928641616
0.012003600,8.934887319
0.012207000,8.937131919
0.012410500,8.939377623
0.012613900,8.945622223
0.012817400,8.951867926
0.013020800,8.954112526
0.013224300,8.960358229
0.013427700,8.962602829
0.013631200,8.964848533
0.013834600,8.971093133
0.014038100,8.973338836
0.014241500,8.979583436
0.014445000,8.981829139
0.014648400,8.984073739
0.014851900,8.990319443
0.015055300,8.992564043
0.015258800,8.998809746
0.015462200,9.001054346
0.015665700,9.003300050
0.015869100,9.009544649
0.016072600,9.011790353
0.016276000,9.014034953
0.016479500,9.020280656
0.016682900,9.022525256
0.016886400,9.024770960
0.017089800,9.027015559
0.017293300,9.033261263
0.017496700,9.035505863
0.017700200,9.037751566
0.017903600,9.043996166
0.018107100,9.046241870
0.018310500,9.048486470
0.018514000,9.054732173
0.018717400,9.056976773
0.018920900,9.059222476
0.019124300,9.061467076
0.019327800,9.067712780
0.019531300,9.069958483
0.019734700,9.072203083
0.019938200,9.078448786
0.020141600,9.080693386
0.020345100,9.082939090
0.020548500,9.089183690
0.020752000,9.091429393
0.020955400,9.093673993
0.021158900,9.099919696
0.021362300,9.102164296
0.021565800,9.104410000
0.021769200,9.106654600
0.021972700,9.108900303
0.022176100,9.115144903
0.022379600,9.117390606
0.022583000,9.123635206
0.022786500,9.125880910
0.022989900,9.128125510
0.023193400,9.134371213
0.023396800,9.136615813
0.023600300,9.142861517
0.023803700,9.145106116
0.024007200,9.151351820
0.024210600,9.153596420
0.024414100,9.155842123
0.024617500,9.162086723
0.024821000,9.168332427
0.025024400,9.170577026
0.025227900,9.176822730
0.025431300,9.179067330
0.025634800,9.185313033
0.025838200,9.187557633
0.026041700,9.193803337
0.026245100,9.200047937
0.026448600,9.202293640
0.026652000,9.208538240
0.026855500,9.214783943
0.027058900,9.217028543
0.027262400,9.223274247
0.027465800,9.229518847
0.027669300,9.231764550
0.027872700,9.238009150
0.028076200,9.244254853
0.028279600,9.250499453
0.028483100,9.252745157
0.028686500,9.258989757
0.028890000,9.265235460
0.029093400,9.267480060
0.029296900,9.277725763
0.029500300,9.279970363
0.029703800,9.286216067
0.029907200,9.292460667
0.030110700,9.298706370
0.030314100,9.300950970
0.030517600,9.307196673
0.030721000,9.313441273
0.030924500,9.319686977
0.031127900,9.325931577
0.031331400,9.332177280
0.031534800,9.334421880
0.031738300,9.340667583
0.031941700,9.346912183
0.032145200,9.353157887
0.032348600,9.359402487
0.032552100,9.361648190
0.032755500,9.371892790
0.032959000,9.374138493
0.033162400,9.380383093
0.033365900,9.386628797
0.033569300,9.392873397
0.033772800,9.399119100
0.033976200,9.401363700
0.034179700,9.411609404
0.034383100,9.413854003
0.034586600,9.420099707
0.034790000,9.426344307
0.034993500,9.432590010
0.035196900,9.438834610
0.035400400,9.445080314
0.035603800,9.447324913
0.035807300,9.453570617
0.036010700,9.459815217
0.036214200,9.466060920
0.036417600,9.472305520
0.036621100,9.474551224
0.036824500,9.484795823
0.037028000,9.487041527
0.037231400,9.493286127
0.037434900,9.499531830
0.037638300,9.505776430
0.037841800,9.508022134
0.038045200,9.518266734
0.038248700,9.520512437
0.038452100,9.526757037
0.038655600,9.529002740
0.038859000,9.539247340
0.039062500,9.541493044
0.039266000,9.547738747
0.039469400,9.553983347
0.039672900,9.560229050
0.039876300,9.562473650
0.040079800,9.568719354
0.040283200,9.574963954
0.040486700,9.581209657
0.040690100,9.583454257
0.040893600,9.589699960
0.041097000,9.595944560
0.041300500,9.602190264
0.041503900,9.608434864
0.041707400,9.610680567
0.041910800,9.616925167
0.042114300,9.623170871
0.042317700,9.629415470
0.042521200,9.631661174
0.042724600,9.637905774
0.042928100,9.644151477
0.043131500,9.646396077
0.043335000,9.652641781
0.043538400,9.658886380
0.043741900,9.665132084
0.043945300,9.667376684
0.044148800,9.673622387
0.044352200,9.679866987
0.044555700,9.682112691
0.044759100,9.688357290
0.044962600,9.694602994
0.045166000,9.700847594
0.045369500,9.703093297
0.045572900,9.709337897
0.045776400,9.715583601
0.045979800,9.717828201
0.046183300,9.724073904
0.046386700,9.730318504
0.046590200,9.732564207
0.046793600,9.738808807
0.046997100,9.745054511
0.047200500,9.747299111
0.047404000,9.753544814
0.047607400,9.759789414
0.047810900,9.766035117
0.048014300,9.768279717
0.048217800,9.774525421
0.048421200,9.780770021
0.048624700,9.783015724
0.048828100,9.789260324
0.049031600,9.795506027
0.049235000,9.797750627
0.049438500,9.803996331
0.049641900,9.810240931
0.049845400,9.812486634
0.050048800,9.818731234
0.050252300,9.824976937
0.050455700,9.831221537
0.050659200,9.833467241
0.050862600,9.839711841
0.051066100,9.845957544
0.051269500,9.848202144
0.051473000,9.854447847
0.051676400,9.860692447
0.051879900,9.862938151
0.052083300,9.869182751
0.052286800,9.875428454
0.052490200,9.881673054
0.052693700,9.883918757
0.052897100,9.890163357
0.053100600,9.896409061
0.053304000,9.902653661
0.053507500,9.904899364
0.053710900,9.911143964
0.053914400,9.917389668
0.054117800,9.923634267
0.054321300,9.929879971
0.054524700,9.932124571
0.054728200,9.938370274
0.054931600,9.944614874
0.055135100,9.950860578
0.055338500,9.953105177
0.055542000,9.963350881
0.055745400,9.965595481
0.055948900,9.971841184
0.056152300,9.974085784
0.056355800,9.984331488
0.056559200,9.986576087
0.056762700,9.992821791
0.056966100,9.999066391
0.057169600,10.005312094
0.057373000,10.007556694
0.057576500,10.013802398
0.057779900,10.020046998
0.057983400,10.026292701
0.058186800,10.028537301
0.058390300,10.034783004
0.058593800,10.041028708
0.058797200,10.047273308
0.059000700,10.053519011
0.059204100,10.055763611
0.059407600,10.062009314
0.059611000,10.068253914
0.059814500,10.074499618
0.060017900,10.076744218
0.060221400,10.082989921
