x (mm),altura (µm)
0.000000000,2.353828688
0.000203500,2.357900290
0.000406900,2.369971857
0.000610400,2.374043459
0.000813800,2.378115027
0.001017300,2.390186629
0.001220700,2.394258196
0.001424200,2.402329798
0.001627600,2.406401365
0.001831100,2.418472967
0.002034500,2.422544534
0.002238000,2.430616136
0.002441400,2.438687703
0.002644900,2.446759305
0.002848300,2.450830873
0.003051800,2.462902475
0.003255200,2.462974042
0.003458700,2.471045644
0.003662100,2.475117211
0.003865600,2.487188813
0.004069000,2.495260380
0.004272500,2.499331982
0.004475900,2.511403549
0.004679400,2.511475151
0.004882800,2.519546719
0.005086300,2.527618321
0.005289700,2.535689888
0.005493200,2.539761490
0.005696600,2.547833057
0.005900100,2.551904659
0.006103500,2.559976226
0.006307000,2.564047828
0.006510400,2.572119395
0.006713900,2.580190997
0.006917300,2.584262565
0.007120800,2.592334167
0.007324200,2.596405734
0.007527700,2.604477336
0.007731100,2.608548903
0.007934600,2.616620505
0.008138000,2.620692072
0.008341500,2.624763674
0.008544900,2.628835241
0.008748400,2.636906843
0.008951800,2.640978411
0.009155300,2.649050013
0.009358700,2.653121580
0.009562200,2.657193182
0.009765600,2.665264749
0.009969100,2.669336351
0.010172500,2.673407918
0.010376000,2.677479520
0.010579400,2.685551087
0.010782900,2.685622689
0.010986300,2.693694257
0.011189800,2.697765859
0.011393200,2.701837426
0.011596700,2.705909028
0.011800100,2.709980595
0.012003600,2.718052197
0.012207000,2.718123764
0.012410500,2.722195366
0.012613900,2.726266933
0.012817400,2.734338535
0.013020800,2.734410103
0.013224300,2.742481705
0.013427700,2.742553272
0.013631200,2.746624874
0.013834600,2.750696441
0.014038100,2.754768043
0.014241500,2.762839610
0.014445000,2.762911212
0.014648400,2.766982779
0.014851900,2.771054381
0.015055300,2.775125949
0.015258800,2.779197551
0.015462200,2.783269118
0.015665700,2.783340720
0.015869100,2.791412287
0.016072600,2.795483889
0.016276000,2.795555456
0.016479500,2.803627058
0.016682900,2.803698625
0.016886400,2.807770227
0.017089800,2.807841795
0.017293300,2.815913397
0.017496700,2.815984964
0.017700200,2.820056566
0.017903600,2.824128133
0.018107100,2.828199735
0.018310500,2.832271302
0.018514000,2.836342904
0.018717400,2.840414471
0.018920900,2.840486073
0.019124300,2.844557641
0.019327800,2.848629243
0.019531300,2.852700845
0.019734700,2.852772412
0.019938200,2.860844014
0.020141600,2.864915581
0.020345100,2.864987183
0.020548500,2.873058750
0.020752000,2.873130352
0.020955400,2.877201920
0.021158900,2.881273522
0.021362300,2.885345089
0.021565800,2.885416691
0.021769200,2.889488258
0.021972700,2.893559860
0.022176100,2.897631427
0.022379600,2.901703029
0.022583000,2.905774596
0.022786500,2.909846198
0.022989900,2.909917766
0.023193400,2.917989368
0.023396800,2.918060935
0.023600300,2.926132537
0.023803700,2.930204104
0.024007200,2.934275706
0.024210600,2.938347273
0.024414100,2.938418875
0.024617500,2.946490442
0.024821000,2.950562044
0.025024400,2.954633612
0.025227900,2.958705214
0.025431300,2.962776781
0.025634800,2.970848383
0.025838200,2.970919950
0.026041700,2.978991552
0.026245100,2.983063119
0.026448600,2.987134721
0.026652000,2.991206288
0.026855500,2.999277890
0.027058900,2.999349458
0.027262400,3.007421060
0.027465800,3.015492627
0.027669300,3.015564229
0.027872700,3.023635796
0.028076200,3.027707398
0.028279600,3.035778965
0.028483100,3.035850567
0.028686500,3.043922134
0.028890000,3.051993736
0.029093400,3.052065304
0.029296900,3.064136906
0.029500300,3.064208473
0.029703800,3.072280075
0.029907200,3.076351642
0.030110700,3.084423244
0.030314100,3.088494811
0.030517600,3.092566413
0.030721000,3.100637980
0.030924500,3.104709582
0.031127900,3.112781150
0.031331400,3.116852752
0.031534800,3.120924319
0.031738300,3.124995921
0.031941700,3.133067488
0.032145200,3.141139090
0.032348600,3.145210657
0.032552100,3.149282259
0.032755500,3.157353826
0.032959000,3.161425428
0.033162400,3.165496996
0.033365900,3.173568598
0.033569300,3.181640165
0.033772800,3.185711767
0.033976200,3.189783334
0.034179700,3.197854936
0.034383100,3.201926503
0.034586600,3.205998105
0.034790000,3.214069672
0.034993500,3.222141274
0.035196900,3.226212842
0.035400400,3.234284444
0.035603800,3.234356011
0.035807300,3.242427613
0.036010700,3.246499180
0.036214200,3.254570782
0.036417600,3.262642349
0.036621100,3.262713951
0.036824500,3.274785518
0.037028000,3.274857120
0.037231400,3.282928688
0.037434900,3.287000290
0.037638300,3.295071857
0.037841800,3.299143459
0.038045200,3.307215026
0.038248700,3.311286628
0.038452100,3.315358195
0.038655600,3.319429797
0.038859000,3.327501364
0.039062500,3.331572966
0.039266000,3.339644569
0.039469400,3.343716136
0.039672900,3.351787738
0.039876300,3.351859305
0.040079800,3.359930907
0.040283200,3.364002474
0.040486700,3.372074076
0.040690100,3.376145643
0.040893600,3.380217245
0.041097000,3.388288812
0.041300500,3.392360415
0.041503900,3.400431982
0.041707400,3.404503584
0.041910800,3.408575151
0.042114300,3.416646753
0.042317700,3.420718320
0.042521200,3.424789922
0.042724600,3.428861489
0.042928100,3.436933091
0.043131500,3.441004659
0.043335000,3.445076261
0.043538400,3.453147828
0.043741900,3.457219430
0.043945300,3.461290997
0.044148800,3.465362599
0.044352200,3.473434166
0.044555700,3.477505768
0.044759100,3.481577335
0.044962600,3.489648937
0.045166000,3.493720505
0.045369500,3.497792107
0.045572900,3.505863674
0.045776400,3.509935276
0.045979800,3.514006843
0.046183300,3.518078445
0.046386700,3.526150012
0.046590200,3.526221614
0.046793600,3.534293181
0.046997100,3.542364783
0.047200500,3.542436351
0.047404000,3.550507953
0.047607400,3.554579520
0.047810900,3.562651122
0.048014300,3.566722689
0.048217800,3.570794291
0.048421200,3.578865858
0.048624700,3.578937460
0.048828100,3.587009027
0.049031600,3.595080629
0.049235000,3.595152197
0.049438500,3.603223799
0.049641900,3.607295366
0.049845400,3.611366968
0.050048800,3.615438535
0.050252300,3.623510137
0.050455700,3.631581704
0.050659200,3.631653306
0.050862600,3.639724873
0.051066100,3.643796475
0.051269500,3.647868043
0.051473000,3.655939645
0.051676400,3.660011212
0.051879900,3.664082814
0.052083300,3.668154381
0.052286800,3.676225983
0.052490200,3.684297550
0.052693700,3.684369152
0.052897100,3.692440719
0.053100600,3.696512321
0.053304000,3.704583889
0.053507500,3.704655491
0.053710900,3.712727058
0.053914400,3.720798660
0.054117800,3.724870227
0.054321300,3.732941829
0.054524700,3.733013396
0.054728200,3.741084998
0.054931600,3.749156565
0.055135100,3.753228167
0.055338500,3.757299735
0.055542000,3.765371337
0.055745400,3.769442904
0.055948900,3.777514506
0.056152300,3.777586073
0.056355800,3.789657675
0.056559200,3.789729242
0.056762700,3.797800844
0.056966100,3.805872411
0.057169600,3.809944013
0.057373000,3.814015581
0.057576500,3.818087183
0.057779900,3.826158750
0.057983400,3.834230352
0.058186800,3.834301919
0.058390300,3.842373521
0.058593800,3.846445123
0.058797200,3.854516690
0.059000700,3.862588292
0.059204100,3.862659859
0.059407600,3.870731462
0.059611000,3.874803029
0.059814500,3.882874631
0.060017900,3.886946198
0.060221400,3.891017800
0.060424800,3.899089367
0.060628300,3.903160969
0.060831700,3.907232536
0.061035200,3.915304138
0.061238600,3.919375705
0.061442100,3.923447308
0.061645500,3.927518875
0.061849000,3.935590477
0.062052400,3.939662044
0.062255900,3.943733646
0.062459300,3.951805213
