Parámetro,Valor
Ra (Promedio Aritmético),1.852 µm
Rq (RMS),2.365 µm
Rp (Pico Máximo),5.900 µm
Rv (Valle Máximo),-4.924 µm
Rt (Altura Total del Perfil),10.824 µm
Rz (ISO 4287:1997),6.664 µm
Rsk (Asimetría),0.596
Rku (Curtosis),2.836
RSm (Anchura Media de Elementos),177.614 µm
Rdq (Pendiente RMS),35.725 µm/mm
Rda (Pendiente Media Absoluta),26.361 µm/mm
Pc (Conteo de Picos),85.60 1/mm
Rpk (Altura de picos que se desgastan),1.456 µm
Rk (Profundidad del núcleo funcional),1.407 µm
Rvk (Profundidad de valles para lubricante),0.707 µm
Mr1 (%),37.12
Mr2 (%),70.35
