x (mm),altura (µm)
0.000000000,10.389647178
0.000203500,10.384375609
0.000406900,10.371102699
0.000610400,10.365831130
0.000813800,10.364558220
0.001017300,10.351286651
0.001220700,10.346013741
0.001424200,10.344742172
0.001627600,10.339469262
0.001831100,10.330197693
0.002034500,10.324924784
0.002238000,10.319653215
0.002441400,10.310380305
0.002644900,10.309108736
0.002848300,10.303835826
0.003051800,10.294564257
0.003255200,10.293291347
0.003458700,10.292019778
0.003662100,10.286746868
0.003865600,10.281475299
0.004069000,10.276202389
0.004272500,10.274930820
0.004475900,10.269657910
0.004679400,10.268386341
0.004882800,10.263113431
0.005086300,10.257841862
0.005289700,10.256568953
0.005493200,10.255297383
0.005696600,10.254024474
0.005900100,10.248752905
0.006103500,10.247479995
0.006307000,10.250208426
0.006510400,10.244935516
0.006713900,10.243663947
0.006917300,10.242391037
0.007120800,10.241119468
0.007324200,10.239846558
0.007527700,10.238574989
0.007731100,10.237302079
0.007934600,10.240030510
0.008138000,10.238757600
0.008341500,10.237486031
0.008544900,10.236213121
0.008748400,10.238941552
0.008951800,10.237668643
0.009155300,10.240397074
0.009358700,10.239124164
0.009562200,10.241852595
0.009765600,10.240579685
0.009969100,10.243308116
0.010172500,10.246035206
0.010376000,10.248763637
0.010579400,10.247490727
0.010782900,10.250219158
0.010986300,10.252946248
0.011189800,10.255674679
0.011393200,10.258401769
0.011596700,10.257130200
0.011800100,10.259857290
0.012003600,10.262585721
0.012207000,10.265312812
0.012410500,10.268041242
0.012613900,10.270768333
0.012817400,10.273496764
0.013020800,10.280223854
0.013224300,10.282952285
0.013427700,10.285679375
0.013631200,10.288407806
0.013834600,10.291134896
0.014038100,10.293863327
0.014241500,10.300590417
0.014445000,10.303318848
0.014648400,10.306045938
0.014851900,10.312774369
0.015055300,10.315501459
0.015258800,10.318229890
0.015462200,10.324956980
0.015665700,10.327685411
0.015869100,10.334412502
0.016072600,10.337140933
0.016276000,10.339868023
0.016479500,10.346596454
0.016682900,10.349323544
0.016886400,10.356051975
0.017089800,10.358779065
0.017293300,10.365507496
0.017496700,10.368234586
0.017700200,10.374963017
0.017903600,10.381690107
0.018107100,10.384418538
0.018310500,10.391145628
0.018514000,10.393874059
0.018717400,10.400601149
0.018920900,10.403329580
0.019124300,10.410056671
0.019327800,10.416785101
0.019531300,10.419513532
0.019734700,10.426240623
0.019938200,10.428969054
0.020141600,10.435696144
0.020345100,10.438424575
0.020548500,10.445151665
0.020752000,10.451880096
0.020955400,10.454607186
0.021158900,10.461335617
0.021362300,10.468062707
0.021565800,10.470791138
0.021769200,10.473518228
0.021972700,10.480246659
0.022176100,10.486973749
0.022379600,10.489702180
0.022583000,10.496429270
0.022786500,10.503157701
0.022989900,10.505884792
0.023193400,10.508613222
0.023396800,10.515340313
0.023600300,10.522068744
0.023803700,10.524795834
0.024007200,10.531524265
0.024210600,10.534251355
0.024414100,10.540979786
0.024617500,10.543706876
0.024821000,10.550435307
0.025024400,10.553162397
0.025227900,10.559890828
0.025431300,10.562617918
0.025634800,10.569346349
0.025838200,10.572073439
0.026041700,10.578801870
0.026245100,10.581528960
0.026448600,10.584257391
0.026652000,10.590984482
0.026855500,10.593712913
0.027058900,10.596440003
0.027262400,10.603168434
0.027465800,10.605895524
0.027669300,10.608623955
0.027872700,10.611351045
0.028076200,10.618079476
0.028279600,10.620806566
0.028483100,10.623534997
0.028686500,10.630262087
0.028890000,10.632990518
0.029093400,10.635717608
0.029296900,10.638446039
0.029500300,10.641173129
0.029703800,10.643901560
0.029907200,10.646628651
0.030110700,10.653357081
0.030314100,10.656084172
0.030517600,10.658812603
0.030721000,10.661539693
0.030924500,10.664268124
0.031127900,10.662995214
0.031331400,10.665723645
0.031534800,10.668450735
0.031738300,10.671179166
0.031941700,10.673906256
0.032145200,10.676634687
0.032348600,10.679361777
0.032552100,10.678090208
0.032755500,10.680817298
0.032959000,10.683545729
0.033162400,10.682272819
0.033365900,10.685001250
0.033569300,10.683728341
0.033772800,10.686456772
0.033976200,10.689183862
0.034179700,10.687912293
0.034383100,10.686639383
0.034586600,10.689367814
0.034790000,10.688094904
0.034993500,10.686823335
0.035196900,10.689550425
0.035400400,10.684278856
0.035603800,10.687005946
0.035807300,10.685734377
0.036010700,10.680461467
0.036214200,10.679189898
0.036417600,10.681916988
0.036621100,10.680645419
0.036824500,10.675372510
0.037028000,10.674100940
0.037231400,10.672828031
0.037434900,10.663556462
0.037638300,10.662283552
0.037841800,10.661011983
0.038045200,10.655739073
0.038248700,10.650467504
0.038452100,10.649194594
0.038655600,10.647923025
0.038859000,10.638650115
0.039062500,10.637378546
0.039266000,10.632106977
0.039469400,10.622834067
0.039672900,10.621562498
0.039876300,10.616289588
0.040079800,10.607018019
0.040283200,10.601745109
0.040486700,10.596473540
0.040690100,10.591200631
0.040893600,10.581929061
0.041097000,10.576656152
0.041300500,10.571384583
0.041503900,10.562111673
0.041707400,10.556840104
0.041910800,10.551567194
0.042114300,10.538295625
0.042317700,10.533022715
0.042521200,10.527751146
0.042724600,10.522478236
0.042928100,10.509206667
0.043131500,10.503933757
0.043335000,10.498662188
0.043538400,10.485389278
0.043741900,10.480117709
0.043945300,10.478844799
0.044148800,10.465573230
0.044352200,10.460300321
0.044555700,10.455028752
0.044759100,10.441755842
0.044962600,10.440484273
0.045166000,10.435211363
0.045369500,10.429939794
0.045572900,10.420666884
0.045776400,10.415395315
0.045979800,10.414122405
0.046183300,10.400850836
0.046386700,10.399577926
0.046590200,10.398306357
0.046793600,10.389033447
0.046997100,10.387761878
0.047200500,10.382488968
0.047404000,10.381217399
0.047607400,10.375944490
0.047810900,10.374672920
0.048014300,10.373400011
0.048217800,10.368128442
0.048421200,10.366855532
0.048624700,10.369583963
0.048828100,10.364311053
0.049031600,10.367039484
0.049235000,10.365766574
0.049438500,10.368495005
0.049641900,10.367222095
0.049845400,10.369950526
0.050048800,10.368677616
0.050252300,10.371406047
0.050455700,10.374133137
0.050659200,10.376861568
0.050862600,10.379588658
0.051066100,10.386317089
0.051269500,10.389044180
0.051473000,10.391772611
0.051676400,10.398499701
0.051879900,10.405228132
0.052083300,10.407955222
0.052286800,10.414683653
0.052490200,10.421410743
0.052693700,10.428139174
0.052897100,10.434866264
0.053100600,10.441594695
0.053304000,10.448321785
0.053507500,10.455050216
0.053710900,10.465777306
0.053914400,10.472505737
0.054117800,10.479232827
0.054321300,10.493961258
0.054524700,10.500688349
0.054728200,10.507416779
0.054931600,10.522143870
0.055135100,10.528872301
0.055338500,10.535599391
0.055542000,10.550327822
0.055745400,10.557054912
0.055948900,10.567783343
0.056152300,10.574510433
0.056355800,10.589238864
0.056559200,10.599965954
0.056762700,10.606694385
0.056966100,10.621421475
0.057169600,10.632149906
0.057373000,10.638876996
0.057576500,10.653605427
0.057779900,10.664332517
0.057983400,10.675060948
0.058186800,10.681788039
0.058390300,10.696516470
0.058593800,10.707244900
0.058797200,10.713971991
0.059000700,10.732700422
0.059204100,10.739427512
0.059407600,10.750155943
0.059611000,10.764883033
0.059814500,10.775611464
0.060017900,10.782338554
0.060221400,10.793066985
0.060424800,10.807794075
0.060628300,10.818522506
0.060831700,10.825249596
0.061035200,10.839978027
0.061238600,10.850705117
0.061442100,10.857433548
0.061645500,10.876160638
0.061849000,10.882889069
0.062052400,10.893616160
0.062255900,10.900344591
0.062459300,10.915071681
0.062662800,10.925800112
0.062866200,10.932527202
0.063069700,10.947255633
0.063273100,10.957982723
0.063476600,10.964711154
0.063680000,10.979438244
0.063883500,10.990166675
0.064086900,10.996893765
0.064290400,11.011622196
0.064493800,11.022349286
0.064697300,11.029077717
0.064900700,11.039804807
0.065104200,11.054533238
0.065307600,11.061260329
0.065511100,11.071988759
0.065714500,11.082715850
0.065918000,11.093444281
0.066121400,11.100171371
0.066324900,11.114899802
0.066528300,11.121626892
0.066731800,11.132355323
0.066935200,11.139082413
0.067138700,11.153810844
0.067342100,11.160537934
0.067545600,11.171266365
0.067749000,11.181993455
0.067952500,11.192721886
0.068155900,11.199448976
0.068359400,11.210177407
0.068562800,11.220904497
0.068766300,11.227632928
0.068969700,11.234360019
0.069173200,11.249088450
0.069376600,11.255815540
0.069580100,11.262543971
0.069783500,11.277271061
0.069987000,11.283999492
0.070190400,11.290726582
0.070393900,11.305455013
0.070597300,11.312182103
0.070800800,11.318910534
0.071004200,11.325637624
0.071207700,11.340366055
0.071411100,11.347093145
0.071614600,11.353821576
0.071818000,11.364548666
0.072021500,11.375277097
0.072224900,11.382004188
0.072428400,11.392732618
0.072631800,11.399459709
0.072835300,11.406188140
0.073038700,11.420915230
0.073242200,11.427643661
0.073445600,11.434370751
0.073649100,11.441099182
0.073852500,11.451826272
0.074056000,11.458554703
0.074259400,11.465281793
0.074462900,11.476010224
0.074666300,11.482737314
0.074869800,11.489465745
0.075073200,11.504192835
0.075276700,11.510921266
0.075480100,11.517648356
0.075683600,11.524376787
0.075887000,11.535103878
0.076090500,11.541832309
0.076293900,11.548559399
0.076497400,11.559287830
0.076700800,11.566014920
0.076904300,11.572743351
0.077107700,11.583470441
0.077311200,11.590198872
0.077514600,11.596925962
0.077718100,11.603654393
0.077921500,11.614381483
0.078125000,11.621109914
0.078328500,11.627838345
0.078531900,11.638565435
0.078735400,11.641293866
0.078938800,11.648020956
0.079142300,11.658749387
0.079345700,11.665476477
0.079549200,11.672204908
0.079752600,11.678931999
0.079956100,11.689660430
0.080159500,11.696387520
0.080363000,11.703115951
0.080566400,11.709843041
0.080769900,11.716571472
0.080973300,11.723298562
0.081176800,11.734026993
0.081380200,11.740754083
0.081583700,11.747482514
0.081787100,11.754209604
0.081990600,11.760938035
0.082194000,11.767665125
0.082397500,11.774393556
0.082600900,11.785120646
0.082804400,11.787849077
0.083007800,11.794576168
0.083211300,11.805304598
0.083414700,11.808031689
0.083618200,11.814760120
0.083821600,11.825487210
0.084025100,11.828215641
0.084228500,11.834942731
0.084432000,11.841671162
0.084635400,11.848398252
0.084838900,11.855126683
0.085042300,11.861853773
0.085245800,11.868582204
0.085449200,11.875309294
0.085652700,11.878037725
0.085856100,11.888764815
0.086059600,11.891493246
0.086263000,11.898220336
0.086466500,11.904948767
0.086669900,11.911675858
0.086873400,11.914404289
0.087076800,11.921131379
0.087280300,11.927859810
0.087483700,11.934586900
0.087687200,11.937315331
0.087890600,11.944042421
0.088094100,11.950770852
0.088297500,11.953497942
0.088501000,11.960226373
0.088704400,11.966953463
0.088907900,11.969681894
0.089111300,11.976408984
0.089314800,11.983137415
0.089518200,11.985864505
0.089721700,11.992592936
0.089925100,11.999320027
0.090128600,12.002048457
0.090332000,12.004775548
0.090535500,12.011503979
0.090738900,12.018231069
0.090942400,12.020959500
0.091145800,12.023686590
0.091349300,12.030415021
0.091552700,12.033142111
0.091756200,12.039870542
0.091959600,12.042597632
0.092163100,12.049326063
0.092366500,12.052053153
0.092570000,12.058781584
0.092773400,12.061508674
0.092976900,12.064237105
0.093180300,12.066964195
0.093383800,12.073692626
0.093587200,12.076419717
0.093790700,12.079148148
0.093994100,12.085875238
0.094197600,12.088603669
0.094401000,12.091330759
0.094604500,12.094059190
0.094807900,12.096786280
0.095011400,12.103514711
0.095214800,12.106241801
0.095418300,12.108970232
0.095621700,12.111697322
0.095825200,12.114425753
0.096028600,12.117152843
0.096232100,12.119881274
0.096435500,12.122608364
0.096639000,12.125336795
0.096842400,12.128063886
0.097045900,12.134792316
0.097249300,12.137519407
0.097452800,12.140247838
0.097656200,12.138974928
0.097859700,12.141703359
0.098063200,12.144431790
0.098266600,12.147158880
0.098470100,12.149887311
0.098673500,12.152614401
0.098877000,12.155342832
0.099080400,12.158069922
0.099283900,12.160798353
0.099487300,12.163525443
0.099690800,12.162253874
0.099894200,12.164980964
0.100097700,12.167709395
0.100301100,12.170436485
0.100504600,12.169164916
0.100708000,12.171892007
0.100911500,12.174620437
0.101114900,12.177347528
0.101318400,12.176075959
0.101521800,12.178803049
0.101725300,12.181531480
0.101928700,12.180258570
0.102132200,12.182987001
