x (mm),altura (µm)
0.000000000,2.562823922
0.000203500,2.554715564
0.000406900,2.542607259
0.000610400,2.534498900
0.000813800,2.530390595
0.001017300,2.522282237
0.001220700,2.514173932
0.001424200,2.510065574
0.001627600,2.501957269
0.001831100,2.489848910
0.002034500,2.489740605
0.002238000,2.481632247
0.002441400,2.473523942
0.002644900,2.465415584
0.002848300,2.461307279
0.003051800,2.453198921
0.003255200,2.449090616
0.003458700,2.444982257
0.003662100,2.440873952
0.003865600,2.432765594
0.004069000,2.428657289
0.004272500,2.428548931
0.004475900,2.420440626
0.004679400,2.416332268
0.004882800,2.412223963
0.005086300,2.408115604
0.005289700,2.408007299
0.005493200,2.403898941
0.005696600,2.403790636
0.005900100,2.395682278
0.006103500,2.395573973
0.006307000,2.395465615
0.006510400,2.391357310
0.006713900,2.391248951
0.006917300,2.391140646
0.007120800,2.387032288
0.007324200,2.390923983
0.007527700,2.390815625
0.007731100,2.386707320
0.007934600,2.386598962
0.008138000,2.386490657
0.008341500,2.386382298
0.008544900,2.390273993
0.008748400,2.390165635
0.008951800,2.390057330
0.009155300,2.393948972
0.009358700,2.393840667
0.009562200,2.397732309
0.009765600,2.401624004
0.009969100,2.401515645
0.010172500,2.401407340
0.010376000,2.405298982
0.010579400,2.413190677
0.010782900,2.413082319
0.010986300,2.416974014
0.011189800,2.420865656
0.011393200,2.420757351
0.011596700,2.424648992
0.011800100,2.432540687
0.012003600,2.436432329
0.012207000,2.440324024
0.012410500,2.444215666
0.012613900,2.448107361
0.012817400,2.455999002
0.013020800,2.459890697
0.013224300,2.467782339
0.013427700,2.471674034
0.013631200,2.475565676
0.013834600,2.487457371
0.014038100,2.491349013
0.014241500,2.495240708
0.014445000,2.499132349
0.014648400,2.511024044
0.014851900,2.518915686
0.015055300,2.522807381
0.015258800,2.534699023
0.015462200,2.538590718
0.015665700,2.542482360
0.015869100,2.554374055
0.016072600,2.566265696
0.016276000,2.570157391
0.016479500,2.582049033
0.016682900,2.589940728
0.016886400,2.593832370
0.017089800,2.605724065
0.017293300,2.617615707
0.017496700,2.625507402
0.017700200,2.629399043
0.017903600,2.645290738
0.018107100,2.653182380
0.018310500,2.661074075
0.018514000,2.676965717
0.018717400,2.680857412
0.018920900,2.688749054
0.019124300,2.700640749
0.019327800,2.716532390
0.019531300,2.724424032
0.019734700,2.732315727
0.019938200,2.748207369
0.020141600,2.760099064
0.020345100,2.767990706
0.020548500,2.783882401
0.020752000,2.791774042
0.020955400,2.799665737
0.021158900,2.807557379
0.021362300,2.827449074
0.021565800,2.835340716
0.021769200,2.843232411
0.021972700,2.859124053
0.022176100,2.867015748
0.022379600,2.878907389
0.022583000,2.894799084
0.022786500,2.906690726
0.022989900,2.914582421
0.023193400,2.922474063
0.023396800,2.942365758
0.023600300,2.950257400
0.023803700,2.958149095
0.024007200,2.978040736
0.024210600,2.985932431
0.024414100,2.997824073
0.024617500,3.013715768
0.024821000,3.021607410
0.025024400,3.029499105
0.025227900,3.045390746
0.025431300,3.057282441
0.025634800,3.065174083
0.025838200,3.073065778
0.026041700,3.092957420
0.026245100,3.100849115
0.026448600,3.108740757
0.026652000,3.128632452
0.026855500,3.136524093
0.027058900,3.144415788
0.027262400,3.156307430
0.027465800,3.164199125
0.027669300,3.176090767
0.027872700,3.183982462
0.028076200,3.199874104
0.028279600,3.207765799
0.028483100,3.215657440
0.028686500,3.231549135
0.028890000,3.239440777
0.029093400,3.247332472
0.029296900,3.259224114
0.029500300,3.267115809
0.029703800,3.279007451
0.029907200,3.282899146
0.030110700,3.298790787
0.030314100,3.302682482
0.030517600,3.310574124
0.030721000,3.326465819
0.030924500,3.334357461
0.031127900,3.338249156
0.031331400,3.350140798
0.031534800,3.358032493
0.031738300,3.365924134
0.031941700,3.373815829
0.032145200,3.381707471
0.032348600,3.389599166
0.032552100,3.393490808
0.032755500,3.405382503
0.032959000,3.413274145
0.033162400,3.421165840
0.033365900,3.429057481
0.033569300,3.432949176
0.033772800,3.440840818
0.033976200,3.448732513
0.034179700,3.456624155
0.034383100,3.460515850
0.034586600,3.468407492
0.034790000,3.476299187
0.034993500,3.484190828
0.035196900,3.488082523
0.035400400,3.495974165
0.035603800,3.499865860
0.035807300,3.503757502
0.036010700,3.515649197
