Parámetro,Valor
Ra (Promedio Aritmético),2.921 µm
Rq (RMS),3.824 µm
Rp (Pico Máximo),7.760 µm
Rv (Valle Máximo),-10.684 µm
Rt (Altura Total del Perfil),18.444 µm
Rz (ISO 4287:1997),13.091 µm
Rsk (Asimetría),-0.686
Rku (Curtosis),3.288
RSm (Anchura Media de Elementos),210.069 µm
Rdq (Pendiente RMS),47.983 µm/mm
Rda (Pendiente Media Absoluta),35.505 µm/mm
Pc (Conteo de Picos),96.60 1/mm
Rpk (Altura de picos que se desgastan),1.051 µm
Rk (Profundidad del núcleo funcional),2.230 µm
Rvk (Profundidad de valles para lubricante),2.141 µm
Mr1 (%),26.15
Mr2 (%),58.60
