Parámetro,Valor
Ra (Promedio Aritmético),3.594 µm
Rq (RMS),4.584 µm
Rp (Pico Máximo),10.160 µm
Rv (Valle Máximo),-11.072 µm
Rt (Altura Total del Perfil),21.232 µm
Rz (ISO 4287:1997),11.165 µm
Rsk (Asimetría),0.227
Rku (Curtosis),2.851
RSm (Anchura Media de Elementos),287.213 µm
Rdq (Pendiente RMS),43.410 µm/mm
Rda (Pendiente Media Absoluta),32.483 µm/mm
Pc (Conteo de Picos),104.60 1/mm
Rpk (Altura de picos que se desgastan),3.443 µm
Rk (Profundidad del núcleo funcional),5.369 µm
Rvk (Profundidad de valles para lubricante),1.229 µm
Mr1 (%),12.51
Mr2 (%),62.02
