x (mm),altura (µm)
0.000000000,0.656308415
0.000203500,0.660245283
0.000406900,0.672182182
0.000610400,0.680119049
0.000813800,0.684055948
0.001017300,0.695992816
0.001220700,0.699929715
0.001424200,0.707866583
0.001627600,0.711803482
0.001831100,0.723740350
0.002034500,0.731677249
0.002238000,0.735614117
0.002441400,0.747551016
0.002644900,0.755487884
0.002848300,0.763424783
0.003051800,0.775361651
0.003255200,0.779298550
0.003458700,0.787235418
0.003662100,0.791172317
0.003865600,0.803109185
0.004069000,0.807046084
0.004272500,0.814982952
0.004475900,0.826919851
0.004679400,0.830856719
0.004882800,0.838793618
0.005086300,0.850730486
0.005289700,0.854667385
0.005493200,0.866604253
0.005696600,0.870541152
0.005900100,0.882478020
0.006103500,0.886414919
0.006307000,0.894351787
0.006510400,0.906288686
0.006713900,0.910225554
0.006917300,0.914162453
0.007120800,0.926099321
0.007324200,0.934036220
0.007527700,0.937973088
0.007731100,0.949909987
0.007934600,0.953846855
0.008138000,0.965783754
0.008341500,0.969720622
0.008544900,0.981657521
0.008748400,0.989594389
0.008951800,0.993531288
0.009155300,1.005468156
0.009358700,1.009405055
0.009562200,1.013341923
0.009765600,1.025278821
0.009969100,1.033215689
0.010172500,1.037152588
0.010376000,1.041089456
0.010579400,1.053026355
0.010782900,1.060963223
0.010986300,1.068900122
0.011189800,1.076836990
0.011393200,1.084773889
0.011596700,1.088710757
0.011800100,1.100647656
0.012003600,1.104584524
0.012207000,1.108521423
0.012410500,1.116458291
0.012613900,1.124395190
0.012817400,1.132332058
0.013020800,1.136268957
0.013224300,1.144205825
0.013427700,1.156142724
0.013631200,1.160079592
0.013834600,1.168016491
0.014038100,1.175953359
0.014241500,1.179890258
0.014445000,1.183827126
0.014648400,1.195764025
0.014851900,1.199700893
0.015055300,1.203637792
0.015258800,1.215574660
0.015462200,1.219511559
0.015665700,1.223448427
0.015869100,1.231385326
0.016072600,1.243322194
0.016276000,1.247259093
0.016479500,1.255195961
0.016682900,1.259132860
0.016886400,1.267069728
0.017089800,1.271006627
0.017293300,1.278943495
0.017496700,1.282880394
0.017700200,1.290817262
0.017903600,1.298754161
0.018107100,1.302691029
0.018310500,1.306627928
0.018514000,1.318564796
0.018717400,1.326501695
0.018920900,1.330438562
0.019124300,1.334375461
0.019327800,1.342312329
0.019531300,1.346249197
0.019734700,1.354186096
0.019938200,1.362122964
0.020141600,1.366059863
0.020345100,1.369996731
0.020548500,1.381933630
0.020752000,1.385870498
0.020955400,1.389807397
0.021158900,1.393744265
0.021362300,1.405681164
0.021565800,1.409618032
0.021769200,1.417554931
0.021972700,1.425491799
0.022176100,1.429428698
0.022379600,1.433365566
0.022583000,1.441302465
0.022786500,1.449239333
0.022989900,1.453176232
0.023193400,1.457113100
0.023396800,1.465049999
0.023600300,1.468986867
0.023803700,1.472923766
0.024007200,1.488860634
0.024210600,1.492797533
0.024414100,1.496734401
0.024617500,1.504671300
0.024821000,1.508608168
0.025024400,1.512545067
0.025227900,1.520481935
0.025431300,1.524418834
0.025634800,1.532355702
0.025838200,1.536292601
0.026041700,1.544229469
0.026245100,1.548166368
0.026448600,1.556103236
0.026652000,1.564040135
0.026855500,1.567977003
0.027058900,1.571913902
0.027262400,1.579850770
0.027465800,1.583787669
0.027669300,1.587724536
0.027872700,1.591661435
0.028076200,1.599598303
0.028279600,1.603535202
0.028483100,1.607472070
0.028686500,1.615408969
0.028890000,1.619345837
0.029093400,1.627282736
0.029296900,1.635219604
0.029500300,1.639156503
0.029703800,1.643093371
0.029907200,1.647030270
0.030110700,1.654967138
0.030314100,1.654904037
0.030517600,1.658840905
0.030721000,1.666777804
0.030924500,1.670714672
0.031127900,1.674651571
0.031331400,1.682588439
0.031534800,1.686525338
0.031738300,1.690462206
0.031941700,1.694399105
0.032145200,1.702335973
0.032348600,1.702272872
0.032552100,1.706209740
0.032755500,1.714146639
0.032959000,1.718083507
0.033162400,1.718020406
0.033365900,1.725957274
0.033569300,1.729894173
0.033772800,1.729831041
0.033976200,1.737767940
0.034179700,1.745704808
0.034383100,1.745641707
0.034586600,1.749578575
0.034790000,1.753515474
0.034993500,1.757452342
0.035196900,1.761389241
0.035400400,1.765326109
0.035603800,1.769263008
0.035807300,1.773199876
0.036010700,1.777136775
0.036214200,1.781073643
0.036417600,1.781010542
0.036621100,1.788947410
0.036824500,1.792884309
0.037028000,1.796821176
0.037231400,1.796758075
0.037434900,1.804694943
0.037638300,1.804631842
0.037841800,1.808568710
0.038045200,1.812505609
0.038248700,1.816442477
0.038452100,1.816379376
0.038655600,1.820316244
0.038859000,1.824253143
0.039062500,1.828190011
0.039266000,1.832126879
0.039469400,1.836063778
0.039672900,1.840000646
0.039876300,1.839937545
0.040079800,1.843874413
0.040283200,1.847811312
0.040486700,1.847748180
0.040690100,1.851685079
0.040893600,1.855621947
0.041097000,1.855558846
0.041300500,1.859495714
0.041503900,1.867432613
0.041707400,1.867369481
0.041910800,1.871306380
0.042114300,1.875243248
0.042317700,1.875180147
0.042521200,1.879117015
0.042724600,1.879053914
0.042928100,1.882990782
0.043131500,1.886927681
0.043335000,1.886864549
0.043538400,1.890801448
0.043741900,1.894738316
0.043945300,1.898675215
0.044148800,1.902612083
0.044352200,1.902548982
0.044555700,1.906485850
0.044759100,1.910422749
0.044962600,1.910359617
0.045166000,1.914296516
0.045369500,1.914233384
0.045572900,1.918170283
0.045776400,1.918107150
0.045979800,1.922044049
0.046183300,1.921980917
0.046386700,1.929917816
0.046590200,1.929854684
0.046793600,1.933791583
0.046997100,1.933728451
0.047200500,1.937665350
0.047404000,1.937602218
0.047607400,1.941539117
0.047810900,1.941475985
0.048014300,1.945412884
0.048217800,1.945349752
0.048421200,1.949286651
0.048624700,1.953223519
0.048828100,1.957160418
0.049031600,1.957097286
0.049235000,1.961034185
0.049438500,1.960971053
0.049641900,1.964907952
