Parámetro,Valor
Ra (Promedio Aritmético),2.087 µm
Rq (RMS),2.522 µm
Rp (Pico Máximo),6.412 µm
Rv (Valle Máximo),-5.436 µm
Rt (Altura Total del Perfil),11.848 µm
Rz (ISO 4287:1997),7.236 µm
Rsk (Asimetría),0.103
Rku (Curtosis),2.328
RSm (Anchura Media de Elementos),127.020 µm
Rdq (Pendiente RMS),19.262 µm/mm
Rda (Pendiente Media Absoluta),14.108 µm/mm
Pc (Conteo de Picos),110.20 1/mm
Rpk (Altura de picos que se desgastan),0.788 µm
Rk (Profundidad del núcleo funcional),2.274 µm
Rvk (Profundidad de valles para lubricante),0.518 µm
Mr1 (%),36.00
Mr2 (%),70.67
