x (mm),altura (µm)
0.000000000,8.364729465
0.000203500,8.366368987
0.000406900,8.372009670
0.000610400,8.373649193
0.000813800,8.375289875
0.001017300,8.384929398
0.001220700,8.386570081
0.001424200,8.388209603
0.001627600,8.389850286
0.001831100,8.395489809
0.002034500,8.401130491
0.002238000,8.402770014
0.002441400,8.408410697
0.002644900,8.410050219
0.002848300,8.411690902
0.003051800,8.421330425
0.003255200,8.422971107
0.003458700,8.424610630
0.003662100,8.426251313
0.003865600,8.431890835
0.004069000,8.437531518
0.004272500,8.439171041
0.004475900,8.444811723
0.004679400,8.446451246
0.004882800,8.448091929
0.005086300,8.457731452
0.005289700,8.459372134
0.005493200,8.461011657
0.005696600,8.462652339
0.005900100,8.472291862
0.006103500,8.473932545
0.006307000,8.475572068
0.006510400,8.481212750
0.006713900,8.482852273
0.006917300,8.488492956
0.007120800,8.494132478
0.007324200,8.495773161
0.007527700,8.497412684
0.007731100,8.507053366
0.007934600,8.508692889
0.008138000,8.510333572
0.008341500,8.511973094
0.008544900,8.517613777
0.008748400,8.523253300
0.008951800,8.524893982
0.009155300,8.530533505
0.009358700,8.532174188
0.009562200,8.533813710
0.009765600,8.539454393
0.009969100,8.545093916
0.010172500,8.546734598
0.010376000,8.548374121
0.010579400,8.554014804
0.010782900,8.555654326
0.010986300,8.557295009
0.011189800,8.566934532
0.011393200,8.568575214
0.011596700,8.570214737
0.011800100,8.575855420
0.012003600,8.577494942
0.012207000,8.579135625
0.012410500,8.580775148
0.012613900,8.590415830
0.012817400,8.592055353
0.013020800,8.593696036
0.013224300,8.599335558
0.013427700,8.600976241
0.013631200,8.602615764
0.013834600,8.608256446
0.014038100,8.609895969
0.014241500,8.611536652
0.014445000,8.617176175
0.014648400,8.622816857
0.014851900,8.624456380
0.015055300,8.626097063
0.015258800,8.631736585
0.015462200,8.633377268
0.015665700,8.635016791
0.015869100,8.640657473
0.016072600,8.642296996
0.016276000,8.643937679
0.016479500,8.653577201
0.016682900,8.655217884
0.016886400,8.656857407
0.017089800,8.658498089
0.017293300,8.664137612
0.017496700,8.665778295
0.017700200,8.667417817
0.017903600,8.673058500
0.018107100,8.674698023
0.018310500,8.676338705
0.018514000,8.685978228
0.018717400,8.687618911
0.018920900,8.689258433
0.019124300,8.690899116
0.019327800,8.696538639
0.019531300,8.698178161
0.019734700,8.699818844
0.019938200,8.705458367
0.020141600,8.711099049
0.020345100,8.712738572
0.020548500,8.718379255
0.020752000,8.720018777
0.020955400,8.721659460
0.021158900,8.723298983
0.021362300,8.732939665
0.021565800,8.734579188
0.021769200,8.736219871
0.021972700,8.741859393
0.022176100,8.743500076
0.022379600,8.749139599
0.022583000,8.754780281
0.022786500,8.756419804
0.022989900,8.758060487
0.023193400,8.763700010
0.023396800,8.769340692
0.023600300,8.770980215
0.023803700,8.776620898
0.024007200,8.782260420
0.024210600,8.783901103
0.024414100,8.789540626
0.024617500,8.795181308
0.024821000,8.796820831
0.025024400,8.802461514
0.025227900,8.808101036
0.025431300,8.809741719
0.025634800,8.815381242
0.025838200,8.817021924
0.026041700,8.826661447
0.026245100,8.828302130
0.026448600,8.829941652
0.026652000,8.839582335
0.026855500,8.841221858
0.027058900,8.846862540
0.027262400,8.852502063
0.027465800,8.858142746
0.027669300,8.859782268
0.027872700,8.861422951
0.028076200,8.871062474
0.028279600,8.872703156
