x (mm),altura (µm)
0.000000000,-1.917622895
0.000203500,-1.913658240
0.000406900,-1.905693567
0.000610400,-1.901728912
0.000813800,-1.897764240
0.001017300,-1.889799584
0.001220700,-1.885834912
0.001424200,-1.881870257
0.001627600,-1.877905584
0.001831100,-1.873940929
0.002034500,-1.865976257
0.002238000,-1.862011602
0.002441400,-1.854046929
0.002644900,-1.850082274
0.002848300,-1.850117601
0.003051800,-1.838152946
0.003255200,-1.834188274
0.003458700,-1.830223619
0.003662100,-1.830258946
0.003865600,-1.822294291
0.004069000,-1.814329618
0.004272500,-1.810364963
0.004475900,-1.802400291
0.004679400,-1.802435636
0.004882800,-1.798470963
0.005086300,-1.786506308
0.005289700,-1.782541636
0.005493200,-1.782576980
0.005696600,-1.778612308
0.005900100,-1.766647653
0.006103500,-1.762682980
0.006307000,-1.758718325
0.006510400,-1.754753653
0.006713900,-1.750788997
0.006917300,-1.742824325
0.007120800,-1.734859670
0.007324200,-1.734894997
0.007527700,-1.730930342
0.007731100,-1.718965670
0.007934600,-1.715001015
0.008138000,-1.715036342
0.008341500,-1.711071687
0.008544900,-1.703107014
0.008748400,-1.695142359
0.008951800,-1.691177687
0.009155300,-1.687213032
0.009358700,-1.683248359
0.009562200,-1.679283704
0.009765600,-1.671319031
0.009969100,-1.667354376
0.010172500,-1.663389704
0.010376000,-1.659425049
0.010579400,-1.651460376
0.010782900,-1.647495721
0.010986300,-1.647531049
0.011189800,-1.635566393
0.011393200,-1.631601721
0.011596700,-1.627637066
0.011800100,-1.623672393
0.012003600,-1.619707738
0.012207000,-1.615743066
0.012410500,-1.611778410
0.012613900,-1.599813738
0.012817400,-1.599849083
0.013020800,-1.595884410
0.013224300,-1.587919755
0.013427700,-1.583955083
0.013631200,-1.583990428
0.013834600,-1.576025755
0.014038100,-1.572061100
0.014241500,-1.568096427
0.014445000,-1.560131772
0.014648400,-1.556167100
0.014851900,-1.552202445
0.015055300,-1.548237772
0.015258800,-1.540273117
0.015462200,-1.540308444
0.015665700,-1.536343789
0.015869100,-1.528379117
0.016072600,-1.524414462
0.016276000,-1.520449789
0.016479500,-1.512485134
0.016682900,-1.508520462
0.016886400,-1.504555806
0.017089800,-1.500591134
0.017293300,-1.496626479
0.017496700,-1.492661806
0.017700200,-1.488697151
0.017903600,-1.480732479
0.018107100,-1.480767823
0.018310500,-1.476803151
0.018514000,-1.464838496
0.018717400,-1.460873823
0.018920900,-1.456909168
0.019124300,-1.456944496
0.019327800,-1.448979841
0.019531300,-1.445015185
0.019734700,-1.441050513
0.019938200,-1.437085858
0.020141600,-1.429121185
0.020345100,-1.425156530
0.020548500,-1.417191858
0.020752000,-1.413227202
0.020955400,-1.413262530
0.021158900,-1.409297875
0.021362300,-1.397333202
0.021565800,-1.393368547
0.021769200,-1.393403875
0.021972700,-1.385439220
0.022176100,-1.381474547
0.022379600,-1.373509892
0.022583000,-1.365545219
0.022786500,-1.365580564
0.022989900,-1.361615892
0.023193400,-1.353651237
0.023396800,-1.345686564
0.023600300,-1.345721909
0.023803700,-1.337757236
0.024007200,-1.329792581
0.024210600,-1.325827909
0.024414100,-1.317863254
0.024617500,-1.313898581
0.024821000,-1.309933926
0.025024400,-1.301969254
0.025227900,-1.294004598
0.025431300,-1.294039926
0.025634800,-1.286075271
0.025838200,-1.282110598
0.026041700,-1.270145943
0.026245100,-1.270181271
0.026448600,-1.266216615
0.026652000,-1.254251943
0.026855500,-1.250287288
0.027058900,-1.242322615
0.027262400,-1.238357960
0.027465800,-1.230393288
0.027669300,-1.226428633
0.027872700,-1.222463960
0.028076200,-1.214499305
0.028279600,-1.210534632
0.028483100,-1.202569977
0.028686500,-1.194605305
0.028890000,-1.186640650
0.029093400,-1.186675977
0.029296900,-1.174711322
0.029500300,-1.170746649
0.029703800,-1.162781994
0.029907200,-1.162817322
0.030110700,-1.150852667
0.030314100,-1.146887994
0.030517600,-1.138923339
0.030721000,-1.130958667
0.030924500,-1.126994011
0.031127900,-1.123029339
0.031331400,-1.111064684
0.031534800,-1.107100011
0.031738300,-1.103135356
0.031941700,-1.099170684
0.032145200,-1.087206028
0.032348600,-1.083241356
0.032552100,-1.083276701
0.032755500,-1.071312028
0.032959000,-1.063347373
0.033162400,-1.059382701
0.033365900,-1.047418046
0.033569300,-1.047453373
0.033772800,-1.043488718
0.033976200,-1.035524045
0.034179700,-1.027559390
0.034383100,-1.023594718
0.034586600,-1.019630063
0.034790000,-1.007665390
0.034993500,-1.003700735
0.035196900,-0.999736062
0.035400400,-0.991771407
0.035603800,-0.987806735
0.035807300,-0.979842080
0.036010700,-0.971877407
0.036214200,-0.967912752
0.036417600,-0.963948080
0.036621100,-0.959983424
0.036824500,-0.948018752
0.037028000,-0.944054097
0.037231400,-0.944089424
0.037434900,-0.932124769
0.037638300,-0.928160097
0.037841800,-0.924195441
0.038045200,-0.916230769
0.038248700,-0.912266114
0.038452100,-0.908301441
0.038655600,-0.904336786
0.038859000,-0.896372114
0.039062500,-0.892407459
0.039266000,-0.888442803
0.039469400,-0.876478131
0.039672900,-0.872513476
0.039876300,-0.872548803
0.040079800,-0.864584148
0.040283200,-0.856619476
0.040486700,-0.852654820
0.040690100,-0.852690148
0.040893600,-0.844725493
0.041097000,-0.836760820
0.041300500,-0.832796165
0.041503900,-0.824831493
0.041707400,-0.824866838
0.041910800,-0.820902165
0.042114300,-0.808937510
0.042317700,-0.804972837
0.042521200,-0.805008182
0.042724600,-0.801043510
0.042928100,-0.793078855
0.043131500,-0.789114182
0.043335000,-0.789149527
0.043538400,-0.777184854
0.043741900,-0.773220199
0.043945300,-0.769255527
0.044148800,-0.761290872
0.044352200,-0.761326199
0.044555700,-0.757361544
0.044759100,-0.749396872
0.044962600,-0.745432216
0.045166000,-0.741467544
0.045369500,-0.737502889
0.045572900,-0.729538216
0.045776400,-0.725573561
0.045979800,-0.721608889
0.046183300,-0.717644233
0.046386700,-0.713679561
0.046590200,-0.709714906
0.046793600,-0.701750233
0.046997100,-0.701785578
0.047200500,-0.697820906
0.047404000,-0.693856251
0.047607400,-0.685891578
0.047810900,-0.685926923
0.048014300,-0.681962250
0.048217800,-0.673997595
0.048421200,-0.670032923
0.048624700,-0.666068268
0.048828100,-0.662103595
0.049031600,-0.658138940
0.049235000,-0.654174267
0.049438500,-0.650209612
0.049641900,-0.646244940
0.049845400,-0.642280285
0.050048800,-0.638315612
0.050252300,-0.630350957
0.050455700,-0.626386285
0.050659200,-0.626421629
0.050862600,-0.618456957
0.051066100,-0.614492302
0.051269500,-0.610527629
0.051473000,-0.610562974
0.051676400,-0.602598302
0.051879900,-0.598633646
0.052083300,-0.594668974
0.052286800,-0.594704319
0.052490200,-0.590739646
0.052693700,-0.586774991
0.052897100,-0.578810319
0.053100600,-0.574845664
0.053304000,-0.574880991
0.053507500,-0.570916336
0.053710900,-0.562951663
0.053914400,-0.558987008
0.054117800,-0.559022336
0.054321300,-0.555057681
0.054524700,-0.551093008
0.054728200,-0.547128353
0.054931600,-0.539163680
0.055135100,-0.539199025
0.055338500,-0.535234353
0.055542000,-0.527269698
0.055745400,-0.523305025
0.055948900,-0.523340370
0.056152300,-0.519375698
0.056355800,-0.515411042
0.056559200,-0.511446370
0.056762700,-0.511481715
0.056966100,-0.503517042
0.057169600,-0.499552387
0.057373000,-0.495587715
0.057576500,-0.491623059
0.057779900,-0.491658387
0.057983400,-0.487693732
0.058186800,-0.483729059
0.058390300,-0.475764404
0.058593800,-0.475799749
0.058797200,-0.471835077
0.059000700,-0.467870421
0.059204100,-0.463905749
0.059407600,-0.459941094
0.059611000,-0.455976421
0.059814500,-0.452011766
0.060017900,-0.448047094
0.060221400,-0.444082438
0.060424800,-0.444117766
0.060628300,-0.440153111
0.060831700,-0.436188438
0.061035200,-0.428223783
0.061238600,-0.428259111
0.061442100,-0.428294456
0.061645500,-0.420329783
0.061849000,-0.416365128
0.062052400,-0.412400455
0.062255900,-0.412435800
0.062459300,-0.408471128
0.062662800,-0.404506473
0.062866200,-0.400541800
0.063069700,-0.396577145
0.063273100,-0.392612472
0.063476600,-0.388647817
0.063680000,-0.384683145
0.063883500,-0.384718490
0.064086900,-0.380753817
0.064290400,-0.372789162
0.064493800,-0.372824490
0.064697300,-0.368859834
0.064900700,-0.368895162
0.065104200,-0.360930507
0.065307600,-0.356965834
0.065511100,-0.357001179
0.065714500,-0.353036507
0.065918000,-0.349071851
0.066121400,-0.345107179
0.066324900,-0.341142524
0.066528300,-0.337177851
0.066731800,-0.337213196
0.066935200,-0.333248524
0.067138700,-0.325283869
0.067342100,-0.321319196
0.067545600,-0.325354541
0.067749000,-0.317389868
0.067952500,-0.313425213
0.068155900,-0.309460541
0.068359400,-0.305495886
0.068562800,-0.305531213
0.068766300,-0.301566558
0.068969700,-0.297601885
0.069173200,-0.289637230
0.069376600,-0.289672558
0.069580100,-0.285707903
0.069783500,-0.281743230
0.069987000,-0.277778575
0.070190400,-0.277813903
0.070393900,-0.269849247
0.070597300,-0.265884575
0.070800800,-0.261919920
0.071004200,-0.261955247
0.071207700,-0.257990592
0.071411100,-0.254025920
0.071614600,-0.250061264
0.071818000,-0.242096592
0.072021500,-0.242131937
0.072224900,-0.238167264
0.072428400,-0.230202609
0.072631800,-0.230237937
0.072835300,-0.230273282
0.073038700,-0.222308609
0.073242200,-0.218343954
0.073445600,-0.214379281
0.073649100,-0.210414626
0.073852500,-0.206449954
0.074056000,-0.202485299
0.074259400,-0.198520626
0.074462900,-0.190555971
0.074666300,-0.190591298
0.074869800,-0.190626643
0.075073200,-0.182661971
0.075276700,-0.178697316
0.075480100,-0.178732643
0.075683600,-0.174767988
0.075887000,-0.166803316
0.076090500,-0.162838660
0.076293900,-0.158873988
0.076497400,-0.154909333
0.076700800,-0.150944660
0.076904300,-0.146980005
0.077107700,-0.139015333
0.077311200,-0.139050677
0.077514600,-0.135086005
0.077718100,-0.131121350
0.077921500,-0.123156677
0.078125000,-0.123192022
0.078328500,-0.123227367
0.078531900,-0.115262695
0.078735400,-0.111298039
0.078938800,-0.107333367
0.079142300,-0.103368712
0.079345700,-0.099404039
0.079549200,-0.095439384
0.079752600,-0.091474712
0.079956100,-0.087510056
0.080159500,-0.083545384
0.080363000,-0.079580729
0.080566400,-0.071616056
0.080769900,-0.067651401
0.080973300,-0.067686729
0.081176800,-0.059722074
0.081380200,-0.055757401
0.081583700,-0.051792746
0.081787100,-0.051828073
0.081990600,-0.043863418
0.082194000,-0.039898746
0.082397500,-0.035934091
0.082600900,-0.031969418
0.082804400,-0.028004763
0.083007800,-0.024040090
0.083211300,-0.016075435
0.083414700,-0.008110763
0.083618200,-0.008146108
0.083821600,-0.000181435
0.084025100,0.003783220
0.084228500,0.007747892
0.084432000,0.007712548
0.084635400,0.015677220
0.084838900,0.019641875
0.085042300,0.023606548
0.085245800,0.027571203
0.085449200,0.031535875
0.085652700,0.039500531
0.085856100,0.047465203
0.086059600,0.051429858
0.086263000,0.051394531
0.086466500,0.055359186
0.086669900,0.063323858
0.086873400,0.071288513
0.087076800,0.071253186
0.087280300,0.079217841
0.087483700,0.083182514
0.087687200,0.087147169
0.087890600,0.095111841
0.088094100,0.099076496
0.088297500,0.103041169
0.088501000,0.107005824
0.088704400,0.118970497
0.088907900,0.118935152
0.089111300,0.122899824
0.089314800,0.134864479
0.089518200,0.138829152
0.089721700,0.138793807
0.089925100,0.150758479
0.090128600,0.154723135
0.090332000,0.158687807
0.090535500,0.162652462
0.090738900,0.170617135
0.090942400,0.178581790
0.091145800,0.182546462
0.091349300,0.194511118
0.091552700,0.194475790
0.091756200,0.202440445
0.091959600,0.210405118
0.092163100,0.218369773
0.092366500,0.218334445
0.092570000,0.230299100
0.092773400,0.238263773
0.092976900,0.242228428
0.093180300,0.250193101
0.093383800,0.258157756
0.093587200,0.262122428
0.093790700,0.270087083
0.093994100,0.282051756
0.094197600,0.282016411
0.094401000,0.289981084
0.094604500,0.301945739
0.094807900,0.305910411
0.095011400,0.309875066
0.095214800,0.313839739
0.095418300,0.329804394
0.095621700,0.333769066
0.095825200,0.341733722
0.096028600,0.349698394
0.096232100,0.357663049
0.096435500,0.361627722
0.096639000,0.377592377
0.096842400,0.377557049
0.097045900,0.385521705
0.097249300,0.393486377
0.097452800,0.405451032
0.097656200,0.409415705
0.097859700,0.413380360
0.098063200,0.429345015
0.098266600,0.433309687
0.098470100,0.441274343
0.098673500,0.449239015
0.098877000,0.457203670
0.099080400,0.465168343
0.099283900,0.469132998
0.099487300,0.481097670
0.099690800,0.485062326
0.099894200,0.493026998
0.100097700,0.504991653
0.100301100,0.508956326
0.100504600,0.516920981
0.100708000,0.528885653
0.100911500,0.536850308
0.101114900,0.544814981
0.101318400,0.552779636
0.101521800,0.560744309
0.101725300,0.564708964
0.101928700,0.572673636
0.102132200,0.580638291
0.102335600,0.588602964
0.102539100,0.596567619
0.102742500,0.608532292
0.102946000,0.612496947
0.103149400,0.616461619
0.103352900,0.628426274
0.103556300,0.636390947
0.103759800,0.644355602
0.103963200,0.644320274
0.104166700,0.660284930
0.104370100,0.664249602
0.104573600,0.672214257
0.104777000,0.680178930
0.104980500,0.688143585
0.105183900,0.692108257
0.105387400,0.704072913
0.105590800,0.708037585
0.105794300,0.712002240
0.105997700,0.719966913
0.106201200,0.731931568
0.106404600,0.739896240
0.106608100,0.739860895
0.106811500,0.751825568
0.107015000,0.759790223
0.107218400,0.767754896
0.107421900,0.775719551
0.107625300,0.779684223
0.107828800,0.787648878
0.108032200,0.791613551
0.108235700,0.799578206
0.108439100,0.807542879
0.108642600,0.811507534
0.108846000,0.823472206
0.109049500,0.831436861
0.109252900,0.831401534
0.109456400,0.843366189
0.109659800,0.851330861
0.109863300,0.855295517
0.110066700,0.859260189
0.110270200,0.871224844
0.110473600,0.875189517
0.110677100,0.883154172
0.110880500,0.891118844
0.111084000,0.895083500
0.111287400,0.903048172
0.111490900,0.915012827
0.111694300,0.918977500
0.111897800,0.922942155
0.112101200,0.934906827
0.112304700,0.938871482
0.112508100,0.946836155
0.112711600,0.946800810
0.112915000,0.958765483
0.113118500,0.962730138
0.113321900,0.970694810
0.113525400,0.978659465
0.113728800,0.982624138
0.113932300,0.990588793
0.114135700,0.998553466
0.114339200,1.006518121
0.114542600,1.006482793
0.114746100,1.014447448
0.114949500,1.026412121
0.115153000,1.030376776
0.115356400,1.030341448
0.115559900,1.042306104
0.115763300,1.050270776
