Parámetro,Valor
Ra (Promedio Aritmético),2.183 µm
Rq (RMS),2.822 µm
Rp (Pico Máximo),4.500 µm
Rv (Valle Máximo),-7.592 µm
Rt (Altura Total del Perfil),12.092 µm
Rz (ISO 4287:1997),6.669 µm
Rsk (Asimetría),-0.812
Rku (Curtosis),3.262
RSm (Anchura Media de Elementos),348.744 µm
Rdq (Pendiente RMS),22.309 µm/mm
Rda (Pendiente Media Absoluta),16.175 µm/mm
Pc (Conteo de Picos),148.80 1/mm
Rpk (Altura de picos que se desgastan),0.578 µm
Rk (Profundidad del núcleo funcional),2.236 µm
Rvk (Profundidad de valles para lubricante),2.121 µm
Mr1 (%),37.40
Mr2 (%),76.32
