x (mm),altura (µm)
0.000000000,-5.736685565
0.000203500,-5.733090031
0.000406900,-5.729494297
0.000610400,-5.725898763
0.000813800,-5.726303030
0.001017300,-5.722707496
0.001220700,-5.719111763
0.001424200,-5.715516228
0.001627600,-5.715920495
0.001831100,-5.708324961
0.002034500,-5.708729228
0.002238000,-5.705133693
0.002441400,-5.701537960
0.002644900,-5.697942426
0.002848300,-5.698346693
0.003051800,-5.690751158
0.003255200,-5.691155425
0.003458700,-5.687559891
0.003662100,-5.683964158
0.003865600,-5.680368623
0.004069000,-5.680772890
0.004272500,-5.677177356
0.004475900,-5.673581623
0.004679400,-5.669986089
0.004882800,-5.666390355
0.005086300,-5.662794821
0.005289700,-5.659199088
0.005493200,-5.659603554
0.005696600,-5.656007821
0.005900100,-5.652412286
0.006103500,-5.648816553
0.006307000,-5.649221019
0.006510400,-5.641625286
0.006713900,-5.642029751
0.006917300,-5.638434018
0.007120800,-5.634838484
0.007324200,-5.631242751
0.007527700,-5.627647216
0.007731100,-5.624051483
0.007934600,-5.620455949
0.008138000,-5.616860216
0.008341500,-5.617264681
0.008544900,-5.609668948
0.008748400,-5.610073414
0.008951800,-5.606477681
0.009155300,-5.602882147
0.009358700,-5.599286413
0.009562200,-5.595690879
0.009765600,-5.592095146
0.009969100,-5.588499612
0.010172500,-5.584903879
0.010376000,-5.585308344
0.010579400,-5.577712611
0.010782900,-5.574117077
0.010986300,-5.574521344
0.011189800,-5.566925809
0.011393200,-5.563330076
0.011596700,-5.563734542
0.011800100,-5.556138809
0.012003600,-5.552543274
0.012207000,-5.552947541
0.012410500,-5.549352007
0.012613900,-5.541756274
0.012817400,-5.542160739
0.013020800,-5.538565006
0.013224300,-5.530969472
0.013427700,-5.531373739
0.013631200,-5.527778205
0.013834600,-5.520182471
0.014038100,-5.516586937
0.014241500,-5.516991204
0.014445000,-5.513395670
0.014648400,-5.505799937
0.014851900,-5.502204402
0.015055300,-5.498608669
0.015258800,-5.495013135
0.015462200,-5.491417402
0.015665700,-5.487821867
0.015869100,-5.484226134
0.016072600,-5.480630600
0.016276000,-5.477034867
0.016479500,-5.469439332
0.016682900,-5.465843599
0.016886400,-5.462248065
0.017089800,-5.458652332
0.017293300,-5.455056797
0.017496700,-5.451461064
0.017700200,-5.447865530
0.017903600,-5.440269797
0.018107100,-5.436674263
0.018310500,-5.433078529
0.018514000,-5.429482995
0.018717400,-5.425887262
0.018920900,-5.422291728
0.019124300,-5.418695995
0.019327800,-5.411100460
0.019531300,-5.407504926
0.019734700,-5.403909193
0.019938200,-5.396313658
0.020141600,-5.392717925
0.020345100,-5.389122391
0.020548500,-5.381526658
0.020752000,-5.377931123
0.020955400,-5.378335390
0.021158900,-5.374739856
0.021362300,-5.367144123
0.021565800,-5.363548589
0.021769200,-5.359952855
0.021972700,-5.352357321
0.022176100,-5.348761588
0.022379600,-5.345166054
0.022583000,-5.337570321
0.022786500,-5.333974786
0.022989900,-5.330379053
0.023193400,-5.326783519
0.023396800,-5.319187786
0.023600300,-5.315592251
0.023803700,-5.311996518
0.024007200,-5.304400984
0.024210600,-5.300805251
0.024414100,-5.297209716
0.024617500,-5.289613983
0.024821000,-5.286018449
0.025024400,-5.282422716
0.025227900,-5.274827181
0.025431300,-5.271231448
0.025634800,-5.267635914
0.025838200,-5.264040181
0.026041700,-5.256444647
0.026245100,-5.252848913
0.026448600,-5.249253379
0.026652000,-5.241657646
0.026855500,-5.238062112
0.027058900,-5.234466379
0.027262400,-5.222870844
0.027465800,-5.219275111
0.027669300,-5.215679577
0.027872700,-5.212083844
0.028076200,-5.204488309
0.028279600,-5.200892576
0.028483100,-5.197297042
0.028686500,-5.189701309
0.028890000,-5.186105774
0.029093400,-5.182510041
0.029296900,-5.174914507
0.029500300,-5.171318774
0.029703800,-5.167723239
0.029907200,-5.164127506
0.030110700,-5.156531972
0.030314100,-5.152936239
0.030517600,-5.149340705
0.030721000,-5.137744971
0.030924500,-5.134149437
0.031127900,-5.130553704
0.031331400,-5.122958170
0.031534800,-5.119362437
0.031738300,-5.115766902
0.031941700,-5.112171169
0.032145200,-5.104575635
0.032348600,-5.100979902
0.032552100,-5.097384367
0.032755500,-5.089788634
0.032959000,-5.082193100
0.033162400,-5.078597367
0.033365900,-5.071001832
0.033569300,-5.067406099
0.033772800,-5.063810565
0.033976200,-5.060214832
0.034179700,-5.052619297
0.034383100,-5.049023564
0.034586600,-5.045428030
0.034790000,-5.037832297
0.034993500,-5.034236763
