x (mm),altura (µm)
0.000000000,-3.179691697
0.000203500,-3.175651676
0.000406900,-3.167611675
0.000610400,-3.167571654
0.000813800,-3.159531653
0.001017300,-3.151491633
0.001220700,-3.147451632
0.001424200,-3.143411611
0.001627600,-3.139371610
0.001831100,-3.131331589
0.002034500,-3.127291588
0.002238000,-3.127251567
0.002441400,-3.115211566
0.002644900,-3.111171545
0.002848300,-3.111131544
0.003051800,-3.099091523
0.003255200,-3.095051522
0.003458700,-3.095011502
0.003662100,-3.086971501
0.003865600,-3.082931480
0.004069000,-3.078891479
0.004272500,-3.070851458
0.004475900,-3.066811457
0.004679400,-3.062771436
0.004882800,-3.058731435
0.005086300,-3.050691414
0.005289700,-3.046651413
0.005493200,-3.046611392
0.005696600,-3.038571391
0.005900100,-3.030531371
0.006103500,-3.030491370
0.006307000,-3.026451349
0.006510400,-3.014411348
0.006713900,-3.014371327
0.006917300,-3.010331326
0.007120800,-3.002291305
0.007324200,-2.998251304
0.007527700,-2.994211283
0.007731100,-2.990171282
0.007934600,-2.986131261
0.008138000,-2.978091260
0.008341500,-2.978051240
0.008544900,-2.970011239
0.008748400,-2.969971218
0.008951800,-2.965931217
0.009155300,-2.957891196
0.009358700,-2.957851195
0.009562200,-2.949811174
0.009765600,-2.945771173
0.009969100,-2.941731152
0.010172500,-2.937691151
0.010376000,-2.937651130
0.010579400,-2.929611129
0.010782900,-2.925571109
0.010986300,-2.925531108
0.011189800,-2.917491087
0.011393200,-2.917451086
0.011596700,-2.909411065
0.011800100,-2.901371064
0.012003600,-2.901331043
0.012207000,-2.897291042
0.012410500,-2.893251021
0.012613900,-2.889211020
0.012817400,-2.885170999
0.013020800,-2.885130998
0.013224300,-2.877090978
0.013427700,-2.873050977
0.013631200,-2.873010956
0.013834600,-2.864970955
0.014038100,-2.864930934
0.014241500,-2.860890933
0.014445000,-2.856850912
0.014648400,-2.852810911
0.014851900,-2.848770890
0.015055300,-2.844730889
0.015258800,-2.840690868
0.015462200,-2.840650867
0.015665700,-2.840610847
0.015869100,-2.832570846
0.016072600,-2.828530825
0.016276000,-2.828490824
0.016479500,-2.820450803
0.016682900,-2.820410802
0.016886400,-2.816370781
0.017089800,-2.812330780
0.017293300,-2.808290759
0.017496700,-2.804250758
0.017700200,-2.800210737
0.017903600,-2.796170736
0.018107100,-2.796130716
0.018310500,-2.796090715
0.018514000,-2.788050694
0.018717400,-2.784010693
0.018920900,-2.783970672
0.019124300,-2.779930671
0.019327800,-2.775890650
0.019531300,-2.771850629
0.019734700,-2.767810628
0.019938200,-2.767770608
0.020141600,-2.763730606
0.020345100,-2.759690586
0.020548500,-2.755650585
0.020752000,-2.751610564
0.020955400,-2.751570563
0.021158900,-2.751530542
0.021362300,-2.743490541
0.021565800,-2.743450520
0.021769200,-2.739410519
0.021972700,-2.735370498
0.022176100,-2.731330497
0.022379600,-2.731290477
0.022583000,-2.727250475
0.022786500,-2.723210455
0.022989900,-2.723170454
0.023193400,-2.719130433
0.023396800,-2.715090432
0.023600300,-2.715050411
0.023803700,-2.711010410
0.024007200,-2.702970389
0.024210600,-2.702930388
0.024414100,-2.698890367
0.024617500,-2.698850366
0.024821000,-2.694810346
0.025024400,-2.690770344
0.025227900,-2.686730324
0.025431300,-2.686690323
0.025634800,-2.686650302
0.025838200,-2.682610301
0.026041700,-2.674570280
0.026245100,-2.678530279
0.026448600,-2.674490258
0.026652000,-2.670450257
0.026855500,-2.666410236
0.027058900,-2.662370235
0.027262400,-2.662330215
0.027465800,-2.658290213
0.027669300,-2.654250193
0.027872700,-2.654210192
0.028076200,-2.650170171
0.028279600,-2.650130170
0.028483100,-2.646090149
0.028686500,-2.642050148
0.028890000,-2.642010127
0.029093400,-2.637970126
0.029296900,-2.633930105
0.029500300,-2.633890104
0.029703800,-2.629850084
0.029907200,-2.629810082
0.030110700,-2.625770062
0.030314100,-2.625730061
0.030517600,-2.621690040
0.030721000,-2.613650039
0.030924500,-2.617610018
0.031127900,-2.613570017
0.031331400,-2.609529996
0.031534800,-2.609489995
0.031738300,-2.605449974
0.031941700,-2.605409973
0.032145200,-2.601369953
0.032348600,-2.597329951
0.032552100,-2.597289931
0.032755500,-2.593249930
0.032959000,-2.593209909
0.033162400,-2.589169908
0.033365900,-2.585129887
0.033569300,-2.585089886
0.033772800,-2.585049865
0.033976200,-2.585009864
0.034179700,-2.576969843
0.034383100,-2.576929842
0.034586600,-2.576889822
0.034790000,-2.572849820
0.034993500,-2.572809800
0.035196900,-2.568769799
0.035400400,-2.564729778
0.035603800,-2.564689777
0.035807300,-2.564649756
0.036010700,-2.560609755
0.036214200,-2.560569734
0.036417600,-2.556529733
0.036621100,-2.556489712
0.036824500,-2.552449711
0.037028000,-2.552409691
0.037231400,-2.552369689
0.037434900,-2.548329669
0.037638300,-2.548289668
0.037841800,-2.544249647
0.038045200,-2.544209646
0.038248700,-2.544169625
0.038452100,-2.540129624
0.038655600,-2.540089603
0.038859000,-2.536049602
0.039062500,-2.540009581
0.039266000,-2.535969561
0.039469400,-2.531929560
0.039672900,-2.531889539
0.039876300,-2.531849538
0.040079800,-2.531809517
0.040283200,-2.527769516
0.040486700,-2.527729495
0.040690100,-2.527689494
0.040893600,-2.523649473
0.041097000,-2.527609472
0.041300500,-2.523569451
0.041503900,-2.519529450
0.041707400,-2.523489430
0.041910800,-2.519449429
0.042114300,-2.519409408
0.042317700,-2.519369407
0.042521200,-2.515329386
0.042724600,-2.519289385
0.042928100,-2.515249364
0.043131500,-2.519209363
0.043335000,-2.515169342
