Parámetro,Valor
Ra (Promedio Aritmético),1.538 µm
Rq (RMS),1.972 µm
Rp (Pico Máximo),4.628 µm
Rv (Valle Máximo),-5.292 µm
Rt (Altura Total del Perfil),9.920 µm
Rz (ISO 4287:1997),5.704 µm
Rsk (Asimetría),-0.658
Rku (Curtosis),3.072
RSm (Anchura Media de Elementos),393.620 µm
Rdq (Pendiente RMS),14.691 µm/mm
Rda (Pendiente Media Absoluta),10.828 µm/mm
Pc (Conteo de Picos),91.80 1/mm
Rpk (Altura de picos que se desgastan),0.330 µm
Rk (Profundidad del núcleo funcional),3.623 µm
Rvk (Profundidad de valles para lubricante),1.129 µm
Mr1 (%),9.32
Mr2 (%),78.76
