x (mm),altura (µm)
0.000000000,-7.818035280
0.000203500,-7.818553903
0.000406900,-7.815072271
0.000610400,-7.815590893
0.000813800,-7.816109261
0.001017300,-7.812627884
0.001220700,-7.813146252
0.001424200,-7.809664875
0.001627600,-7.810183243
0.001831100,-7.810701866
0.002034500,-7.807220234
0.002238000,-7.807738856
0.002441400,-7.808257224
0.002644900,-7.804775847
0.002848300,-7.805294215
0.003051800,-7.805812838
0.003255200,-7.802331206
0.003458700,-7.802849829
0.003662100,-7.803368197
0.003865600,-7.799886819
0.004069000,-7.800405187
0.004272500,-7.800923810
0.004475900,-7.797442178
0.004679400,-7.797960801
0.004882800,-7.798479169
0.005086300,-7.794997792
0.005289700,-7.795516160
0.005493200,-7.796034782
0.005696600,-7.796553150
0.005900100,-7.793071773
0.006103500,-7.793590141
0.006307000,-7.794108764
0.006510400,-7.790627132
0.006713900,-7.791145755
0.006917300,-7.791664122
0.007120800,-7.788182745
0.007324200,-7.788701113
0.007527700,-7.789219736
0.007731100,-7.785738104
0.007934600,-7.786256727
0.008138000,-7.786775095
0.008341500,-7.783293718
0.008544900,-7.783812085
0.008748400,-7.784330708
0.008951800,-7.780849076
0.009155300,-7.781367699
0.009358700,-7.781886067
0.009562200,-7.778404690
0.009765600,-7.778923058
0.009969100,-7.779441680
0.010172500,-7.775960048
0.010376000,-7.776478671
0.010579400,-7.772997039
0.010782900,-7.773515662
0.010986300,-7.774034030
0.011189800,-7.770552653
0.011393200,-7.771071021
0.011596700,-7.771589643
0.011800100,-7.768108011
0.012003600,-7.768626634
0.012207000,-7.765145002
0.012410500,-7.765663625
0.012613900,-7.762181993
0.012817400,-7.762700616
0.013020800,-7.763218984
0.013224300,-7.759737606
0.013427700,-7.760255974
0.013631200,-7.756774597
0.013834600,-7.753292965
0.014038100,-7.753811588
0.014241500,-7.754329956
0.014445000,-7.750848579
0.014648400,-7.751366947
0.014851900,-7.747885569
0.015055300,-7.748403937
0.015258800,-7.744922560
0.015462200,-7.741440928
0.015665700,-7.741959551
0.015869100,-7.738477919
0.016072600,-7.738996542
0.016276000,-7.735514910
0.016479500,-7.736033532
0.016682900,-7.732551900
0.016886400,-7.733070523
0.017089800,-7.729588891
0.017293300,-7.726107514
0.017496700,-7.726625882
0.017700200,-7.723144505
0.017903600,-7.719662872
0.018107100,-7.720181495
0.018310500,-7.720699863
0.018514000,-7.717218486
0.018717400,-7.713736854
0.018920900,-7.714255477
0.019124300,-7.710773845
0.019327800,-7.707292468
0.019531300,-7.707811090
0.019734700,-7.704329458
0.019938200,-7.704848081
0.020141600,-7.701366449
0.020345100,-7.701885072
0.020548500,-7.698403440
0.020752000,-7.694922063
0.020955400,-7.695440430
0.021158900,-7.691959053
0.021362300,-7.692477421
0.021565800,-7.688996044
0.021769200,-7.689514412
0.021972700,-7.686033035
0.022176100,-7.682551403
0.022379600,-7.683070025
0.022583000,-7.679588393
0.022786500,-7.680107016
0.022989900,-7.676625384
0.023193400,-7.677144007
0.023396800,-7.673662375
0.023600300,-7.670180998
0.023803700,-7.670699366
0.024007200,-7.667217988
0.024210600,-7.667736356
0.024414100,-7.664254979
0.024617500,-7.664773347
0.024821000,-7.661291970
0.025024400,-7.661810338
0.025227900,-7.658328961
0.025431300,-7.654847329
0.025634800,-7.655365951
0.025838200,-7.655884319
0.026041700,-7.652402942
0.026245100,-7.648921310
0.026448600,-7.649439933
0.026652000,-7.645958301
0.026855500,-7.646476924
0.027058900,-7.642995292
0.027262400,-7.639513914
0.027465800,-7.640032282
0.027669300,-7.640550905
0.027872700,-7.637069273
0.028076200,-7.633587896
0.028279600,-7.634106264
0.028483100,-7.630624887
0.028686500,-7.627143255
0.028890000,-7.627661877
0.029093400,-7.628180245
0.029296900,-7.624698868
0.029500300,-7.621217236
0.029703800,-7.621735859
0.029907200,-7.618254227
