x (mm),altura (µm)
0.000000000,0.598178419
0.000203500,0.598111815
0.000406900,0.602045243
0.000610400,0.601978638
0.000813800,0.601912066
0.001017300,0.605845462
0.001220700,0.605778890
0.001424200,0.609712285
0.001627600,0.609645713
0.001831100,0.609579109
0.002034500,0.613512537
0.002238000,0.613445932
0.002441400,0.613379361
0.002644900,0.617312756
0.002848300,0.617246184
0.003051800,0.617179580
0.003255200,0.621113008
0.003458700,0.621046403
0.003662100,0.620979831
0.003865600,0.624913227
0.004069000,0.624846655
0.004272500,0.624780050
0.004475900,0.628713478
0.004679400,0.628646874
0.004882800,0.628580302
0.005086300,0.632513697
0.005289700,0.632447125
0.005493200,0.632380521
0.005696600,0.632313949
0.005900100,0.636247344
0.006103500,0.636180773
0.006307000,0.636114168
0.006510400,0.640047596
0.006713900,0.635980992
0.006917300,0.635914420
0.007120800,0.639847815
0.007324200,0.639781243
0.007527700,0.639714639
0.007731100,0.643648067
0.007934600,0.643581462
0.008138000,0.643514890
0.008341500,0.647448286
0.008544900,0.647381714
0.008748400,0.647315109
0.008951800,0.651248538
0.009155300,0.651181933
0.009358700,0.651115361
0.009562200,0.655048756
0.009765600,0.654982185
0.009969100,0.654915580
0.010172500,0.658849008
0.010376000,0.658782404
0.010579400,0.662715832
0.010782900,0.662649227
0.010986300,0.662582655
0.011189800,0.666516051
0.011393200,0.666449479
0.011596700,0.666382874
0.011800100,0.670316302
0.012003600,0.670249698
0.012207000,0.674183126
0.012410500,0.674116521
0.012613900,0.678049950
0.012817400,0.677983345
0.013020800,0.677916773
0.013224300,0.681850169
0.013427700,0.681783597
0.013631200,0.685716992
0.013834600,0.689650420
0.014038100,0.689583816
0.014241500,0.689517244
0.014445000,0.693450639
0.014648400,0.693384067
0.014851900,0.697317463
0.015055300,0.697250891
0.015258800,0.701184286
0.015462200,0.701117714
0.015665700,0.701051110
0.015869100,0.704984538
0.016072600,0.704917933
0.016276000,0.708851362
0.016479500,0.708784757
0.016682900,0.712718185
0.016886400,0.712651581
0.017089800,0.716585009
0.017293300,0.720518404
0.017496700,0.720451832
0.017700200,0.724385228
0.017903600,0.728318656
0.018107100,0.728252051
0.018310500,0.728185479
0.018514000,0.732118875
0.018717400,0.736052303
0.018920900,0.735985698
0.019124300,0.739919126
0.019327800,0.743852522
0.019531300,0.743785917
0.019734700,0.747719345
0.019938200,0.747652741
0.020141600,0.751586169
0.020345100,0.751519564
0.020548500,0.755452993
0.020752000,0.759386388
0.020955400,0.759319816
0.021158900,0.763253212
0.021362300,0.763186640
0.021565800,0.767120035
0.021769200,0.767053463
0.021972700,0.770986859
0.022176100,0.774920287
0.022379600,0.774853682
0.022583000,0.778787110
0.022786500,0.778720506
0.022989900,0.782653934
0.023193400,0.782587329
0.023396800,0.782520757
0.023600300,0.786454153
0.023803700,0.786387581
0.024007200,0.790320976
0.024210600,0.790254405
0.024414100,0.794187800
0.024617500,0.794121228
0.024821000,0.798054624
0.025024400,0.797988052
0.025227900,0.801921447
0.025431300,0.805854875
0.025634800,0.805788271
0.025838200,0.805721699
0.026041700,0.809655094
0.026245100,0.813588522
0.026448600,0.813521918
0.026652000,0.817455346
0.026855500,0.817388741
0.027058900,0.821322170
0.027262400,0.825255565
0.027465800,0.825188993
0.027669300,0.825122388
0.027872700,0.829055817
0.028076200,0.832989212
0.028279600,0.832922640
0.028483100,0.836856036
0.028686500,0.840789464
0.028890000,0.840722859
0.029093400,0.840656287
0.029296900,0.844589683
0.029500300,0.848523111
0.029703800,0.848456506
0.029907200,0.852389934
0.030110700,0.856323330
