Parámetro,Valor
Ra (Promedio Aritmético),1.794 µm
Rq (RMS),2.216 µm
Rp (Pico Máximo),4.712 µm
Rv (Valle Máximo),-5.584 µm
Rt (Altura Total del Perfil),10.296 µm
Rz (ISO 4287:1997),6.614 µm
Rsk (Asimetría),0.045
Rku (Curtosis),2.392
RSm (Anchura Media de Elementos),310.077 µm
Rdq (Pendiente RMS),23.426 µm/mm
Rda (Pendiente Media Absoluta),15.592 µm/mm
Pc (Conteo de Picos),55.40 1/mm
Rpk (Altura de picos que se desgastan),0.911 µm
Rk (Profundidad del núcleo funcional),2.312 µm
Rvk (Profundidad de valles para lubricante),0.754 µm
Mr1 (%),38.57
Mr2 (%),82.77
