x (mm),altura (µm)
0.000000000,-4.921103470
0.000203500,-4.921081665
0.000406900,-4.905059870
0.000610400,-4.901038065
0.000813800,-4.897016271
0.001017300,-4.884994465
0.001220700,-4.880972671
0.001424200,-4.872950865
0.001627600,-4.872929071
0.001831100,-4.856907266
0.002034500,-4.856885471
0.002238000,-4.848863666
0.002441400,-4.836841871
0.002644900,-4.832820066
0.002848300,-4.824798272
0.003051800,-4.816776466
0.003255200,-4.808754672
0.003458700,-4.808732866
0.003662100,-4.800711072
0.003865600,-4.792689267
0.004069000,-4.784667472
0.004272500,-4.776645667
0.004475900,-4.768623872
0.004679400,-4.760602067
0.004882800,-4.760580272
0.005086300,-4.744558467
0.005289700,-4.744536673
0.005493200,-4.736514867
0.005696600,-4.732493073
0.005900100,-4.720471268
0.006103500,-4.716449473
0.006307000,-4.712427668
0.006510400,-4.696405873
0.006713900,-4.696384068
0.006917300,-4.688362273
0.007120800,-4.680340468
0.007324200,-4.672318674
0.007527700,-4.668296868
0.007731100,-4.656275074
0.007934600,-4.652253268
0.008138000,-4.648231474
0.008341500,-4.644209669
0.008544900,-4.632187874
0.008748400,-4.624166069
0.008951800,-4.620144274
0.009155300,-4.608122469
0.009358700,-4.604100675
0.009562200,-4.600078869
0.009765600,-4.588057075
0.009969100,-4.584035269
0.010172500,-4.580013475
0.010376000,-4.571991670
0.010579400,-4.559969875
0.010782900,-4.555948070
0.010986300,-4.551926275
0.011189800,-4.539904470
0.011393200,-4.535882675
0.011596700,-4.531860870
0.011800100,-4.519839076
0.012003600,-4.515817270
0.012207000,-4.507795476
0.012410500,-4.507773671
0.012613900,-4.491751876
0.012817400,-4.487730071
0.013020800,-4.483708276
0.013224300,-4.471686471
0.013427700,-4.467664676
0.013631200,-4.459642871
0.013834600,-4.451621077
0.014038100,-4.443599271
0.014241500,-4.443577477
0.014445000,-4.435555671
0.014648400,-4.427533877
0.014851900,-4.419512072
0.015055300,-4.415490277
0.015258800,-4.403468472
0.015462200,-4.399446677
0.015665700,-4.395424872
0.015869100,-4.383403078
0.016072600,-4.379381272
0.016276000,-4.371359478
0.016479500,-4.363337672
0.016682900,-4.355315878
0.016886400,-4.351294073
