x (mm),altura (µm)
0.000000000,36.464300001
0.000203500,36.456929365
0.000406900,36.445560386
0.000610400,36.442189750
0.000813800,36.434820771
0.001017300,36.423450136
0.001220700,36.420081156
0.001424200,36.412710521
0.001627600,36.405341542
0.001831100,36.397970906
0.002034500,36.390601927
0.002238000,36.383231291
0.002441400,36.375862312
0.002644900,36.368491677
0.002848300,36.365122697
0.003051800,36.353752062
0.003255200,36.350383083
0.003458700,36.343012447
0.003662100,36.335643468
0.003865600,36.328272832
0.004069000,36.320903853
0.004272500,36.317533218
0.004475900,36.306164238
0.004679400,36.302793603
0.004882800,36.295424624
0.005086300,36.288053988
0.005289700,36.280685009
0.005493200,36.277314373
0.005696600,36.269945394
0.005900100,36.262574759
0.006103500,36.255205779
0.006307000,36.251835144
0.006510400,36.244466165
0.006713900,36.237095529
0.006917300,36.233726550
0.007120800,36.226355914
0.007324200,36.218986935
0.007527700,36.215616300
0.007731100,36.208247320
0.007934600,36.200876685
0.008138000,36.197507706
0.008341500,36.190137070
0.008544900,36.182768091
0.008748400,36.179397455
0.008951800,36.172028476
0.009155300,36.164657841
0.009358700,36.161288861
0.009562200,36.153918226
0.009765600,36.146549247
0.009969100,36.143178611
0.010172500,36.139809632
0.010376000,36.132438996
0.010579400,36.125070017
0.010782900,36.121699382
0.010986300,36.118330402
0.011189800,36.110959767
0.011393200,36.103590788
0.011596700,36.100220152
0.011800100,36.092851173
0.012003600,36.089480537
0.012207000,36.086111558
0.012410500,36.078740923
0.012613900,36.075371943
0.012817400,36.068001308
0.013020800,36.064632329
0.013224300,36.057261693
0.013427700,36.053892714
0.013631200,36.050522078
0.013834600,36.043153099
0.014038100,36.039782464
0.014241500,36.036413484
0.014445000,36.029042849
0.014648400,36.025673870
0.014851900,36.022303234
0.015055300,36.014934255
0.015258800,36.011563619
0.015462200,36.008194640
0.015665700,36.000824005
0.015869100,35.997455025
0.016072600,35.994084390
0.016276000,35.986715411
0.016479500,35.983344775
0.016682900,35.979975796
0.016886400,35.976605160
0.017089800,35.969236181
0.017293300,35.965865546
0.017496700,35.962496566
0.017700200,35.959125931
0.017903600,35.951756952
0.018107100,35.948386316
0.018310500,35.945017337
0.018514000,35.941646701
0.018717400,35.938277722
0.018920900,35.930907087
0.019124300,35.927538107
0.019327800,35.924167472
0.019531300,35.920796836
0.019734700,35.917427857
0.019938200,35.914057222
0.020141600,35.906688242
0.020345100,35.903317607
0.020548500,35.899948628
0.020752000,35.896577992
0.020955400,35.893209013
0.021158900,35.889838377
0.021362300,35.886469398
0.021565800,35.883098763
0.021769200,35.879729783
0.021972700,35.872359148
0.022176100,35.868990169
0.022379600,35.865619533
0.022583000,35.862250554
0.022786500,35.858879918
0.022989900,35.855510939
0.023193400,35.852140304
0.023396800,35.848771324
0.023600300,35.845400689
0.023803700,35.842031710
0.024007200,35.838661074
0.024210600,35.835292095
0.024414100,35.831921459
0.024617500,35.828552480
0.024821000,35.825181845
0.025024400,35.821812865
0.025227900,35.818442230
0.025431300,35.815073251
0.025634800,35.811702615
0.025838200,35.808333636
0.026041700,35.804963000
0.026245100,35.801594021
0.026448600,35.798223386
0.026652000,35.794854406
0.026855500,35.791483771
0.027058900,35.788114792
0.027262400,35.784744156
0.027465800,35.781375177
0.027669300,35.778004541
0.027872700,35.774635562
0.028076200,35.775264927
0.028279600,35.771895947
0.028483100,35.768525312
0.028686500,35.765156333
0.028890000,35.761785697
0.029093400,35.758416718
0.029296900,35.755046082
0.029500300,35.751677103
0.029703800,35.748306468
