Parámetro,Valor
Ra (Promedio Aritmético),3.614 µm
Rq (RMS),4.149 µm
Rp (Pico Máximo),9.816 µm
Rv (Valle Máximo),-7.356 µm
Rt (Altura Total del Perfil),17.172 µm
Rz (ISO 4287:1997),10.638 µm
Rsk (Asimetría),0.604
Rku (Curtosis),2.325
RSm (Anchura Media de Elementos),784.148 µm
Rdq (Pendiente RMS),26.675 µm/mm
Rda (Pendiente Media Absoluta),20.390 µm/mm
Pc (Conteo de Picos),111.20 1/mm
Rpk (Altura de picos que se desgastan),3.097 µm
Rk (Profundidad del núcleo funcional),2.017 µm
Rvk (Profundidad de valles para lubricante),0.288 µm
Mr1 (%),62.16
Mr2 (%),92.89
