x (mm),altura (µm)
0.000000000,8.794036196
0.000203500,8.797777840
0.000406900,8.801519611
0.000610400,8.801261255
0.000813800,8.805003026
0.001017300,8.804744670
0.001220700,8.808486441
0.001424200,8.812228085
0.001627600,8.811969856
0.001831100,8.815711501
0.002034500,8.815453272
0.002238000,8.819194916
0.002441400,8.822936687
0.002644900,8.822678331
0.002848300,8.826420102
0.003051800,8.830161746
0.003255200,8.829903517
0.003458700,8.833645161
0.003662100,8.833386932
0.003865600,8.837128576
0.004069000,8.840870347
0.004272500,8.840611991
0.004475900,8.844353762
0.004679400,8.844095406
0.004882800,8.847837177
0.005086300,8.851578821
0.005289700,8.851320592
0.005493200,8.855062236
0.005696600,8.854804007
0.005900100,8.858545651
0.006103500,8.862287422
0.006307000,8.862029066
0.006510400,8.865770837
0.006713900,8.865512482
0.006917300,8.865254253
0.007120800,8.868995897
0.007324200,8.864737668
0.007527700,8.868479312
0.007731100,8.868221083
0.007934600,8.867962727
0.008138000,8.867704498
0.008341500,8.867446142
0.008544900,8.867187913
0.008748400,8.866929557
0.008951800,8.866671328
0.009155300,8.862412972
0.009358700,8.862154743
0.009562200,8.861896387
0.009765600,8.857638158
0.009969100,8.853379802
0.010172500,8.853121573
0.010376000,8.852863217
0.010579400,8.844604988
0.010782900,8.844346632
0.010986300,8.836088403
0.011189800,8.831830048
0.011393200,8.831571819
0.011596700,8.823313463
0.011800100,8.815055234
0.012003600,8.814796878
0.012207000,8.806538649
0.012410500,8.802280293
0.012613900,8.790022064
0.012817400,8.785763708
0.013020800,8.785505479
0.013224300,8.769247123
0.013427700,8.764988894
0.013631200,8.756730538
0.013834600,8.744472309
0.014038100,8.740213953
0.014241500,8.731955724
0.014445000,8.723697368
0.014648400,8.711439139
0.014851900,8.703180783
0.015055300,8.694922554
0.015258800,8.678664198
0.015462200,8.670405969
0.015665700,8.666147613
0.015869100,8.645889384
0.016072600,8.641631029
0.016276000,8.629372800
0.016479500,8.613114444
0.016682900,8.608856215
0.016886400,8.596597859
0.017089800,8.588339630
0.017293300,8.572081274
0.017496700,8.563823045
0.017700200,8.555564689
0.017903600,8.535306460
0.018107100,8.527048104
0.018310500,8.522789875
0.018514000,8.502531519
0.018717400,8.494273290
0.018920900,8.490014934
0.019124300,8.477756705
0.019327800,8.461498349
0.019531300,8.449239993
0.019734700,8.444981764
0.019938200,8.428723408
0.020141600,8.416465179
0.020345100,8.412206823
0.020548500,8.391948595
0.020752000,8.387690239
0.020955400,8.379432010
0.021158900,8.371173654
0.021362300,8.354915425
0.021565800,8.350657069
0.021769200,8.342398840
0.021972700,8.326140484
0.022176100,8.317882255
0.022379600,8.317623899
0.022583000,8.305365670
0.022786500,8.293107314
0.022989900,8.288849085
0.023193400,8.284590729
0.023396800,8.268332500
0.023600300,8.264074144
0.023803700,8.255815915
0.024007200,8.247557559
0.024210600,8.243299330
0.024414100,8.235040974
0.024617500,8.222782745
0.024821000,8.214524389
0.025024400,8.214266160
0.025227900,8.202007805
0.025431300,8.193749576
0.025634800,8.193491220
0.025838200,8.189232991
0.026041700,8.176974635
0.026245100,8.172716406
0.026448600,8.164458050
0.026652000,8.156199821
0.026855500,8.155941465
0.027058900,8.147683236
0.027262400,8.139424880
0.027465800,8.139166651
0.027669300,8.130908295
0.027872700,8.130650066
0.028076200,8.118391710
0.028279600,8.114133481
0.028483100,8.113875125
0.028686500,8.101616896
0.028890000,8.097358540
0.029093400,8.097100311
0.029296900,8.084841955
0.029500300,8.084583726
0.029703800,8.076325370
0.029907200,8.076067142
0.030110700,8.067808786
0.030314100,8.063550557
0.030517600,8.059292201
0.030721000,8.047033972
0.030924500,8.046775616
0.031127900,8.046517387
0.031331400,8.034259031
0.031534800,8.030000802
0.031738300,8.029742446
0.031941700,8.025484217
0.032145200,8.017225861
0.032348600,8.008967632
0.032552100,8.008709276
0.032755500,8.000451047
0.032959000,7.996192691
0.033162400,7.991934462
0.033365900,7.987676106
0.033569300,7.979417877
0.033772800,7.979159521
0.033976200,7.970901292
0.034179700,7.966642936
0.034383100,7.962384707
0.034586600,7.958126352
0.034790000,7.949868123
0.034993500,7.945609767
0.035196900,7.941351538
0.035400400,7.933093182
0.035603800,7.924834953
0.035807300,7.924576597
0.036010700,7.916318368
0.036214200,7.908060012
0.036417600,7.907801783
0.036621100,7.903543427
0.036824500,7.891285198
0.037028000,7.891026842
0.037231400,7.882768613
0.037434900,7.874510257
0.037638300,7.870252028
0.037841800,7.865993672
0.038045200,7.857735443
0.038248700,7.853477087
0.038452100,7.845218858
0.038655600,7.844960502
0.038859000,7.828702273
0.039062500,7.828443917
0.039266000,7.824185562
0.039469400,7.811927333
0.039672900,7.807668977
0.039876300,7.803410748
0.040079800,7.791152392
0.040283200,7.786894163
0.040486700,7.778635807
0.040690100,7.778377578
0.040893600,7.766119222
0.041097000,7.757860993
0.041300500,7.753602637
0.041503900,7.745344408
0.041707400,7.737086052
0.041910800,7.732827823
0.042114300,7.716569467
0.042317700,7.712311238
0.042521200,7.708052882
0.042724600,7.699794653
0.042928100,7.691536297
0.043131500,7.687278068
0.043335000,7.679019712
0.043538400,7.666761483
0.043741900,7.658503128
0.043945300,7.654244899
0.044148800,7.641986543
0.044352200,7.633728314
0.044555700,7.629469958
0.044759100,7.617211729
0.044962600,7.608953373
0.045166000,7.604695144
0.045369500,7.592436788
0.045572900,7.580178559
0.045776400,7.575920203
0.045979800,7.567661974
0.046183300,7.555403618
0.046386700,7.551145389
0.046590200,7.542887033
0.046793600,7.530628804
0.046997100,7.518370448
0.047200500,7.514112219
0.047404000,7.509853863
0.047607400,7.493595634
0.047810900,7.489337278
0.048014300,7.485079049
0.048217800,7.464820693
0.048421200,7.460562465
0.048624700,7.452304109
0.048828100,7.440045880
0.049031600,7.435787524
0.049235000,7.427529295
0.049438500,7.423270939
0.049641900,7.407012710
0.049845400,7.398754354
0.050048800,7.394496125
0.050252300,7.382237769
0.050455700,7.373979540
0.050659200,7.369721184
0.050862600,7.353462955
0.051066100,7.349204599
0.051269500,7.344946370
0.051473000,7.336688014
0.051676400,7.320429785
0.051879900,7.316171429
0.052083300,7.307913200
0.052286800,7.295654844
0.052490200,7.287396615
0.052693700,7.283138259
0.052897100,7.270880030
0.053100600,7.262621675
0.053304000,7.258363446
0.053507500,7.258105090
0.053710900,7.241846861
0.053914400,7.237588505
0.054117800,7.229330276
0.054321300,7.217071920
0.054524700,7.212813691
0.054728200,7.204555335
0.054931600,7.192297106
0.055135100,7.188038750
0.055338500,7.183780521
0.055542000,7.171522165
0.055745400,7.163263936
0.055948900,7.159005580
0.056152300,7.154747351
0.056355800,7.142488995
0.056559200,7.138230766
0.056762700,7.133972410
0.056966100,7.117714181
0.057169600,7.113455825
0.057373000,7.113197596
0.057576500,7.096939240
0.057779900,7.092681012
0.057983400,7.084422656
0.058186800,7.084164427
0.058390300,7.071906071
0.058593800,7.063647715
0.058797200,7.063389486
0.059000700,7.051131130
0.059204100,7.042872901
0.059407600,7.038614545
0.059611000,7.026356316
0.059814500,7.022097960
0.060017900,7.017839731
0.060221400,7.013581375
0.060424800,7.001323146
0.060628300,6.997064790
0.060831700,6.992806561
0.061035200,6.980548205
0.061238600,6.972289976
0.061442100,6.972031620
0.061645500,6.959773391
0.061849000,6.951515035
0.062052400,6.951256806
0.062255900,6.946998451
0.062459300,6.930740222
0.062662800,6.930481866
0.062866200,6.926223637
0.063069700,6.909965281
0.063273100,6.909707052
0.063476600,6.901448696
0.063680000,6.889190467
0.063883500,6.888932111
0.064086900,6.880673882
0.064290400,6.872415526
0.064493800,6.868157297
0.064697300,6.859898941
0.064900700,6.855640712
0.065104200,6.843382356
0.065307600,6.839124127
0.065511100,6.838865771
0.065714500,6.822607542
0.065918000,6.822349186
0.066121400,6.818090957
0.066324900,6.805832601
0.066528300,6.801574372
0.066731800,6.797316016
0.066935200,6.793057787
0.067138700,6.780799432
0.067342100,6.776541203
0.067545600,6.772282847
0.067749000,6.764024618
0.067952500,6.755766262
0.068155900,6.751508033
0.068359400,6.743249677
0.068562800,6.734991448
0.068766300,6.734733092
0.068969700,6.726474863
0.069173200,6.718216507
0.069376600,6.713958278
0.069580100,6.709699922
0.069783500,6.697441693
0.069987000,6.697183337
0.070190400,6.688925108
0.070393900,6.680666752
0.070597300,6.676408523
0.070800800,6.672150167
0.071004200,6.667891938
0.071207700,6.655633582
0.071411100,6.651375353
0.071614600,6.651116998
0.071818000,6.634858769
0.072021500,6.634600413
0.072224900,6.630342184
0.072428400,6.618083828
0.072631800,6.613825599
0.072835300,6.613567243
0.073038700,6.597309014
0.073242200,6.597050658
0.073445600,6.588792429
0.073649100,6.584534073
0.073852500,6.576275844
0.074056000,6.568017488
0.074259400,6.563759259
0.074462900,6.555500903
0.074666300,6.547242674
0.074869800,6.542984318
0.075073200,6.530726089
0.075276700,6.526467733
0.075480100,6.522209504
0.075683600,6.513951148
0.075887000,6.505692919
0.076090500,6.501434563
0.076293900,6.493176334
0.076497400,6.480917979
0.076700800,6.476659750
0.076904300,6.472401394
0.077107700,6.460143165
0.077311200,6.451884809
0.077514600,6.447626580
0.077718100,6.443368224
0.077921500,6.427109995
0.078125000,6.422851639
0.078328500,6.418593283
0.078531900,6.402335054
0.078735400,6.398076698
0.078938800,6.389818469
0.079142300,6.373560113
0.079345700,6.369301884
0.079549200,6.361043528
0.079752600,6.356785299
0.079956100,6.340526943
0.080159500,6.332268714
0.080363000,6.328010358
0.080566400,6.315752129
0.080769900,6.303493773
0.080973300,6.299235545
0.081176800,6.282977189
0.081380200,6.274718960
0.081583700,6.270460604
0.081787100,6.262202375
0.081990600,6.245944019
0.082194000,6.241685790
0.082397500,6.229427434
0.082600900,6.217169205
0.082804400,6.208910849
0.083007800,6.200652620
0.083211300,6.184394264
0.083414700,6.176136035
0.083618200,6.167877679
0.083821600,6.155619450
0.084025100,6.143361094
0.084228500,6.139102865
0.084432000,6.130844509
0.084635400,6.110586280
0.084838900,6.106327924
0.085042300,6.102069695
0.085245800,6.081811339
0.085449200,6.073553110
0.085652700,6.065294755
0.085856100,6.049036526
0.086059600,6.044778170
0.086263000,6.036519941
0.086466500,6.028261585
0.086669900,6.016003356
0.086873400,6.003745000
0.087076800,5.999486771
0.087280300,5.983228415
0.087483700,5.974970186
0.087687200,5.970711830
0.087890600,5.954453601
0.088094100,5.946195245
0.088297500,5.941937016
0.088501000,5.933678660
0.088704400,5.921420431
0.088907900,5.917162075
0.089111300,5.908903846
0.089314800,5.896645490
0.089518200,5.892387261
0.089721700,5.884128905
0.089925100,5.871870676
0.090128600,5.863612320
