Parámetro,Valor
Ra (Promedio Aritmético),3.126 µm
Rq (RMS),3.865 µm
Rp (Pico Máximo),8.416 µm
Rv (Valle Máximo),-8.936 µm
Rt (Altura Total del Perfil),17.352 µm
Rz (ISO 4287:1997),11.358 µm
Rsk (Asimetría),-0.016
Rku (Curtosis),2.562
RSm (Anchura Media de Elementos),412.743 µm
Rdq (Pendiente RMS),30.628 µm/mm
Rda (Pendiente Media Absoluta),22.931 µm/mm
Pc (Conteo de Picos),94.60 1/mm
Rpk (Altura de picos que se desgastan),1.385 µm
Rk (Profundidad del núcleo funcional),11.875 µm
Rvk (Profundidad de valles para lubricante),1.066 µm
Mr1 (%),7.37
Mr2 (%),95.24
