x (mm),altura (µm)
0.000000000,-0.263921726
0.000379800,-0.263219645
0.000759600,-0.274517564
0.001139500,-0.277815299
0.001519300,-0.277113218
0.001899100,-0.284411137
0.002278900,-0.287709056
0.002658800,-0.287006791
0.003038600,-0.290304710
0.003418400,-0.301602629
0.003798200,-0.300900548
0.004178100,-0.300198283
0.004557900,-0.311496202
0.004937700,-0.314794121
0.005317500,-0.314092040
0.005697400,-0.325389775
0.006077200,-0.324687694
0.006457000,-0.327985613
0.006836800,-0.331283533
0.007216700,-0.338581267
0.007596500,-0.341879186
0.007976300,-0.341177105
0.008356100,-0.352475025
0.008735900,-0.351772944
0.009115800,-0.355070678
0.009495600,-0.366368598
0.009875400,-0.365666517
0.010255200,-0.368964436
0.010635100,-0.376262170
0.011014900,-0.383560090
0.011394700,-0.382858009
0.011774500,-0.390155928
0.012154400,-0.397453662
0.012534200,-0.396751582
0.012914000,-0.400049501
0.013293800,-0.411347420
0.013673700,-0.414645155
0.014053500,-0.413943074
0.014433300,-0.425240993
0.014813100,-0.428538912
0.015193000,-0.431836647
0.015572800,-0.435134566
0.015952600,-0.442432485
0.016332400,-0.445730404
0.016712200,-0.453028324
0.017092100,-0.460326058
0.017471900,-0.459623977
0.017851700,-0.462921896
0.018231500,-0.474219816
0.018611400,-0.477517550
0.018991200,-0.480815469
0.019371000,-0.484113389
0.019750800,-0.491411308
0.020130700,-0.494709042
0.020510500,-0.502006961
0.020890300,-0.509304881
0.021270100,-0.512602800
0.021650000,-0.511900534
0.022029800,-0.523198453
0.022409600,-0.526496373
0.022789400,-0.529794292
0.023169200,-0.533092211
0.023549100,-0.544389946
0.023928900,-0.543687865
0.024308700,-0.550985784
0.024688500,-0.558283703
0.025068400,-0.557581438
0.025448200,-0.560879357
0.025828000,-0.572177276
0.026207800,-0.575475195
0.026587700,-0.574772930
0.026967500,-0.582070849
0.027347300,-0.589368768
0.027727100,-0.588666687
0.028107000,-0.591964422
0.028486800,-0.603262341
0.028866600,-0.602560260
0.029246400,-0.605858180
0.029626300,-0.617155914
0.030006100,-0.616453833
0.030385900,-0.619751752
0.030765700,-0.631049672
0.031145500,-0.630347591
0.031525400,-0.633645325
0.031905200,-0.632943245
0.032285000,-0.644241164
0.032664800,-0.643539083
0.033044700,-0.646836817
0.033424500,-0.658134737
0.033804300,-0.657432656
0.034184100,-0.660730575
0.034564000,-0.664028309
0.034943800,-0.671326229
0.035323600,-0.670624148
0.035703400,-0.673922067
0.036083300,-0.681219802
0.036463100,-0.684517721
0.036842900,-0.683815640
0.037222700,-0.695113559
0.037602600,-0.694411294
0.037982400,-0.693709213
0.038362200,-0.701007132
0.038742000,-0.704305051
0.039121800,-0.707602971
0.039501700,-0.706900705
0.039881500,-0.718198624
0.040261300,-0.717496543
0.040641100,-0.716794463
0.041021000,-0.724092197
0.041400800,-0.727390116
0.041780600,-0.730688036
0.042160400,-0.733985955
0.042540300,-0.741283689
0.042920100,-0.740581608
0.043299900,-0.739879528
0.043679700,-0.747177447
0.044059600,-0.750475181
0.044439400,-0.749773100
0.044819200,-0.757071020
0.045199000,-0.756368939
0.045578900,-0.763666673
0.045958700,-0.766964593
0.046338500,-0.766262512
0.046718300,-0.773560431
0.047098100,-0.776858350
0.047478000,-0.776156085
0.047857800,-0.779454004
0.048237600,-0.782751923
0.048617400,-0.786049842
0.048997300,-0.789347577
0.049377100,-0.792645496
0.049756900,-0.795943415
0.050136700,-0.799241334
0.050516600,-0.798539069
0.050896400,-0.805836988
0.051276200,-0.809134907
0.051656000,-0.808432827
0.052035900,-0.811730561
0.052415700,-0.819028480
0.052795500,-0.818326399
0.053175300,-0.817624319
0.053555200,-0.828922053
0.053935000,-0.828219972
0.054314800,-0.827517892
0.054694600,-0.834815811
0.055074400,-0.838113730
0.055454300,-0.837411464
0.055834100,-0.836709384
0.056213900,-0.848007303
0.056593700,-0.847305222
0.056973600,-0.846602956
0.057353400,-0.853900876
0.057733200,-0.857198795
0.058113000,-0.856496714
0.058492900,-0.863794449
0.058872700,-0.863092368
0.059252500,-0.866390287
0.059632300,-0.869688206
0.060012200,-0.872985941
0.060392000,-0.880283860
0.060771800,-0.879581779
0.061151600,-0.882879698
0.061531400,-0.886177618
0.061911300,-0.889475352
0.062291100,-0.896773271
0.062670900,-0.896071190
0.063050700,-0.895369110
0.063430600,-0.902666844
0.063810400,-0.905964763
0.064190200,-0.909262683
0.064570000,-0.912560602
0.064949900,-0.919858336
0.065329700,-0.919156255
0.065709500,-0.922454175
0.066089300,-0.929752094
0.066469200,-0.933049828
0.066849000,-0.932347748
0.067228800,-0.939645667
0.067608600,-0.942943586
0.067988500,-0.946241320
0.068368300,-0.945539240
0.068748100,-0.952837159
0.069127900,-0.956135078
0.069507700,-0.959432997
0.069887600,-0.962730732
0.070267400,-0.970028651
0.070647200,-0.969326570
0.071027000,-0.976624489
0.071406900,-0.979922224
0.071786700,-0.983220143
0.072166500,-0.982518062
0.072546300,-0.989815981
0.072926200,-0.993113716
0.073306000,-0.996411635
0.073685800,-1.003709554
0.074065600,-1.007007474
0.074445500,-1.006305208
0.074825300,-1.017603127
0.075205100,-1.016901046
0.075584900,-1.020198966
0.075964800,-1.019496700
0.076344600,-1.030794619
0.076724400,-1.034092539
0.077104200,-1.033390458
0.077484000,-1.044688377
0.077863900,-1.047986111
0.078243700,-1.047284031
0.078623500,-1.054581950
0.079003300,-1.057879869
0.079383200,-1.061177603
0.079763000,-1.060475523
0.080142800,-1.067773442
0.080522600,-1.075071361
0.080902500,-1.074369096
0.081282300,-1.081667015
0.081662100,-1.084964934
0.082041900,-1.088262853
0.082421800,-1.095560588
0.082801600,-1.098858507
0.083181400,-1.098156426
0.083561200,-1.109454345
0.083941100,-1.112752080
0.084320900,-1.112049999
0.084700700,-1.115347918
0.085080500,-1.126645837
0.085460300,-1.125943757
0.085840200,-1.129241491
0.086220000,-1.136539410
0.086599800,-1.139837330
0.086979600,-1.143135249
0.087359500,-1.150432983
0.087739300,-1.149730902
0.088119100,-1.157028822
0.088498900,-1.160326741
0.088878800,-1.167624475
0.089258600,-1.166922395
0.089638400,-1.174220314
0.090018200,-1.181518233
0.090398100,-1.180815967
0.090777900,-1.184113887
0.091157700,-1.195411806
0.091537500,-1.198709725
0.091917400,-1.198007459
0.092297200,-1.201305379
0.092677000,-1.212603298
0.093056800,-1.211901217
0.093436600,-1.215199136
0.093816500,-1.222496871
0.094196300,-1.229794790
0.094576100,-1.229092709
0.094955900,-1.240390629
0.095335800,-1.239688363
0.095715600,-1.246986282
0.096095400,-1.246284201
0.096475200,-1.253582121
0.096855100,-1.256879855
0.097234900,-1.264177774
0.097614700,-1.271475693
0.097994500,-1.270773613
0.098374400,-1.274071347
0.098754200,-1.285369266
0.099134000,-1.288667186
0.099513800,-1.287965105
0.099893600,-1.291263024
0.100273500,-1.302560758
0.100653300,-1.305858678
0.101033100,-1.305156597
0.101412900,-1.312454516
0.101792800,-1.319752250
0.102172600,-1.323050170
0.102552400,-1.330348089
0.102932200,-1.329646008
0.103312100,-1.336943743
0.103691900,-1.344241662
0.104071700,-1.347539581
0.104451500,-1.346837500
0.104831400,-1.350135235
0.105211200,-1.361433154
0.105591000,-1.360731073
0.105970800,-1.364028992
0.106350700,-1.371326727
0.106730500,-1.378624646
0.107110300,-1.377922565
0.107490100,-1.385220484
0.107869900,-1.388518404
0.108249800,-1.391816138
0.108629600,-1.395114057
0.109009400,-1.402411977
0.109389200,-1.405709896
0.109769100,-1.409007630
0.110148900,-1.416305549
0.110528700,-1.419603469
0.110908500,-1.418901388
0.111288400,-1.426199122
0.111668200,-1.433497042
0.112048000,-1.432794961
0.112427800,-1.436092880
0.112807700,-1.443390614
0.113187500,-1.446688534
0.113567300,-1.449986453
0.113947100,-1.457284372
0.114327000,-1.456582106
0.114706800,-1.463880026
0.115086600,-1.471177945
0.115466400,-1.470475864
0.115846200,-1.473773783
0.116226100,-1.477071518
0.116605900,-1.484369437
0.116985700,-1.483667356
0.117365500,-1.486965276
0.117745400,-1.494263010
0.118125200,-1.497560929
0.118505000,-1.500858848
0.118884800,-1.508156768
0.119264700,-1.507454502
0.119644500,-1.514752421
0.120024300,-1.518050340
0.120404100,-1.521348260
0.120784000,-1.520645994
0.121163800,-1.523943913
0.121543600,-1.535241833
0.121923400,-1.534539752
0.122303300,-1.537837486
0.122683100,-1.545135405
0.123062900,-1.548433325
0.123442700,-1.551731244
0.123822500,-1.555029163
0.124202400,-1.558326898
0.124582200,-1.561624817
0.124962000,-1.564922736
0.125341800,-1.572220655
0.125721700,-1.571518390
0.126101500,-1.574816309
0.126481300,-1.586114228
0.126861100,-1.585412147
0.127241000,-1.588709882
0.127620800,-1.592007801
0.128000600,-1.599305720
0.128380400,-1.598603639
0.128760300,-1.601901374
0.129140100,-1.609199293
0.129519900,-1.608497212
0.129899700,-1.615795131
0.130279600,-1.623092866
0.130659400,-1.622390785
0.131039200,-1.625688704
0.131419000,-1.632986624
0.131798800,-1.636284543
0.132178700,-1.635582277
0.132558500,-1.638880196
0.132938300,-1.646178116
0.133318100,-1.649476035
0.133698000,-1.652773769
0.134077800,-1.660071689
0.134457600,-1.659369608
0.134837400,-1.662667527
0.135217300,-1.673965261
0.135597100,-1.673263181
0.135976900,-1.672561100
0.136356700,-1.679859019
0.136736600,-1.687156753
0.137116400,-1.686454673
0.137496200,-1.689752592
0.137876000,-1.693050511
0.138255800,-1.696348430
0.138635700,-1.699646165
0.139015500,-1.706944084
0.139395300,-1.710242003
0.139775100,-1.709539923
0.140155000,-1.716837657
0.140534800,-1.720135576
0.140914600,-1.723433495
0.141294400,-1.722731415
0.141674300,-1.730029149
0.142054100,-1.733327068
0.142433900,-1.732624987
0.142813700,-1.739922907
0.143193600,-1.743220641
0.143573400,-1.742518560
0.143953200,-1.753816480
0.144333000,-1.753114399
0.144712900,-1.752412133
0.145092700,-1.755710052
0.145472500,-1.759007972
0.145852300,-1.766305891
0.146232100,-1.765603810
0.146612000,-1.768901545
0.146991800,-1.772199464
0.147371600,-1.771497383
0.147751400,-1.782795302
0.148131300,-1.782093037
0.148511100,-1.781390956
0.148890900,-1.780688875
0.149270700,-1.787986794
0.149650600,-1.791284529
0.150030400,-1.790582448
0.150410200,-1.797880367
0.150790000,-1.797178286
0.151169900,-1.800476021
0.151549700,-1.807773940
0.151929500,-1.807071859
0.152309300,-1.806369778
0.152689200,-1.805667513
0.153069000,-1.816965432
0.153448800,-1.816263351
0.153828600,-1.815561271
0.154208400,-1.822859190
0.154588300,-1.822156924
0.154968100,-1.825454843
0.155347900,-1.832752763
0.155727700,-1.832050682
0.156107600,-1.831348416
