x (mm),altura (µm)
0.000000000,-17.318892833
0.000455200,-17.302728637
0.000910500,-17.290560890
0.001365700,-17.274396695
0.001821000,-17.262228948
0.002276200,-17.250064753
0.002731500,-17.233897006
0.003186700,-17.221732811
0.003642000,-17.205565064
0.004097200,-17.193400869
0.004552500,-17.181233122
0.005007700,-17.165068926
0.005463000,-17.152901180
0.005918200,-17.140736984
0.006373500,-17.124569238
0.006828700,-17.112405042
0.007284000,-17.096237296
0.007739200,-17.084073100
0.008194500,-17.067905354
0.008649700,-17.055741158
0.009105000,-17.043573412
0.009560200,-17.027409216
0.010015500,-17.015241469
0.010470700,-17.003077274
0.010926000,-16.986909527
0.011381200,-16.974745332
0.011836500,-16.962577585
0.012291700,-16.946413390
0.012747000,-16.934245643
0.013202200,-16.922081448
0.013657500,-16.905913701
0.014112700,-16.893749505
0.014568000,-16.881581759
0.015023200,-16.865417563
0.015478500,-16.853249817
0.015933700,-16.841085621
0.016389000,-16.824917875
0.016844200,-16.812753679
0.017299500,-16.800585933
0.017754700,-16.788421737
0.018210000,-16.772253991
0.018665200,-16.760089795
0.019120500,-16.747922048
0.019575700,-16.731757853
0.020031000,-16.719590106
0.020486200,-16.707425911
0.020941500,-16.695258164
0.021396700,-16.679093969
0.021852000,-16.666926222
0.022307200,-16.654762027
0.022762500,-16.642594280
0.023217700,-16.626430084
0.023672900,-16.614265889
0.024128200,-16.602098142
0.024583400,-16.589933947
0.025038700,-16.577766200
0.025493900,-16.561602005
0.025949200,-16.549434258
0.026404400,-16.537270063
0.026859700,-16.525102316
0.027314900,-16.508938121
0.027770200,-16.496770374
0.028225400,-16.484606178
0.028680700,-16.472438432
0.029135900,-16.460274236
0.029591200,-16.448106490
0.030046400,-16.435942294
0.030501700,-16.419774548
0.030956900,-16.407610352
0.031412200,-16.395442606
0.031867400,-16.383278410
0.032322700,-16.367110663
0.032777900,-16.358946468
0.033233200,-16.342778721
0.033688400,-16.330614526
0.034143700,-16.318446779
0.034598900,-16.306282584
0.035054200,-16.294114837
0.035509400,-16.281950642
0.035964700,-16.269782895
0.036419900,-16.253618700
0.036875200,-16.245450953
0.037330400,-16.229286757
0.037785700,-16.217119011
0.038240900,-16.200954815
0.038696200,-16.192787069
0.039151400,-16.176622873
0.039606700,-16.164455127
0.040061900,-16.152290931
0.040517200,-16.140123185
0.040972400,-16.127958989
0.041427700,-16.115791242
0.041882900,-16.099627047
0.042338200,-16.087459300
0.042793400,-16.075295105
0.043248700,-16.063127358
0.043703900,-16.046963163
0.044159200,-16.034795416
0.044614400,-16.022631221
0.045069700,-16.010463474
0.045524900,-15.994299279
0.045980200,-15.986131532
0.046435400,-15.969967336
0.046890600,-15.957803141
0.047345900,-15.941635394
0.047801100,-15.933471199
0.048256400,-15.917303452
0.048711600,-15.905139257
0.049166900,-15.892971510
0.049622100,-15.876807315
0.050077400,-15.864639568
0.050532600,-15.852475373
0.050987900,-15.840307626
0.051443100,-15.824143430
0.051898400,-15.811975684
0.052353600,-15.799811488
0.052808900,-15.787643742
0.053264100,-15.771479546
0.053719400,-15.759311800
0.054174600,-15.747147604
0.054629900,-15.730979858
0.055085100,-15.718815662
0.055540400,-15.706647915
0.055995600,-15.694483720
0.056450900,-15.682315973
0.056906100,-15.666151778
0.057361400,-15.653984031
0.057816600,-15.641819836
0.058271900,-15.629652089
0.058727100,-15.613487894
0.059182400,-15.601320147
0.059637600,-15.589155952
0.060092900,-15.576988205
0.060548100,-15.560824009
0.061003400,-15.552656263
0.061458600,-15.536492067
0.061913900,-15.524324321
0.062369100,-15.512160125
0.062824400,-15.499992379
0.063279600,-15.487828183
0.063734900,-15.471660437
0.064190100,-15.463496241
0.064645400,-15.447328494
0.065100600,-15.435164299
0.065555900,-15.422996552
0.066011100,-15.410832357
0.066466400,-15.398664610
0.066921600,-15.386500415
0.067376900,-15.374332668
0.067832100,-15.362168473
0.068287400,-15.350000726
0.068742600,-15.337836530
0.069197900,-15.325668784
0.069653100,-15.313504588
0.070108300,-15.301340393
0.070563600,-15.289172646
0.071018800,-15.277008451
0.071474100,-15.264840704
0.071929300,-15.252676509
0.072384600,-15.240508762
0.072839800,-15.228344567
0.073295100,-15.220176820
0.073750300,-15.208012624
0.074205600,-15.195844878
0.074660800,-15.183680682
0.075116100,-15.171512936
0.075571300,-15.159348740
0.076026600,-15.147180994
0.076481800,-15.139016798
0.076937100,-15.126849052
0.077392300,-15.114684856
0.077847600,-15.106517109
0.078302800,-15.094352914
0.078758100,-15.082185167
0.079213300,-15.070020972
0.079668600,-15.057853225
0.080123800,-15.045689030
0.080579100,-15.037521283
0.081034300,-15.025357088
0.081489600,-15.013189341
0.081944800,-15.001025146
0.082400100,-14.992857399
0.082855300,-14.980693203
0.083310600,-14.968525457
0.083765800,-14.960361261
0.084221100,-14.948193515
0.084676300,-14.936029319
0.085131600,-14.927861573
0.085586800,-14.915697377
0.086042100,-14.903529631
0.086497300,-14.891365435
0.086952600,-14.883197688
0.087407800,-14.871033493
0.087863100,-14.858865746
0.088318300,-14.850701551
0.088773600,-14.838533804
0.089228800,-14.826369609
0.089684100,-14.818201862
0.090139300,-14.806037667
0.090594600,-14.793869920
0.091049800,-14.781705725
0.091505100,-14.773537978
0.091960300,-14.761373782
0.092415600,-14.749206036
0.092870800,-14.741041840
0.093326000,-14.728877645
0.093781300,-14.716709898
0.094236500,-14.708545703
0.094691800,-14.696377956
0.095147000,-14.684213761
0.095602300,-14.672046014
0.096057500,-14.663881819
0.096512800,-14.651714072
0.096968000,-14.639549876
0.097423300,-14.631382130
0.097878500,-14.619217934
0.098333800,-14.607050188
0.098789000,-14.598885992
0.099244300,-14.586718246
0.099699500,-14.574554050
0.100154800,-14.562386304
0.100610000,-14.550222108
0.101065300,-14.538054361
0.101520500,-14.525890166
0.101975800,-14.517722419
0.102431000,-14.505558224
0.102886300,-14.493390477
0.103341500,-14.485226282
0.103796800,-14.473058535
0.104252000,-14.460894340
0.104707300,-14.452726593
0.105162500,-14.440562398
0.105617800,-14.424394651
0.106073000,-14.412230455
0.106528300,-14.404062709
0.106983500,-14.391898513
0.107438800,-14.379730767
0.107894000,-14.371566571
0.108349300,-14.359398825
0.108804500,-14.343234629
0.109259800,-14.335066883
0.109715000,-14.322902687
0.110170300,-14.310734940
0.110625500,-14.298570745
0.111080800,-14.286402998
0.111536000,-14.274238803
0.111991300,-14.262071056
0.112446500,-14.253906861
0.112901800,-14.237739114
0.113357000,-14.225574919
0.113812300,-14.217407172
0.114267500,-14.205242977
0.114722800,-14.193075230
