x (mm),altura (µm)
0.000000000,-3.379085360
0.000455200,-3.373158189
0.000910500,-3.367230595
0.001365700,-3.361303424
0.001821000,-3.359375829
0.002276200,-3.357448658
0.002731500,-3.351521064
0.003186700,-3.345593893
0.003642000,-3.339666299
0.004097200,-3.337739128
0.004552500,-3.335811534
0.005007700,-3.329884363
0.005463000,-3.323956769
0.005918200,-3.322029598
0.006373500,-3.316102004
0.006828700,-3.314174833
0.007284000,-3.308247239
0.007739200,-3.302320068
0.008194500,-3.296392473
0.008649700,-3.294465303
0.009105000,-3.292537708
0.009560200,-3.286610537
0.010015500,-3.280682943
0.010470700,-3.278755772
0.010926000,-3.272828178
0.011381200,-3.270901007
0.011836500,-3.268973413
0.012291700,-3.259046242
0.012747000,-3.257118648
0.013202200,-3.255191477
0.013657500,-3.249263883
0.014112700,-3.243336712
0.014568000,-3.241409117
0.015023200,-3.235481947
0.015478500,-3.233554352
0.015933700,-3.231627181
0.016389000,-3.221699587
0.016844200,-3.219772416
0.017299500,-3.217844822
0.017754700,-3.215917651
0.018210000,-3.205990057
0.018665200,-3.204062886
0.019120500,-3.202135292
0.019575700,-3.196208121
0.020031000,-3.194280527
0.020486200,-3.188353356
0.020941500,-3.186425762
0.021396700,-3.180498591
0.021852000,-3.178570996
0.022307200,-3.172643826
0.022762500,-3.170716231
0.023217700,-3.164789060
0.023672900,-3.162861889
0.024128200,-3.160934295
0.024583400,-3.155007124
0.025038700,-3.153079530
0.025493900,-3.147152359
0.025949200,-3.145224765
0.026404400,-3.139297594
0.026859700,-3.137370000
0.027314900,-3.131442829
0.027770200,-3.129515235
0.028225400,-3.127588064
0.028680700,-3.121660470
0.029135900,-3.119733299
0.029591200,-3.117805704
0.030046400,-3.115878534
0.030501700,-3.105950939
0.030956900,-3.104023768
0.031412200,-3.102096174
0.031867400,-3.100169003
0.032322700,-3.090241409
0.032777900,-3.092314238
0.033233200,-3.086386644
0.033688400,-3.084459473
0.034143700,-3.078531879
0.034598900,-3.076604708
0.035054200,-3.074677114
0.035509400,-3.072749943
0.035964700,-3.070822348
0.036419900,-3.060895178
0.036875200,-3.062967583
0.037330400,-3.057040412
0.037785700,-3.055112818
0.038240900,-3.045185647
0.038696200,-3.047258053
0.039151400,-3.041330882
0.039606700,-3.039403288
0.040061900,-3.033476117
0.040517200,-3.031548523
0.040972400,-3.029621352
0.041427700,-3.027693758
0.041882900,-3.017766587
0.042338200,-3.015838993
0.042793400,-3.013911822
0.043248700,-3.011984227
0.043703900,-3.002057057
0.044159200,-3.000129462
0.044614400,-2.998202291
0.045069700,-2.996274697
0.045524900,-2.986347526
0.045980200,-2.988419932
0.046435400,-2.982492761
0.046890600,-2.980565590
0.047345900,-2.970637996
0.047801100,-2.972710825
0.048256400,-2.966783231
0.048711600,-2.964856060
0.049166900,-2.958928466
0.049622100,-2.953001295
0.050077400,-2.951073701
0.050532600,-2.949146530
0.050987900,-2.943218935
0.051443100,-2.937291765
0.051898400,-2.935364170
0.052353600,-2.933436999
