x (mm),altura (µm)
0.000000000,-18.022372278
0.000210600,-18.020750355
0.000421100,-18.015127302
0.000631700,-18.009505379
0.000842300,-18.007883455
0.001052900,-18.002261532
0.001263400,-18.000638479
0.001474000,-17.999016556
0.001684600,-17.997394632
0.001895100,-17.991771580
0.002105700,-17.986149656
0.002316300,-17.984527733
0.002526800,-17.978904680
0.002737400,-17.977282756
0.002948000,-17.975660833
0.003158600,-17.970038910
0.003369100,-17.968415857
0.003579700,-17.966793933
0.003790300,-17.965172010
0.004000800,-17.959548957
0.004211400,-17.957927034
0.004422000,-17.952305110
0.004632600,-17.946683187
0.004843100,-17.945060134
0.005053700,-17.943438211
0.005264300,-17.937816287
0.005474800,-17.936193235
0.005685400,-17.934571311
0.005896000,-17.932949388
0.006106500,-17.927326335
0.006317100,-17.925704411
0.006527700,-17.924082488
0.006738300,-17.918460564
0.006948800,-17.916837512
0.007159400,-17.915215588
0.007370000,-17.909593665
0.007580500,-17.907970612
0.007791100,-17.906348689
0.008001700,-17.900726765
0.008212300,-17.899104842
0.008422800,-17.897481789
0.008633400,-17.895859866
0.008844000,-17.890237942
0.009054500,-17.888614890
0.009265100,-17.886992966
0.009475700,-17.877371043
0.009686200,-17.875747990
0.009896800,-17.874126066
0.010107400,-17.868504143
0.010318000,-17.866882219
0.010528500,-17.865259167
0.010739100,-17.863637243
0.010949700,-17.858015320
0.011160200,-17.856392267
0.011370800,-17.854770344
0.011581400,-17.849148420
0.011792000,-17.843526497
0.012002500,-17.841903444
0.012213100,-17.836281521
0.012423700,-17.834659597
0.012634200,-17.833036544
0.012844800,-17.831414621
0.013055400,-17.825792698
0.013266000,-17.824170774
0.013476500,-17.822547721
0.013687100,-17.812925798
0.013897700,-17.811303874
0.014108200,-17.809680822
0.014318800,-17.804058898
0.014529400,-17.802436975
0.014739900,-17.800813922
0.014950500,-17.795191999
0.015161100,-17.789570075
0.015371700,-17.787948152
0.015582200,-17.786325099
0.015792800,-17.780703176
0.016003400,-17.779081252
0.016213900,-17.777458199
0.016424500,-17.767836276
0.016635100,-17.766214353
0.016845700,-17.764592429
0.017056200,-17.758969376
0.017266800,-17.757347453
0.017477400,-17.755725529
0.017687900,-17.754102477
0.017898500,-17.748480553
0.018109100,-17.746858630
0.018319600,-17.745235577
0.018530200,-17.735613654
0.018740800,-17.733991730
0.018951400,-17.732369807
0.019161900,-17.726746754
0.019372500,-17.725124831
0.019583100,-17.723502907
0.019793600,-17.721879854
0.020004200,-17.716257931
0.020214800,-17.714636007
0.020425400,-17.713014084
0.020635900,-17.707391031
0.020846500,-17.705769108
0.021057100,-17.708147184
0.021267600,-17.702524132
0.021478200,-17.700902208
0.021688800,-17.699280285
0.021899300,-17.697657232
0.022109900,-17.692035309
0.022320500,-17.690413385
0.022531100,-17.688791462
0.022741600,-17.683168409
0.022952200,-17.685546486
0.023162800,-17.683924562
0.023373300,-17.678301509
0.023583900,-17.676679586
0.023794500,-17.675057662
0.024005100,-17.673435739
0.024215600,-17.671812686
0.024426200,-17.670190763
0.024636800,-17.668568839
0.024847300,-17.662945787
0.025057900,-17.665323863
0.025268500,-17.663701940
0.025479000,-17.658078887
0.025689600,-17.656456964
0.025900200,-17.658835040
0.026110800,-17.653213117
0.026321300,-17.651590064
0.026531900,-17.649968141
0.026742500,-17.652346217
0.026953000,-17.646723164
0.027163600,-17.645101241
0.027374200,-17.643479317
0.027584800,-17.641857394
0.027795300,-17.640234341
0.028005900,-17.638612418
0.028216500,-17.636990494
0.028427000,-17.635367442
0.028637600,-17.633745518
0.028848200,-17.636123595
0.029058700,-17.630500542
0.029269300,-17.628878619
0.029479900,-17.631256695
0.029690500,-17.625634772
0.029901000,-17.624011719
0.030111600,-17.626389795
0.030322200,-17.620767872
0.030532700,-17.619144819
0.030743300,-17.621522896
0.030953900,-17.619900972
0.031164500,-17.618279049
0.031375000,-17.616655996
0.031585600,-17.615034073
0.031796200,-17.613412149
0.032006700,-17.611789097
0.032217300,-17.610167173
0.032427900,-17.608545250
0.032638500,-17.606923326
0.032849000,-17.609300274
0.033059600,-17.607678350
0.033270200,-17.606056427
0.033480700,-17.604433374
0.033691300,-17.602811450
0.033901900,-17.601189527
0.034112400,-17.599566474
0.034323000,-17.601944551
0.034533600,-17.596322627
0.034744200,-17.598700704
0.034954700,-17.597077651
0.035165300,-17.595455728
0.035375900,-17.593833804
0.035586400,-17.596210752
0.035797000,-17.594588828
0.036007600,-17.592966905
0.036218200,-17.591344981
0.036428700,-17.593721929
0.036639300,-17.592100005
0.036849900,-17.590478082
0.037060400,-17.588855029
0.037271000,-17.587233105
0.037481600,-17.589611182
0.037692100,-17.587988129
0.037902700,-17.590366206
0.038113300,-17.584744282
0.038323900,-17.587122359
0.038534400,-17.585499306
0.038745000,-17.583877383
0.038955600,-17.586255459
0.039166100,-17.584632407
0.039376700,-17.583010483
0.039587300,-17.581388560
0.039797900,-17.583766636
0.040008400,-17.582143584
0.040219000,-17.580521660
0.040429600,-17.582899737
0.040640100,-17.581276684
0.040850700,-17.579654760
0.041061300,-17.578032837
0.041271800,-17.580409784
0.041482400,-17.578787861
0.041693000,-17.577165937
0.041903600,-17.579544014
0.042114100,-17.577920961
0.042324700,-17.576299038
0.042535300,-17.574677114
0.042745800,-17.577054062
0.042956400,-17.575432138
0.043167000,-17.573810215
0.043377600,-17.572188291
0.043588100,-17.570565238
0.043798700,-17.572943315
0.044009300,-17.571321392
0.044219800,-17.569698339
0.044430400,-17.568076415
0.044641000,-17.570454492
0.044851500,-17.568831439
0.045062100,-17.567209516
0.045272700,-17.565587592
0.045483300,-17.563965669
0.045693800,-17.562342616
0.045904400,-17.560720693
0.046115000,-17.563098769
0.046325500,-17.557475717
0.046536100,-17.559853793
0.046746700,-17.558231870
0.046957300,-17.556609946
0.047167800,-17.554986893
0.047378400,-17.553364970
0.047589000,-17.551743047
0.047799500,-17.550119994
0.048010100,-17.548498070
0.048220700,-17.546876147
0.048431200,-17.545253094
0.048641800,-17.543631171
0.048852400,-17.542009247
0.049063000,-17.540387324
0.049273500,-17.538764271
0.049484100,-17.537142348
0.049694700,-17.535520424
0.049905200,-17.529897372
0.050115800,-17.528275448
0.050326400,-17.526653525
0.050537000,-17.521031601
0.050747500,-17.519408548
0.050958100,-17.517786625
0.051168700,-17.520164701
0.051379200,-17.514541649
0.051589800,-17.512919725
0.051800400,-17.507297802
0.052010900,-17.501674749
0.052221500,-17.500052826
0.052432100,-17.498430902
0.052642700,-17.492808979
0.052853200,-17.491185926
0.053063800,-17.489564003
0.053274400,-17.487942079
0.053484900,-17.478319026
0.053695500,-17.476697103
0.053906100,-17.475075180
0.054116700,-17.465453256
0.054327200,-17.463830203
0.054537800,-17.462208280
0.054748400,-17.452586356
0.054958900,-17.450963304
0.055169500,-17.445341380
0.055380100,-17.443719457
0.055590700,-17.434097533
0.055801200,-17.432474481
0.056011800,-17.430852557
0.056222400,-17.421230634
0.056432900,-17.415607581
0.056643500,-17.413985658
0.056854100,-17.404363734
0.057064600,-17.398740681
0.057275200,-17.397118758
0.057485800,-17.387496835
0.057696400,-17.381874911
0.057906900,-17.380251858
0.058117500,-17.374629935
0.058328100,-17.365008011
0.058538600,-17.359384959
0.058749200,-17.357763035
0.058959800,-17.344141112
0.059170400,-17.342519188
0.059380900,-17.336896136
0.059591500,-17.327274212
0.059802100,-17.321652289
0.060012600,-17.316029236
0.060223200,-17.314407313
0.060433800,-17.300785389
0.060644300,-17.299162336
0.060854900,-17.293540413
0.061065500,-17.283918489
0.061276100,-17.278296566
0.061486600,-17.272673513
0.061697200,-17.263051590
0.061907800,-17.257429666
0.062118300,-17.251806614
0.062328900,-17.250184690
0.062539500,-17.236562767
0.062750100,-17.234940843
0.062960600,-17.229317791
0.063171200,-17.219695867
0.063381800,-17.214073944
0.063592300,-17.208450891
0.063802900,-17.198828968
0.064013500,-17.193207044
0.064224000,-17.187583991
0.064434600,-17.185962068
0.064645200,-17.172340144
0.064855800,-17.170718221
0.065066300,-17.165095168
0.065276900,-17.155473245
0.065487500,-17.149851321
0.065698000,-17.148228269
0.065908600,-17.134606345
0.066119200,-17.132984422
0.066329800,-17.127362498
0.066540300,-17.117739446
0.066750900,-17.112117522
0.066961500,-17.110495599
0.067172000,-17.104872546
0.067382600,-17.095250623
0.067593200,-17.093628699
0.067803700,-17.088005646
0.068014300,-17.078383723
0.068224900,-17.076761799
0.068435500,-17.071139876
0.068646000,-17.061516823
0.068856600,-17.059894900
0.069067200,-17.058272976
0.069277700,-17.052649924
0.069488300,-17.043028000
0.069698900,-17.041406077
0.069909500,-17.039784153
0.070120000,-17.030161101
0.070330600,-17.024539177
0.070541200,-17.022917254
0.070751700,-17.013294201
0.070962300,-17.011672278
0.071172900,-17.010050354
0.071383400,-17.004427301
0.071594000,-16.998805378
0.071804600,-16.997183454
0.072015200,-16.991561531
0.072225700,-16.985938478
0.072436300,-16.984316555
0.072646900,-16.978694631
0.072857400,-16.973071579
0.073068000,-16.971449655
