x (mm),altura (µm)
0.000000000,-19.689863978
0.000275800,-19.686975783
0.000551700,-19.672087990
0.000827500,-19.665199795
0.001103300,-19.658311599
0.001379200,-19.647423807
0.001655000,-19.640535611
0.001930800,-19.633647416
0.002206700,-19.630759623
0.002482500,-19.615871428
0.002758300,-19.612983232
0.003034100,-19.606095037
0.003310000,-19.595207244
0.003585800,-19.588319049
0.003861600,-19.585430853
0.004137500,-19.574543061
0.004413300,-19.567654865
0.004689100,-19.564766670
0.004965000,-19.557878877
0.005240800,-19.546990682
0.005516600,-19.544102486
0.005792500,-19.537214694
0.006068300,-19.526326498
0.006344100,-19.523438303
0.006620000,-19.516550510
0.006895800,-19.505662315
0.007171600,-19.502774119
0.007447500,-19.495886327
0.007723300,-19.492998131
0.007999100,-19.482109936
0.008274900,-19.475221740
0.008550800,-19.472333948
0.008826600,-19.461445752
0.009102400,-19.458557557
0.009378300,-19.451669764
0.009654100,-19.440781569
0.009929900,-19.433893373
0.010205800,-19.431005581
0.010481600,-19.420117385
0.010757400,-19.413229190
0.011033300,-19.410341397
0.011309100,-19.403453202
0.011584900,-19.392565006
0.011860800,-19.385677214
0.012136600,-19.378789018
0.012412400,-19.367900823
0.012688300,-19.361013030
0.012964100,-19.358124835
0.013239900,-19.343236639
0.013515700,-19.336348444
0.013791600,-19.333460651
0.014067400,-19.326572456
0.014343200,-19.311684260
0.014619100,-19.304796468
0.014894900,-19.297908272
0.015170700,-19.287020077
0.015446600,-19.280132284
0.015722400,-19.273244089
0.015998200,-19.258355893
0.016274100,-19.251468101
0.016549900,-19.244579905
0.016825700,-19.237691710
0.017101600,-19.222803917
0.017377400,-19.215915722
0.017653200,-19.209027526
0.017929100,-19.194139734
0.018204900,-19.187251538
0.018480700,-19.180363343
0.018756600,-19.161475550
0.019032400,-19.154587355
0.019308200,-19.147699159
0.019584000,-19.140810963
0.019859900,-19.125923171
0.020135700,-19.115034976
0.020411500,-19.108146780
0.020687400,-19.093258988
0.020963200,-19.086370792
0.021239000,-19.075482596
0.021514900,-19.060594804
0.021790700,-19.053706609
0.022066500,-19.042818413
0.022342400,-19.027930621
0.022618200,-19.021042425
0.022894000,-19.010154229
0.023169900,-19.003266437
0.023445700,-18.984378242
0.023721500,-18.977490046
0.023997400,-18.970602254
0.024273200,-18.951714058
0.024549000,-18.944825862
0.024824800,-18.937937667
0.025100700,-18.919049875
0.025376500,-18.912161679
0.025652300,-18.905273483
0.025928200,-18.898385691
0.026204000,-18.879497495
0.026479800,-18.872609300
0.026755700,-18.861721508
0.027031500,-18.846833312
0.027307300,-18.839945116
0.027583200,-18.833057324
0.027859000,-18.814169128
0.028134800,-18.807280933
0.028410700,-18.800393141
0.028686500,-18.789504945
0.028962300,-18.774616749
0.029238200,-18.767728957
0.029514000,-18.760840761
0.029789800,-18.741952566
0.030065600,-18.735064370
0.030341500,-18.728176578
0.030617300,-18.709288382
0.030893100,-18.702400187
0.031169000,-18.695512394
0.031444800,-18.688624199
0.031720600,-18.673736003
0.031996500,-18.666848211
0.032272300,-18.659960015
0.032548100,-18.641071820
0.032824000,-18.634184027
0.033099800,-18.627295832
0.033375600,-18.612407636
0.033651500,-18.605519844
0.033927300,-18.598631648
0.034203100,-18.583743453
0.034479000,-18.576855660
0.034754800,-18.569967465
0.035030600,-18.563079269
0.035306400,-18.544191074
0.035582300,-18.537303281
0.035858100,-18.530415086
0.036133900,-18.515526890
0.036409800,-18.508639098
0.036685600,-18.501750902
0.036961400,-18.486862707
0.037237300,-18.479974914
0.037513100,-18.473086719
0.037788900,-18.466198523
0.038064800,-18.451310731
0.038340600,-18.444422535
0.038616400,-18.437534340
0.038892300,-18.422646547
0.039168100,-18.415758352
0.039443900,-18.408870156
0.039719800,-18.393982364
0.039995600,-18.387094168
0.040271400,-18.380205973
0.040547200,-18.373317777
0.040823100,-18.358429985
0.041098900,-18.347541789
0.041374700,-18.340653594
0.041650600,-18.325765801
0.041926400,-18.318877606
0.042202200,-18.311989410
0.042478100,-18.297101618
0.042753900,-18.290213422
0.043029700,-18.279325227
0.043305600,-18.272437434
0.043581400,-18.257549239
0.043857200,-18.250661043
0.044133100,-18.239773251
0.044408900,-18.224885055
0.044684700,-18.217996860
0.044960600,-18.207109067
0.045236400,-18.192220872
0.045512200,-18.185332676
0.045788100,-18.174444884
0.046063900,-18.167556688
0.046339700,-18.148668493
0.046615500,-18.141780297
0.046891400,-18.130892505
0.047167200,-18.116004309
0.047443000,-18.105116114
0.047718900,-18.098228321
0.047994700,-18.079340126
0.048270500,-18.072451930
0.048546400,-18.061564138
0.048822200,-18.042675942
0.049098000,-18.035787747
0.049373900,-18.024899954
0.049649700,-18.018011759
0.049925500,-17.999123563
0.050201400,-17.988235771
0.050477200,-17.977347575
0.050753000,-17.958459380
0.051028900,-17.951571587
0.051304700,-17.940683392
0.051580500,-17.921795196
0.051856300,-17.910907001
0.052132200,-17.904019208
0.052408000,-17.893131013
0.052683800,-17.874242817
0.052959700,-17.863355025
0.053235500,-17.852466829
0.053511300,-17.833578634
0.053787200,-17.822690841
0.054063000,-17.811802646
0.054338800,-17.792914450
0.054614700,-17.782026658
0.054890500,-17.775138462
0.055166300,-17.764250267
0.055442200,-17.741362474
0.055718000,-17.730474279
0.055993800,-17.723586083
0.056269700,-17.700698291
0.056545500,-17.689810095
0.056821300,-17.682921900
0.057097100,-17.660033704
0.057373000,-17.649145912
0.057648800,-17.638257716
0.057924600,-17.631369521
0.058200500,-17.608481728
0.058476300,-17.597593533
0.058752100,-17.586705337
0.059028000,-17.567817545
0.059303800,-17.556929349
0.059579600,-17.546041154
0.059855500,-17.523153361
0.060131300,-17.512265166
0.060407100,-17.505376970
0.060683000,-17.482489178
0.060958800,-17.471600982
0.061234600,-17.460712787
0.061510500,-17.449824994
0.061786300,-17.426936799
0.062062100,-17.416048603
0.062337900,-17.409160408
0.062613800,-17.386272615
0.062889600,-17.375384420
0.063165400,-17.364496224
0.063441300,-17.341608432
0.063717100,-17.330720236
0.063992900,-17.319832041
0.064268800,-17.308944248
0.064544600,-17.290056053
0.064820400,-17.279167857
0.065096300,-17.268280065
0.065372100,-17.245391869
0.065647900,-17.234503674
0.065923800,-17.223615881
0.066199600,-17.200727686
0.066475400,-17.189839490
0.066751300,-17.178951698
0.067027100,-17.168063502
0.067302900,-17.145175307
0.067578700,-17.134287111
0.067854600,-17.127399319
0.068130400,-17.104511123
0.068406200,-17.093622928
0.068682100,-17.082735135
0.068957900,-17.059846940
0.069233700,-17.048958744
0.069509600,-17.038070952
0.069785400,-17.027182756
0.070061200,-17.004294561
0.070337100,-16.993406768
0.070612900,-16.982518573
0.070888700,-16.963630377
0.071164600,-16.952742585
0.071440400,-16.941854389
0.071716200,-16.918966194
0.071992100,-16.908078401
0.072267900,-16.897190206
0.072543700,-16.886302010
0.072819600,-16.867414218
0.073095400,-16.856526022
0.073371200,-16.845637827
0.073647000,-16.822749631
0.073922900,-16.811861839
0.074198700,-16.804973643
0.074474500,-16.782085448
0.074750400,-16.771197655
0.075026200,-16.760309460
0.075302000,-16.741421264
0.075577900,-16.730533472
0.075853700,-16.719645276
0.076129500,-16.708757081
0.076405400,-16.689869288
0.076681200,-16.678981093
0.076957000,-16.668092897
0.077232900,-16.649205105
0.077508700,-16.638316909
0.077784500,-16.627428714
0.078060400,-16.608540921
0.078336200,-16.597652726
0.078612000,-16.590764530
0.078887800,-16.579876334
0.079163700,-16.560988542
0.079439500,-16.550100347
0.079715300,-16.539212151
0.079991200,-16.520324359
0.080267000,-16.509436163
0.080542800,-16.502547967
0.080818700,-16.483660175
0.081094500,-16.472771980
0.081370300,-16.465883784
0.081646200,-16.454995992
0.081922000,-16.436107796
0.082197800,-16.429219600
0.082473700,-16.418331808
0.082749500,-16.399443613
0.083025300,-16.392555417
0.083301200,-16.381667625
0.083577000,-16.366779429
0.083852800,-16.355891233
0.084128600,-16.349003038
0.084404500,-16.338115246
0.084680300,-16.323227050
0.084956100,-16.312338854
0.085232000,-16.305451062
0.085507800,-16.286562866
0.085783600,-16.279674671
0.086059500,-16.272786879
0.086335300,-16.253898683
0.086611100,-16.247010487
0.086887000,-16.240122695
0.087162800,-16.221234499
0.087438600,-16.214346304
0.087714500,-16.207458512
0.087990300,-16.196570316
0.088266100,-16.181682120
0.088542000,-16.174794328
0.088817800,-16.167906132
0.089093600,-16.149017937
0.089369400,-16.142129741
0.089645300,-16.135241949
0.089921100,-16.116353753
0.090196900,-16.109465558
0.090472800,-16.102577765
