x (mm),altura (µm)
0.000000000,-8.877144166
0.000275800,-8.877049187
0.000551700,-8.864954174
0.000827500,-8.860859196
0.001103300,-8.852764218
0.001379200,-8.844669205
0.001655000,-8.840574226
0.001930800,-8.836479248
0.002206700,-8.836384235
0.002482500,-8.824289257
0.002758300,-8.824194278
0.003034100,-8.820099300
0.003310000,-8.812004287
0.003585800,-8.807909309
0.003861600,-8.807814330
0.004137500,-8.799719317
0.004413300,-8.791624339
0.004689100,-8.791529361
0.004965000,-8.787434348
0.005240800,-8.779339369
0.005516600,-8.779244391
0.005792500,-8.775149378
0.006068300,-8.767054400
0.006344100,-8.766959421
0.006620000,-8.762864409
0.006895800,-8.754769430
0.007171600,-8.754674452
0.007447500,-8.750579439
0.007723300,-8.746484461
0.007999100,-8.738389482
0.008274900,-8.734294504
0.008550800,-8.734199491
0.008826600,-8.726104512
0.009102400,-8.726009534
0.009378300,-8.721914521
0.009654100,-8.713819543
0.009929900,-8.709724564
0.010205800,-8.709629552
0.010481600,-8.701534573
0.010757400,-8.697439595
0.011033300,-8.693344582
0.011309100,-8.689249604
0.011584900,-8.681154625
0.011860800,-8.677059612
0.012136600,-8.672964634
0.012412400,-8.664869656
0.012688300,-8.660774643
0.012964100,-8.660679664
0.013239900,-8.648584686
0.013515700,-8.644489708
0.013791600,-8.644394695
0.014067400,-8.640299716
0.014343200,-8.628204738
0.014619100,-8.620109725
0.014894900,-8.616014747
0.015170700,-8.607919768
0.015446600,-8.603824755
0.015722400,-8.599729777
0.015998200,-8.587634799
0.016274100,-8.583539786
0.016549900,-8.579444807
0.016825700,-8.575349829
0.017101600,-8.563254816
0.017377400,-8.559159838
0.017653200,-8.555064859
0.017929100,-8.542969847
0.018204900,-8.534874868
0.018480700,-8.530779890
0.018756600,-8.514684877
0.019032400,-8.510589899
0.019308200,-8.506494920
0.019584000,-8.502399942
0.019859900,-8.490304929
0.020135700,-8.482209951
0.020411500,-8.478114972
0.020687400,-8.466019959
0.020963200,-8.461924981
0.021239000,-8.453830003
0.021514900,-8.441734990
0.021790700,-8.437640011
0.022066500,-8.425545033
0.022342400,-8.413450020
0.022618200,-8.409355042
0.022894000,-8.401260063
0.023169900,-8.397165050
0.023445700,-8.381070072
0.023721500,-8.376975094
0.023997400,-8.372880081
0.024273200,-8.356785102
0.024549000,-8.352690124
0.024824800,-8.348595146
0.025100700,-8.332500133
0.025376500,-8.328405154
0.025652300,-8.324310176
0.025928200,-8.316215163
0.026204000,-8.300120185
