Parámetro,Valor
Ra (Promedio Aritmético),2.015 µm
Rq (RMS),2.505 µm
Rp (Pico Máximo),6.668 µm
Rv (Valle Máximo),-7.572 µm
Rt (Altura Total del Perfil),14.240 µm
Rz (ISO 4287:1997),6.740 µm
Rsk (Asimetría),-0.104
Rku (Curtosis),3.069
RSm (Anchura Media de Elementos),1056.860 µm
Rdq (Pendiente RMS),15.855 µm/mm
Rda (Pendiente Media Absoluta),11.360 µm/mm
Pc (Conteo de Picos),78.20 1/mm
Rpk (Altura de picos que se desgastan),1.133 µm
Rk (Profundidad del núcleo funcional),4.653 µm
Rvk (Profundidad de valles para lubricante),0.672 µm
Mr1 (%),8.82
Mr2 (%),76.51
