x (mm),altura (µm)
0.000000000,15.495740340
0.000203500,15.496413306
0.000406900,15.497087906
0.000610400,15.493760872
0.000813800,15.494435472
0.001017300,15.495108437
0.001220700,15.491783038
0.001424200,15.492456003
0.001627600,15.489130604
0.001831100,15.489803569
0.002034500,15.490478169
0.002238000,15.487151135
0.002441400,15.487825735
0.002644900,15.488498701
0.002848300,15.485173301
0.003051800,15.485846266
0.003255200,15.486520867
0.003458700,15.483193832
0.003662100,15.483868432
0.003865600,15.484541398
0.004069000,15.485215998
0.004272500,15.481888964
0.004475900,15.482563564
0.004679400,15.483236529
0.004882800,15.479911130
0.005086300,15.480584095
0.005289700,15.481258695
0.005493200,15.477931661
0.005696600,15.478606261
0.005900100,15.479279227
0.006103500,15.475953827
0.006307000,15.476626792
0.006510400,15.477301393
0.006713900,15.473974358
0.006917300,15.474648959
0.007120800,15.475321924
0.007324200,15.475996524
0.007527700,15.472669490
0.007731100,15.473344090
0.007934600,15.474017055
0.008138000,15.470691656
0.008341500,15.471364621
0.008544900,15.472039222
0.008748400,15.468712187
0.008951800,15.469386787
0.009155300,15.470059753
0.009358700,15.466734353
0.009562200,15.467407319
0.009765600,15.468081919
0.009969100,15.468754884
0.010172500,15.465429485
0.010376000,15.466102450
0.010579400,15.466777050
0.010782900,15.463450016
0.010986300,15.464124616
0.011189800,15.464797582
0.011393200,15.461472182
0.011596700,15.462145147
0.011800100,15.462819748
0.012003600,15.459492713
0.012207000,15.460167314
0.012410500,15.460840279
0.012613900,15.461514879
0.012817400,15.458187845
0.013020800,15.458862445
0.013224300,15.459535410
0.013427700,15.456210011
0.013631200,15.456882976
0.013834600,15.457557577
0.014038100,15.454230542
0.014241500,15.454905142
0.014445000,15.451578108
0.014648400,15.452252708
0.014851900,15.452925674
0.015055300,15.453600274
0.015258800,15.454273239
0.015462200,15.450947840
0.015665700,15.451620805
0.015869100,15.452295405
0.016072600,15.448968371
0.016276000,15.449642971
0.016479500,15.450315937
0.016682900,15.446990537
0.016886400,15.447663502
0.017089800,15.444338103
0.017293300,15.449011068
0.017496700,15.445685669
0.017700200,15.446358634
0.017903600,15.447033234
0.018107100,15.443706200
0.018310500,15.444380800
0.018514000,15.445053765
0.018717400,15.445728366
0.018920900,15.442401331
0.019124300,15.443075932
0.019327800,15.443748897
0.019531300,15.440421862
0.019734700,15.441096463
0.019938200,15.441769428
0.020141600,15.442444029
0.020345100,15.439116994
0.020548500,15.443791594
0.020752000,15.440464560
0.020955400,15.441139160
0.021158900,15.441812126
0.021362300,15.442486726
