x (mm),altura (µm)
0.000000000,4.858073543
0.000203500,4.855779557
0.000406900,4.857486698
0.000610400,4.855192712
0.000813800,4.852899853
0.001017300,4.854605867
0.001220700,4.856313008
0.001424200,4.854019022
0.001627600,4.851726163
0.001831100,4.853432177
0.002034500,4.851139318
0.002238000,4.852845332
0.002441400,4.850552473
0.002644900,4.852258487
0.002848300,4.849965628
0.003051800,4.847671642
0.003255200,4.849378783
0.003458700,4.847084797
0.003662100,4.844791938
0.003865600,4.846497952
0.004069000,4.844205093
0.004272500,4.845911107
0.004475900,4.843618248
0.004679400,4.845324262
0.004882800,4.843031403
0.005086300,4.844737417
0.005289700,4.842444558
0.005493200,4.840150572
0.005696600,4.837857713
0.005900100,4.839563727
0.006103500,4.837270868
0.006307000,4.838976882
0.006510400,4.836684023
0.006713900,4.838390037
0.006917300,4.836097178
0.007120800,4.837803192
0.007324200,4.835510333
0.007527700,4.833216347
0.007731100,4.834923488
0.007934600,4.832629502
0.008138000,4.830336643
0.008341500,4.832042657
0.008544900,4.829749798
0.008748400,4.827455812
0.008951800,4.829162953
0.009155300,4.826868967
0.009358700,4.828576108
0.009562200,4.826282122
0.009765600,4.823989263
0.009969100,4.825695277
0.010172500,4.823402418
0.010376000,4.821108432
0.010579400,4.822815573
0.010782900,4.820521587
0.010986300,4.818228728
0.011189800,4.819934742
0.011393200,4.817641883
0.011596700,4.815347897
0.011800100,4.817055038
0.012003600,4.814761052
0.012207000,4.816468193
0.012410500,4.814174207
0.012613900,4.811881348
0.012817400,4.813587362
0.013020800,4.811294503
0.013224300,4.809000517
0.013427700,4.810707658
0.013631200,4.808413672
0.013834600,4.806120813
0.014038100,4.807826827
0.014241500,4.805533968
0.014445000,4.803239982
0.014648400,4.804947123
0.014851900,4.802653137
0.015055300,4.800360278
0.015258800,4.802066292
0.015462200,4.799773433
0.015665700,4.797479447
0.015869100,4.799186588
0.016072600,4.796892602
0.016276000,4.794599743
0.016479500,4.796305757
0.016682900,4.794012898
0.016886400,4.791718912
0.017089800,4.793426053
0.017293300,4.791132067
0.017496700,4.788839208
0.017700200,4.790545222
0.017903600,4.788252363
0.018107100,4.785958377
0.018310500,4.787665519
0.018514000,4.785371532
0.018717400,4.783078674
0.018920900,4.784784687
0.019124300,4.782491829
0.019327800,4.780197842
0.019531300,4.777903856
0.019734700,4.779610997
0.019938200,4.777317011
0.020141600,4.775024152
0.020345100,4.776730166
0.020548500,4.774437307
0.020752000,4.772143321
0.020955400,4.773850462
0.021158900,4.771556476
0.021362300,4.769263617
0.021565800,4.770969631
0.021769200,4.768676772
0.021972700,4.766382786
0.022176100,4.764089927
0.022379600,4.765795941
0.022583000,4.763503082
0.022786500,4.761209096
0.022989900,4.762916237
0.023193400,4.760622251
0.023396800,4.758329392
0.023600300,4.760035406
0.023803700,4.757742547
0.024007200,4.755448561
0.024210600,4.757155702
0.024414100,4.754861716
0.024617500,4.752568857
0.024821000,4.750274871
0.025024400,4.751982012
0.025227900,4.749688026
0.025431300,4.747395168
0.025634800,4.749101181
0.025838200,4.746808323
0.026041700,4.744514336
0.026245100,4.746221478
0.026448600,4.743927491
0.026652000,4.741634633
0.026855500,4.743340646
0.027058900,4.741047788
0.027262400,4.738753801
0.027465800,4.736460943
0.027669300,4.738166956
0.027872700,4.735874098
0.028076200,4.733580111
0.028279600,4.735287253
0.028483100,4.732993266
0.028686500,4.730700408
0.028890000,4.732406421
0.029093400,4.730113563
0.029296900,4.727819576
0.029500300,4.729526718
0.029703800,4.727232731
0.029907200,4.724939873
0.030110700,4.722645886
0.030314100,4.724353028
0.030517600,4.722059041
0.030721000,4.719766183
0.030924500,4.721472196
0.031127900,4.719179338
0.031331400,4.716885351
0.031534800,4.718592493
0.031738300,4.716298506
0.031941700,4.714005648
0.032145200,4.711711661
0.032348600,4.713418803
0.032552100,4.711124817
0.032755500,4.708831958
0.032959000,4.710537972
0.033162400,4.708245113
0.033365900,4.705951127
0.033569300,4.703658268
0.033772800,4.705364282
0.033976200,4.703071423
0.034179700,4.700777437
0.034383100,4.702484578
0.034586600,4.700190592
0.034790000,4.697897733
0.034993500,4.695603747
0.035196900,4.697310888
0.035400400,4.695016902
0.035603800,4.692724043
0.035807300,4.690430057
0.036010700,4.692137198
0.036214200,4.689843212
0.036417600,4.687550353
0.036621100,4.685256367
0.036824500,4.686963508
0.037028000,4.684669522
0.037231400,4.682376663
0.037434900,4.684082677
0.037638300,4.681789818
0.037841800,4.679495832
0.038045200,4.677202973
0.038248700,4.674908987
0.038452100,4.676616128
0.038655600,4.674322142
0.038859000,4.672029283
0.039062500,4.669735297
0.039266000,4.671441310
0.039469400,4.669148452
0.039672900,4.666854466
0.039876300,4.664561607
0.040079800,4.666267621
0.040283200,4.663974762
0.040486700,4.661680776
0.040690100,4.659387917
0.040893600,4.657093931
0.041097000,4.658801072
0.041300500,4.656507086
0.041503900,4.654214227
0.041707400,4.651920241
0.041910800,4.653627382
0.042114300,4.651333396
0.042317700,4.649040537
0.042521200,4.646746551
0.042724600,4.644453692
0.042928100,4.646159706
0.043131500,4.643866847
0.043335000,4.641572861
0.043538400,4.639280002
0.043741900,4.640986016
0.043945300,4.638693157
0.044148800,4.636399171
0.044352200,4.634106312
0.044555700,4.635812326
0.044759100,4.633519467
0.044962600,4.631225481
0.045166000,4.628932622
0.045369500,4.630638636
0.045572900,4.628345777
0.045776400,4.626051791
0.045979800,4.623758932
0.046183300,4.625464946
0.046386700,4.623172087
0.046590200,4.620878101
0.046793600,4.622585242
0.046997100,4.620291256
0.047200500,4.617998397
0.047404000,4.615704411
0.047607400,4.617411552
0.047810900,4.615117566
0.048014300,4.612824707
0.048217800,4.610530721
0.048421200,4.612237862
0.048624700,4.609943876
0.048828100,4.607651017
0.049031600,4.609357031
0.049235000,4.607064172
0.049438500,4.604770186
0.049641900,4.602477327
0.049845400,4.604183341
0.050048800,4.601890482
0.050252300,4.599596496
0.050455700,4.601303637
0.050659200,4.599009651
0.050862600,4.596716792
0.051066100,4.594422806
0.051269500,4.596129947
0.051473000,4.593835961
0.051676400,4.591543102
0.051879900,4.589249116
0.052083300,4.590956257
0.052286800,4.588662271
0.052490200,4.586369412
0.052693700,4.588075426
0.052897100,4.585782567
0.053100600,4.583488581
0.053304000,4.581195722
0.053507500,4.582901736
0.053710900,4.580608877
