x (mm),altura (µm)
0.000000000,-0.321068570
0.000203500,-0.321110147
0.000406900,-0.317151703
0.000610400,-0.321193280
0.000813800,-0.321234837
0.001017300,-0.317276413
0.001220700,-0.313317970
0.001424200,-0.313359547
0.001627600,-0.317401103
0.001831100,-0.313442680
0.002034500,-0.313484236
0.002238000,-0.309525813
0.002441400,-0.309567369
0.002644900,-0.309608946
0.002848300,-0.309650503
0.003051800,-0.309692079
0.003255200,-0.305733636
0.003458700,-0.309775213
0.003662100,-0.309816769
0.003865600,-0.305858346
0.004069000,-0.305899902
0.004272500,-0.301941479
0.004475900,-0.305983036
0.004679400,-0.302024612
0.004882800,-0.302066169
0.005086300,-0.298107746
0.005289700,-0.298149302
0.005493200,-0.302190879
0.005696600,-0.302232435
0.005900100,-0.298274012
0.006103500,-0.298315568
0.006307000,-0.298357145
0.006510400,-0.298398702
0.006713900,-0.294440278
0.006917300,-0.294481835
0.007120800,-0.290523412
0.007324200,-0.294564968
0.007527700,-0.294606545
0.007731100,-0.290648101
0.007934600,-0.290689678
0.008138000,-0.290731234
0.008341500,-0.290772811
0.008544900,-0.290814368
0.008748400,-0.290855944
0.008951800,-0.286897501
0.009155300,-0.286939078
0.009358700,-0.286980634
0.009562200,-0.287022211
0.009765600,-0.287063767
0.009969100,-0.283105344
0.010172500,-0.287146901
0.010376000,-0.287188477
0.010579400,-0.283230034
0.010782900,-0.283271611
0.010986300,-0.283313167
0.011189800,-0.283354744
0.011393200,-0.283396300
0.011596700,-0.283437877
0.011800100,-0.279479433
0.012003600,-0.279521010
0.012207000,-0.279562567
0.012410500,-0.279604143
0.012613900,-0.279645700
0.012817400,-0.275687277
0.013020800,-0.279728833
0.013224300,-0.279770410
0.013427700,-0.275811966
0.013631200,-0.275853543
0.013834600,-0.275895099
0.014038100,-0.275936676
0.014241500,-0.275978233
0.014445000,-0.276019809
0.014648400,-0.272061366
0.014851900,-0.276102943
0.015055300,-0.276144499
0.015258800,-0.272186076
0.015462200,-0.272227632
0.015665700,-0.272269209
0.015869100,-0.272310765
0.016072600,-0.272352342
0.016276000,-0.272393899
0.016479500,-0.268435476
0.016682900,-0.268477032
0.016886400,-0.272518609
0.017089800,-0.268560165
0.017293300,-0.268601742
0.017496700,-0.268643298
0.017700200,-0.268684875
0.017903600,-0.268726432
0.018107100,-0.268768008
0.018310500,-0.264809565
0.018514000,-0.264851142
0.018717400,-0.268892698
0.018920900,-0.264934275
0.019124300,-0.264975831
0.019327800,-0.265017408
0.019531300,-0.269058985
