Parámetro,Valor
Ra (Promedio Aritmético),1.223 µm
Rq (RMS),1.497 µm
Rp (Pico Máximo),3.140 µm
Rv (Valle Máximo),-3.184 µm
Rt (Altura Total del Perfil),6.324 µm
Rz (ISO 4287:1997),5.021 µm
Rsk (Asimetría),0.053
Rku (Curtosis),2.333
RSm (Anchura Media de Elementos),399.679 µm
Rdq (Pendiente RMS),15.630 µm/mm
Rda (Pendiente Media Absoluta),11.697 µm/mm
Pc (Conteo de Picos),157.00 1/mm
Rpk (Altura de picos que se desgastan),0.457 µm
Rk (Profundidad del núcleo funcional),1.285 µm
Rvk (Profundidad de valles para lubricante),0.443 µm
Mr1 (%),43.20
Mr2 (%),77.84
