Parámetro,Valor
Ra (Promedio Aritmético),1.756 µm
Rq (RMS),2.240 µm
Rp (Pico Máximo),6.620 µm
Rv (Valle Máximo),-6.724 µm
Rt (Altura Total del Perfil),13.344 µm
Rz (ISO 4287:1997),4.070 µm
Rsk (Asimetría),-0.620
Rku (Curtosis),3.456
RSm (Anchura Media de Elementos),760.084 µm
Rdq (Pendiente RMS),8.892 µm/mm
Rda (Pendiente Media Absoluta),6.225 µm/mm
Pc (Conteo de Picos),143.80 1/mm
Rpk (Altura de picos que se desgastan),1.226 µm
Rk (Profundidad del núcleo funcional),2.098 µm
Rvk (Profundidad de valles para lubricante),1.988 µm
Mr1 (%),6.92
Mr2 (%),65.48
