x (mm),altura (µm)
0.000000000,-0.920486910
0.000347900,-0.917250914
0.000695800,-0.902014918
0.001043700,-0.894778922
0.001391600,-0.891542926
0.001739500,-0.876306930
0.002087400,-0.869070934
0.002435300,-0.865834939
0.002783200,-0.858598943
0.003131100,-0.847362947
0.003479000,-0.840126951
0.003826900,-0.836890955
0.004174800,-0.821654959
0.004522700,-0.814418963
0.004870600,-0.811182967
0.005218500,-0.795946971
0.005566400,-0.792710975
0.005914300,-0.785474980
0.006262200,-0.782238984
0.006610100,-0.767002988
0.006958000,-0.759766992
0.007305900,-0.756530996
0.007653800,-0.741295000
0.008001700,-0.738059004
0.008349600,-0.730823008
0.008697500,-0.719587012
0.009045400,-0.712351016
0.009393300,-0.709115020
0.009741200,-0.705879025
0.010089100,-0.690643029
0.010437000,-0.687407033
0.010784900,-0.680171037
0.011132800,-0.668935041
0.011480700,-0.661699045
0.011828600,-0.658463049
0.012176500,-0.643227053
0.012524400,-0.639991057
0.012872300,-0.636755061
0.013220200,-0.621519066
0.013568000,-0.618281700
0.013915900,-0.611045704
0.014263800,-0.607809708
0.014611700,-0.596573713
0.014959600,-0.589337717
0.015307500,-0.586101721
0.015655400,-0.570865725
0.016003300,-0.567629729
0.016351200,-0.564393733
0.016699100,-0.549157737
0.017047000,-0.545921741
0.017394900,-0.542685745
0.017742800,-0.539449749
0.018090700,-0.524213753
0.018438600,-0.520977758
0.018786500,-0.517741762
0.019134400,-0.502505766
0.019482300,-0.499269770
0.019830200,-0.496033774
0.020178100,-0.484797778
0.020526000,-0.481561782
0.020873900,-0.474325786
0.021221800,-0.471089790
0.021569700,-0.459853794
0.021917600,-0.456617799
0.022265500,-0.453381803
0.022613400,-0.438145807
0.022961300,-0.434909811
0.023309200,-0.431673815
0.023657100,-0.420437819
0.024005000,-0.417201823
0.024352900,-0.413965827
0.024700800,-0.406729831
0.025048700,-0.395493835
0.025396600,-0.392257839
0.025744500,-0.389021844
0.026092400,-0.377785848
0.026440300,-0.374549852
0.026788200,-0.371313856
0.027136100,-0.360077860
0.027484000,-0.356841864
0.027831900,-0.353605868
0.028179800,-0.342369872
0.028527700,-0.335133876
0.028875600,-0.331897880
0.029223500,-0.328661885
0.029571400,-0.317425889
0.029919300,-0.314189893
0.030267200,-0.310953897
0.030615100,-0.303717901
0.030963000,-0.300481905
0.031310900,-0.297245909
0.031658800,-0.286009913
0.032006700,-0.282773917
0.032354600,-0.279537921
0.032702500,-0.276301925
0.033050400,-0.265065930
0.033398300,-0.261829934
0.033746200,-0.258593938
0.034094100,-0.247357942
0.034442000,-0.248121946
0.034789900,-0.244885950
0.035137800,-0.233649954
0.035485700,-0.230413958
0.035833600,-0.227177962
0.036181500,-0.223941966
0.036529400,-0.216705971
0.036877300,-0.213469975
0.037225200,-0.210233979
0.037573100,-0.198997983
0.037921000,-0.199761987
0.038268900,-0.196525991
0.038616800,-0.185289995
0.038964700,-0.182053999
0.039312600,-0.182818003
0.039660500,-0.179582007
0.040008300,-0.168344642
0.040356200,-0.169108646
0.040704100,-0.165872650
0.041052000,-0.154636654
0.041399900,-0.155400658
0.041747800,-0.152164663
0.042095700,-0.144928667
0.042443600,-0.141692671
0.042791500,-0.138456675
0.043139400,-0.131220679
0.043487300,-0.127984683
0.043835200,-0.124748687
0.044183100,-0.125512691
0.044531000,-0.114276695
0.044878900,-0.115040699
0.045226800,-0.111804704
0.045574700,-0.104568708
0.045922600,-0.101332712
0.046270500,-0.102096716
0.046618400,-0.090860720
0.046966300,-0.091624724
0.047314200,-0.088388728
0.047662100,-0.089152732
0.048010000,-0.077916736
0.048357900,-0.078680740
0.048705800,-0.075444744
0.049053700,-0.068208749
0.049401600,-0.064972753
0.049749500,-0.065736757
0.050097400,-0.058500761
0.050445300,-0.055264765
0.050793200,-0.056028769
0.051141100,-0.052792773
0.051489000,-0.045556777
0.051836900,-0.042320781
0.052184800,-0.043084785
0.052532700,-0.035848790
0.052880600,-0.032612794
0.053228500,-0.033376798
0.053576400,-0.022140802
0.053924300,-0.022904806
0.054272200,-0.019668810
0.054620100,-0.020432814
0.054968000,-0.013196818
0.055315900,-0.009960822
0.055663800,-0.010724826
0.056011700,-0.003488830
0.056359600,-0.000252835
0.056707500,-0.001016839
0.057055400,0.006219157
0.057403300,0.009455153
0.057751200,0.008691149
0.058099100,0.011927145
0.058447000,0.019163141
0.058794900,0.018399137
0.059142800,0.021635133
0.059490700,0.028871129
0.059838600,0.028107124
0.060186500,0.031343120
0.060534400,0.038579116
0.060882300,0.037815112
0.061230200,0.041051108
0.061578100,0.048287104
0.061926000,0.047523100
0.062273900,0.050759096
0.062621800,0.049995092
0.062969700,0.057231088
0.063317600,0.060467084
0.063665500,0.059703079
0.064013400,0.066939075
0.064361300,0.066175071
0.064709200,0.069411067
0.065057100,0.076647063
0.065405000,0.075883059
0.065752900,0.079119055
0.066100800,0.078355051
0.066448700,0.085591047
0.066796500,0.088828412
0.067144400,0.088064408
0.067492300,0.095300404
0.067840200,0.094536400
0.068188100,0.097772396
0.068536000,0.105008391
0.068883900,0.104244387
0.069231800,0.103480383
0.069579700,0.106716379
0.069927600,0.113952375
0.070275500,0.113188371
0.070623400,0.112424367
0.070971300,0.119660363
0.071319200,0.122896359
0.071667100,0.122132355
0.072015000,0.129368351
0.072362900,0.128604346
0.072710800,0.131840342
0.073058700,0.131076338
0.073406600,0.138312334
0.073754500,0.137548330
0.074102400,0.136784326
0.074450300,0.144020322
0.074798200,0.143256318
0.075146100,0.146492314
0.075494000,0.149728310
0.075841900,0.148964305
0.076189800,0.152200301
0.076537700,0.155436297
0.076885600,0.158672293
0.077233500,0.157908289
0.077581400,0.157144285
0.077929300,0.164380281
0.078277200,0.163616277
0.078625100,0.162852273
0.078973000,0.170088269
0.079320900,0.169324265
0.079668800,0.168560260
0.080016700,0.175796256
0.080364600,0.175032252
0.080712500,0.174268248
0.081060400,0.173504244
0.081408300,0.180740240
0.081756200,0.179976236
0.082104100,0.179212232
0.082452000,0.186448228
0.082799900,0.185684224
0.083147800,0.184920219
0.083495700,0.188156215
0.083843600,0.191392211
0.084191500,0.190628207
0.084539400,0.189864203
0.084887300,0.193100199
0.085235200,0.192336195
0.085583100,0.195572191
0.085931000,0.198808187
0.086278900,0.198044183
0.086626800,0.197280179
0.086974700,0.204516174
0.087322600,0.203752170
0.087670500,0.202988166
0.088018400,0.202224162
0.088366300,0.205460158
0.088714200,0.208696154
0.089062100,0.207932150
0.089410000,0.211168146
0.089757900,0.210404142
0.090105800,0.209640138
0.090453700,0.216876133
0.090801600,0.216112129
0.091149500,0.215348125
0.091497400,0.214584121
0.091845300,0.221820117
0.092193200,0.221056113
0.092541100,0.220292109
0.092889000,0.223528105
0.093236800,0.222765470
0.093584700,0.226001466
0.093932600,0.229237462
0.094280500,0.228473458
0.094628400,0.227709454
0.094976300,0.234945450
0.095324200,0.234181446
0.095672100,0.233417441
0.096020000,0.232653437
0.096367900,0.235889433
0.096715800,0.239125429
0.097063700,0.238361425
0.097411600,0.241597421
0.097759500,0.240833417
0.098107400,0.240069413
0.098455300,0.247305409
0.098803200,0.246541405
0.099151100,0.245777400
0.099499000,0.245013396
0.099846900,0.252249392
0.100194800,0.251485388
0.100542700,0.250721384
0.100890600,0.253957380
0.101238500,0.257193376
0.101586400,0.256429372
0.101934300,0.259665368
0.102282200,0.258901364
0.102630100,0.258137360
0.102978000,0.257373355
0.103325900,0.264609351
0.103673800,0.263845347
0.104021700,0.263081343
0.104369600,0.266317339
0.104717500,0.269553335
0.105065400,0.268789331
0.105413300,0.272025327
0.105761200,0.271261323
0.106109100,0.270497319
0.106457000,0.269733314
0.106804900,0.276969310
0.107152800,0.276205306
0.107500700,0.275441302
0.107848600,0.278677298
0.108196500,0.277913294
0.108544400,0.277149290
0.108892300,0.284385286
0.109240200,0.283621282
0.109588100,0.282857278
0.109936000,0.286093274
0.110283900,0.285329269
0.110631800,0.284565265
0.110979700,0.283801261
0.111327600,0.291037257
0.111675500,0.290273253
0.112023400,0.289509249
0.112371300,0.292745245
0.112719200,0.291981241
0.113067100,0.291217237
0.113415000,0.294453233
0.113762900,0.297689228
0.114110800,0.296925224
0.114458700,0.296161220
0.114806600,0.299397216
0.115154500,0.298633212
0.115502400,0.297869208
0.115850300,0.301105204
0.116198200,0.300341200
0.116546100,0.299577196
0.116894000,0.306813192
0.117241900,0.306049188
0.117589800,0.305285183
0.117937700,0.304521179
0.118285600,0.307757175
0.118633500,0.306993171
0.118981400,0.306229167
0.119329300,0.309465163
0.119677200,0.308701159
0.120025000,0.311938524
0.120372900,0.315174520
0.120720800,0.314410516
0.121068700,0.313646512
0.121416600,0.312882508
0.121764500,0.316118504
0.122112400,0.315354500
0.122460300,0.314590495
0.122808200,0.317826491
0.123156100,0.321062487
0.123504000,0.320298483
0.123851900,0.323534479
0.124199800,0.322770475
0.124547700,0.322006471
0.124895600,0.325242467
0.125243500,0.324478463
0.125591400,0.323714459
0.125939300,0.322950455
0.126287200,0.330186450
0.126635100,0.329422446
0.126983000,0.328658442
0.127330900,0.331894438
0.127678800,0.331130434
0.128026700,0.330366430
0.128374600,0.333602426
0.128722500,0.332838422
0.129070400,0.336074418
0.129418300,0.335310414
0.129766200,0.338546409
0.130114100,0.337782405
0.130462000,0.337018401
0.130809900,0.340254397
0.131157800,0.339490393
0.131505700,0.338726389
0.131853600,0.345962385
0.132201500,0.345198381
0.132549400,0.344434377
0.132897300,0.343670373
0.133245200,0.346906369
0.133593100,0.346142364
0.133941000,0.345378360
0.134288900,0.348614356
0.134636800,0.347850352
0.134984700,0.347086348
0.135332600,0.354322344
