x (mm),altura (µm)
0.000000000,-2.749308694
0.000347900,-2.745517890
0.000695800,-2.725727087
0.001043700,-2.717936284
0.001391600,-2.714145481
0.001739500,-2.694354677
0.002087400,-2.686563874
0.002435300,-2.678773071
0.002783200,-2.670982268
0.003131100,-2.659191465
0.003479000,-2.647400661
0.003826900,-2.643609858
0.004174800,-2.627819055
0.004522700,-2.616028252
0.004870600,-2.612237449
0.005218500,-2.596446645
0.005566400,-2.588655842
0.005914300,-2.580865039
0.006262200,-2.573074236
0.006610100,-2.557283432
0.006958000,-2.549492629
0.007305900,-2.541701826
0.007653800,-2.525911023
0.008001700,-2.522120220
0.008349600,-2.510329416
0.008697500,-2.498538613
0.009045400,-2.490747810
0.009393300,-2.482957007
0.009741200,-2.479166203
0.010089100,-2.463375400
0.010437000,-2.455584597
0.010784900,-2.447793794
0.011132800,-2.432002991
0.011480700,-2.424212187
0.011828600,-2.420421384
0.012176500,-2.400630581
0.012524400,-2.396839778
0.012872300,-2.393048974
0.013220200,-2.373258171
0.013568000,-2.369467308
0.013915900,-2.361676505
0.014263800,-2.353885701
0.014611700,-2.342094898
0.014959600,-2.334304095
0.015307500,-2.326513292
0.015655400,-2.310722489
0.016003300,-2.306931685
0.016351200,-2.299140882
0.016699100,-2.283350079
0.017047000,-2.275559276
0.017394900,-2.271768472
0.017742800,-2.267977669
0.018090700,-2.248186866
0.018438600,-2.244396063
0.018786500,-2.240605260
0.019134400,-2.220814456
0.019482300,-2.217023653
0.019830200,-2.213232850
0.020178100,-2.197442047
0.020526000,-2.193651244
0.020873900,-2.185860440
0.021221800,-2.178069637
0.021569700,-2.166278834
0.021917600,-2.162488031
0.022265500,-2.154697227
0.022613400,-2.138906424
0.022961300,-2.135115621
0.023309200,-2.127324818
0.023657100,-2.115534015
0.024005000,-2.107743211
0.024352900,-2.103952408
0.024700800,-2.096161605
0.025048700,-2.080370802
0.025396600,-2.076579998
0.025744500,-2.072789195
0.026092400,-2.056998392
0.026440300,-2.053207589
0.026788200,-2.049416786
0.027136100,-2.033625982
0.027484000,-2.029835179
0.027831900,-2.026044376
0.028179800,-2.010253573
0.028527700,-2.002462769
0.028875600,-1.998671966
0.029223500,-1.990881163
0.029571400,-1.979090360
0.029919300,-1.975299557
0.030267200,-1.967508753
0.030615100,-1.959717950
0.030963000,-1.955927147
0.031310900,-1.948136344
0.031658800,-1.936345541
0.032006700,-1.932554737
0.032354600,-1.924763934
0.032702500,-1.920973131
0.033050400,-1.909182328
0.033398300,-1.901391524
0.033746200,-1.897600721
0.034094100,-1.885809918
0.034442000,-1.882019115
0.034789900,-1.878228312
0.035137800,-1.862437508
0.035485700,-1.858646705
0.035833600,-1.854855902
0.036181500,-1.847065099
0.036529400,-1.839274295
0.036877300,-1.835483492
0.037225200,-1.827692689
0.037573100,-1.815901886
0.037921000,-1.816111083
0.038268900,-1.808320279
0.038616800,-1.796529476
0.038964700,-1.792738673
0.039312600,-1.788947870
0.039660500,-1.785157066
0.040008300,-1.773366203
0.040356200,-1.769575400
0.040704100,-1.765784597
0.041052000,-1.753993793
0.041399900,-1.750202990
0.041747800,-1.746412187
0.042095700,-1.738621384
0.042443600,-1.730830581
0.042791500,-1.727039777
0.043139400,-1.719248974
0.043487300,-1.711458171
0.043835200,-1.707667368
0.044183100,-1.707876564
0.044531000,-1.692085761
0.044878900,-1.692294958
0.045226800,-1.688504155
0.045574700,-1.676713352
0.045922600,-1.672922548
0.046270500,-1.673131745
0.046618400,-1.657340942
0.046966300,-1.657550139
0.047314200,-1.653759336
0.047662100,-1.649968532
0.048010000,-1.638177729
0.048357900,-1.638386926
0.048705800,-1.630596123
0.049053700,-1.622805319
0.049401600,-1.619014516
0.049749500,-1.615223713
0.050097400,-1.607432910
0.050445300,-1.603642107
0.050793200,-1.599851303
0.051141100,-1.596060500
0.051489000,-1.588269697
0.051836900,-1.580478894
0.052184800,-1.580688090
0.052532700,-1.572897287
0.052880600,-1.565106484
0.053228500,-1.565315681
0.053576400,-1.553524878
0.053924300,-1.549734074
0.054272200,-1.545943271
0.054620100,-1.546152468
0.054968000,-1.534361665
0.055315900,-1.530570861
0.055663800,-1.530780058
0.056011700,-1.518989255
0.056359600,-1.515198452
0.056707500,-1.515407649
0.057055400,-1.507616845
0.057403300,-1.499826042
0.057751200,-1.500035239
0.058099100,-1.496244436
0.058447000,-1.484453632
0.058794900,-1.484662829
0.059142800,-1.480872026
0.059490700,-1.469081223
0.059838600,-1.469290420
0.060186500,-1.465499616
0.060534400,-1.453708813
0.060882300,-1.453918010
0.061230200,-1.450127207
0.061578100,-1.438336404
0.061926000,-1.438545600
0.062273900,-1.434754797
0.062621800,-1.430963994
0.062969700,-1.423173191
0.063317600,-1.419382387
0.063665500,-1.415591584
0.064013400,-1.407800781
0.064361300,-1.408009978
0.064709200,-1.400219175
0.065057100,-1.392428371
0.065405000,-1.392637568
0.065752900,-1.384846765
0.066100800,-1.385055962
0.066448700,-1.377265158
0.066796500,-1.369474295
0.067144400,-1.369683492
0.067492300,-1.361892689
0.067840200,-1.362101885
0.068188100,-1.354311082
0.068536000,-1.346520279
0.068883900,-1.346729476
0.069231800,-1.342938673
0.069579700,-1.339147869
0.069927600,-1.331357066
0.070275500,-1.327566263
0.070623400,-1.327775460
0.070971300,-1.319984656
0.071319200,-1.312193853
0.071667100,-1.312403050
0.072015000,-1.304612247
0.072362900,-1.300821444
0.072710800,-1.297030640
0.073058700,-1.297239837
0.073406600,-1.285449034
0.073754500,-1.285658231
0.074102400,-1.285867428
0.074450300,-1.274076624
0.074798200,-1.274285821
0.075146100,-1.270495018
0.075494000,-1.266704215
0.075841900,-1.262913411
0.076189800,-1.259122608
0.076537700,-1.255331805
0.076885600,-1.247541002
0.077233500,-1.247750199
0.077581400,-1.247959395
0.077929300,-1.236168592
0.078277200,-1.236377789
0.078625100,-1.236586986
0.078973000,-1.224796182
0.079320900,-1.225005379
0.079668800,-1.225214576
0.080016700,-1.213423773
0.080364600,-1.213632970
0.080712500,-1.213842166
0.081060400,-1.214051363
0.081408300,-1.202260560
0.081756200,-1.202469757
0.082104100,-1.202678953
0.082452000,-1.190888150
0.082799900,-1.191097347
0.083147800,-1.191306544
0.083495700,-1.183515741
0.083843600,-1.179724937
0.084191500,-1.179934134
0.084539400,-1.176143331
0.084887300,-1.172352528
0.085235200,-1.172561724
0.085583100,-1.168770921
0.085931000,-1.160980118
0.086278900,-1.161189315
0.086626800,-1.161398512
0.086974700,-1.149607708
0.087322600,-1.149816905
0.087670500,-1.150026102
0.088018400,-1.146235299
0.088366300,-1.142444496
0.088714200,-1.138653692
0.089062100,-1.134862889
0.089410000,-1.131072086
0.089757900,-1.131281283
0.090105800,-1.131490479
0.090453700,-1.119699676
0.090801600,-1.119908873
0.091149500,-1.120118070
0.091497400,-1.116327267
0.091845300,-1.108536463
0.092193200,-1.108745660
0.092541100,-1.104954857
0.092889000,-1.101164054
0.093236800,-1.101373190
0.093584700,-1.097582387
0.093932600,-1.089791584
0.094280500,-1.090000781
0.094628400,-1.090209977
0.094976300,-1.078419174
0.095324200,-1.078628371
0.095672100,-1.078837568
0.096020000,-1.075046765
0.096367900,-1.071255961
0.096715800,-1.067465158
0.097063700,-1.067674355
0.097411600,-1.059883552
0.097759500,-1.060092748
0.098107400,-1.060301945
0.098455300,-1.048511142
0.098803200,-1.048720339
0.099151100,-1.048929536
0.099499000,-1.045138732
0.099846900,-1.037347929
0.100194800,-1.037557126
0.100542700,-1.037766323
0.100890600,-1.029975519
0.101238500,-1.026184716
0.101586400,-1.026393913
0.101934300,-1.018603110
0.102282200,-1.018812307
0.102630100,-1.019021503
0.102978000,-1.015230700
0.103325900,-1.007439897
0.103673800,-1.007649094
0.104021700,-1.007858291
0.104369600,-1.000067487
0.104717500,-0.996276684
0.105065400,-0.996485881
0.105413300,-0.988695078
0.105761200,-0.988904274
0.106109100,-0.989113471
0.106457000,-0.989322668
0.106804900,-0.977531865
0.107152800,-0.977741062
0.107500700,-0.977950258
0.107848600,-0.970159455
0.108196500,-0.970368652
0.108544400,-0.970577849
0.108892300,-0.958787045
0.109240200,-0.958996242
0.109588100,-0.959205439
0.109936000,-0.955414636
0.110283900,-0.951623833
0.110631800,-0.951833029
0.110979700,-0.952042226
0.111327600,-0.940251423
0.111675500,-0.940460620
0.112023400,-0.940669816
0.112371300,-0.936879013
0.112719200,-0.933088210
0.113067100,-0.933297407
0.113415000,-0.929506604
0.113762900,-0.921715800
0.114110800,-0.921924997
0.114458700,-0.922134194
0.114806600,-0.918343391
0.115154500,-0.914552588
0.115502400,-0.914761784
0.115850300,-0.910970981
0.116198200,-0.907180178
0.116546100,-0.907389375
0.116894000,-0.899598571
0.117241900,-0.899807768
0.117589800,-0.896016965
0.117937700,-0.896226162
0.118285600,-0.892435359
0.118633500,-0.888644555
0.118981400,-0.888853752
0.119329300,-0.885062949
0.119677200,-0.885272146
0.120025000,-0.877481282
0.120372900,-0.873690479
0.120720800,-0.873899676
0.121068700,-0.870108873
0.121416600,-0.870318069
0.121764500,-0.866527266
0.122112400,-0.866736463
0.122460300,-0.862945660
0.122808200,-0.859154857
0.123156100,-0.855364053
0.123504000,-0.851573250
0.123851900,-0.847782447
0.124199800,-0.847991644
0.124547700,-0.848200840
0.124895600,-0.840410037
0.125243500,-0.840619234
0.125591400,-0.840828431
0.125939300,-0.837037628
0.126287200,-0.829246824
0.126635100,-0.829456021
0.126983000,-0.829665218
0.127330900,-0.821874415
0.127678800,-0.822083611
0.128026700,-0.822292808
0.128374600,-0.814502005
0.128722500,-0.814711202
0.129070400,-0.810920399
0.129418300,-0.811129595
0.129766200,-0.803338792
0.130114100,-0.803547989
0.130462000,-0.803757186
0.130809900,-0.799966383
0.131157800,-0.796175579
0.131505700,-0.796384776
0.131853600,-0.788593973
0.132201500,-0.784803170
0.132549400,-0.785012366
0.132897300,-0.785221563
0.133245200,-0.781430760
0.133593100,-0.777639957
0.133941000,-0.777849154
0.134288900,-0.774058350
0.134636800,-0.770267547
0.134984700,-0.770476744
0.135332600,-0.762685941
0.135680500,-0.762895137
0.136028400,-0.759104334
0.136376300,-0.759313531
0.136724200,-0.755522728
0.137072100,-0.755731925
0.137420000,-0.751941121
0.137767900,-0.748150318
0.138115800,-0.748359515
0.138463700,-0.744568712
0.138811600,-0.736777908
0.139159500,-0.736987105
0.139507400,-0.737196302
0.139855300,-0.733405499
0.140203200,-0.729614696
0.140551100,-0.729823892
0.140899000,-0.730033089
0.141246900,-0.722242286
0.141594800,-0.722451483
0.141942700,-0.722660680
0.142290600,-0.714869876
0.142638500,-0.715079073
0.142986400,-0.715288270
0.143334300,-0.707497467
0.143682200,-0.703706663
0.144030100,-0.703915860
0.144378000,-0.704125057
0.144725900,-0.700334254
0.145073800,-0.696543451
0.145421700,-0.696752647
0.145769600,-0.692961844
0.146117500,-0.689171041
0.146465300,-0.689380178
0.146813200,-0.685589374
0.147161100,-0.685798571
0.147509000,-0.682007768
0.147856900,-0.682216965
0.148204800,-0.678426161
0.148552700,-0.678635358
0.148900600,-0.674844555
0.149248500,-0.667053752
0.149596400,-0.667262949
0.149944300,-0.667472145
0.150292200,-0.659681342
0.150640100,-0.659890539
0.150988000,-0.660099736
0.151335900,-0.656308932
0.151683800,-0.652518129
0.152031700,-0.652727326
0.152379600,-0.652936523
0.152727500,-0.645145720
0.153075400,-0.645354916
0.153423300,-0.645564113
0.153771200,-0.637773310
0.154119100,-0.633982507
0.154467000,-0.634191703
0.154814900,-0.634400900
0.155162800,-0.630610097
0.155510700,-0.626819294
0.155858600,-0.627028491
0.156206500,-0.619237687
0.156554400,-0.619446884
0.156902300,-0.615656081
0.157250200,-0.611865278
0.157598100,-0.612074475
0.157946000,-0.612283671
0.158293900,-0.600492868
0.158641800,-0.600702065
0.158989700,-0.600911262
0.159337600,-0.597120458
0.159685500,-0.593329655
0.160033400,-0.589538852
0.160381300,-0.589748049
0.160729200,-0.581957246
0.161077100,-0.582166442
0.161425000,-0.582375639
0.161772900,-0.574584836
0.162120800,-0.570794033
0.162468700,-0.571003229
0.162816600,-0.571212426
0.163164500,-0.563421623
0.163512400,-0.559630820
0.163860300,-0.559840017
0.164208200,-0.552049213
0.164556100,-0.552258410
0.164904000,-0.548467607
0.165251900,-0.540676804
0.165599800,-0.540886000
0.165947700,-0.541095197
0.166295600,-0.537304394
0.166643500,-0.529513591
0.166991400,-0.529722788
0.167339300,-0.529931984
0.167687200,-0.522141181
0.168035100,-0.518350378
0.168383000,-0.518559575
0.168730900,-0.514768771
0.169078800,-0.510977968
0.169426700,-0.507187165
0.169774600,-0.507396362
0.170122500,-0.503605559
0.170470400,-0.499814755
0.170818300,-0.500023952
0.171166200,-0.492233149
0.171514100,-0.492442346
0.171862000,-0.488651543
0.172209900,-0.484860739
0.172557800,-0.481069936
0.172905600,-0.481279073
0.173253500,-0.473488270
0.173601400,-0.473697466
0.173949300,-0.473906663
0.174297200,-0.474115860
0.174645100,-0.466325057
0.174993000,-0.462534253
0.175340900,-0.462743450
0.175688800,-0.458952647
0.176036700,-0.455161844
0.176384600,-0.455371041
0.176732500,-0.451580237
0.177080400,-0.451789434
0.177428300,-0.447998631
0.177776200,-0.448207828
0.178124100,-0.444417024
0.178472000,-0.444626221
0.178819900,-0.440835418
0.179167800,-0.437044615
0.179515700,-0.437253812
0.179863600,-0.437463008
0.180211500,-0.429672205
0.180559400,-0.429881402
0.180907300,-0.430090599
0.181255200,-0.430299795
0.181603100,-0.422508992
0.181951000,-0.422718189
0.182298900,-0.422927386
0.182646800,-0.419136583
0.182994700,-0.415345779
0.183342600,-0.415554976
0.183690500,-0.415764173
0.184038400,-0.415973370
0.184386300,-0.412182567
0.184734200,-0.412391763
0.185082100,-0.408600960
0.185430000,-0.408810157
0.185777900,-0.405019354
0.186125800,-0.405228550
0.186473700,-0.405437747
0.186821600,-0.405646944
0.187169500,-0.397856141
0.187517400,-0.402065338
0.187865300,-0.402274534
0.188213200,-0.402483731
0.188561100,-0.394692928
0.188909000,-0.394902125
0.189256900,-0.399111321
0.189604800,-0.395320518
0.189952700,-0.395529715
0.190300600,-0.391738912
0.190648500,-0.391948109
0.190996400,-0.392157305
0.191344300,-0.392366502
0.191692200,-0.388575699
0.192040100,-0.388784896
0.192388000,-0.388994092
0.192735900,-0.389203289
0.193083800,-0.385412486
0.193431700,-0.385621683
0.193779600,-0.385830880
0.194127500,-0.386040076
0.194475400,-0.382249273
0.194823300,-0.382458470
0.195171200,-0.378667667
0.195519100,-0.382876863
0.195867000,-0.379086060
0.196214900,-0.379295257
0.196562800,-0.379504454
0.196910700,-0.379713651
0.197258600,-0.379922847
0.197606500,-0.372132044
0.197954400,-0.376341241
0.198302300,-0.376550438
0.198650200,-0.372759635
0.198998100,-0.372968831
0.199346000,-0.373178028
0.199693800,-0.373387165
0.200041700,-0.373596362
0.200389600,-0.369805558
0.200737500,-0.370014755
0.201085400,-0.366223952
0.201433300,-0.370433149
0.201781200,-0.370642345
0.202129100,-0.362851542
0.202477000,-0.367060739
0.202824900,-0.367269936
0.203172800,-0.367479133
0.203520700,-0.359688329
0.203868600,-0.363897526
0.204216500,-0.364106723
0.204564400,-0.360315920
0.204912300,-0.356525116
0.205260200,-0.360734313
0.205608100,-0.356943510
0.205956000,-0.357152707
0.206303900,-0.361361904
0.206651800,-0.353571100
0.206999700,-0.353780297
0.207347600,-0.353989494
0.207695500,-0.358198691
0.208043400,-0.350407887
0.208391300,-0.350617084
0.208739200,-0.354826281
0.209087100,-0.351035478
0.209435000,-0.347244675
0.209782900,-0.347453871
0.210130800,-0.347663068
0.210478700,-0.347872265
0.210826600,-0.348081462
0.211174500,-0.348290658
0.211522400,-0.344499855
0.211870300,-0.344709052
0.212218200,-0.348918249
0.212566100,-0.341127446
0.212914000,-0.341336642
0.213261900,-0.341545839
0.213609800,-0.341755036
0.213957700,-0.341964233
0.214305600,-0.338173430
0.214653500,-0.342382626
0.215001400,-0.338591823
0.215349300,-0.338801020
0.215697200,-0.339010217
0.216045100,-0.335219413
0.216393000,-0.335428610
0.216740900,-0.339637807
0.217088800,-0.335847004
0.217436700,-0.332056201
0.217784600,-0.336265397
0.218132500,-0.336474594
0.218480400,-0.332683791
0.218828300,-0.332892988
0.219176200,-0.333102184
0.219524100,-0.329311381
0.219872000,-0.333520578
0.220219900,-0.333729775
0.220567800,-0.325938972
0.220915700,-0.330148168
0.221263600,-0.330357365
0.221611500,-0.330566562
0.221959400,-0.326775759
0.222307300,-0.326984955
0.222655200,-0.327194152
0.223003100,-0.327403349
0.223351000,-0.327612546
0.223698900,-0.323821743
0.224046800,-0.324030939
0.224394700,-0.324240136
0.224742600,-0.324449333
0.225090500,-0.320658530
0.225438400,-0.320867727
0.225786300,-0.321076923
0.226134100,-0.321286060
0.226482000,-0.321495257
0.226829900,-0.317704454
0.227177800,-0.317913650
0.227525700,-0.318122847
0.227873600,-0.318332044
0.228221500,-0.318541241
0.228569400,-0.314750437
0.228917300,-0.314959634
0.229265200,-0.315168831
0.229613100,-0.315378028
0.229961000,-0.311587225
0.230308900,-0.311796421
0.230656800,-0.312005618
0.231004700,-0.308214815
0.231352600,-0.308424012
0.231700500,-0.308633208
0.232048400,-0.304842405
0.232396300,-0.305051602
0.232744200,-0.305260799
0.233092100,-0.305469996
0.233440000,-0.301679192
0.233787900,-0.301888389
0.234135800,-0.302097586
0.234483700,-0.298306783
0.234831600,-0.298515979
0.235179500,-0.294725176
0.235527400,-0.290934373
0.235875300,-0.295143570
0.236223200,-0.295352767
0.236571100,-0.291561963
0.236919000,-0.287771160
0.237266900,-0.287980357
0.237614800,-0.288189554
0.237962700,-0.284398750
0.238310600,-0.280607947
0.238658500,-0.284817144
0.239006400,-0.281026341
0.239354300,-0.281235538
0.239702200,-0.281444734
0.240050100,-0.273653931
0.240398000,-0.273863128
0.240745900,-0.274072325
0.241093800,-0.274281522
0.241441700,-0.270490718
0.241789600,-0.266699915
0.242137500,-0.266909112
0.242485400,-0.267118309
0.242833300,-0.267327505
0.243181200,-0.267536702
0.243529100,-0.259745899
0.243877000,-0.259955096
0.244224900,-0.260164293
0.244572800,-0.260373489
0.244920700,-0.256582686
0.245268600,-0.256791883
0.245616500,-0.257001080
0.245964400,-0.253210276
0.246312300,-0.253419473
0.246660200,-0.249628670
0.247008100,-0.245837867
0.247356000,-0.250047064
0.247703900,-0.250256260
0.248051800,-0.250465457
0.248399700,-0.242674654
0.248747600,-0.242883851
0.249095500,-0.243093047
0.249443400,-0.243302244
