Parámetro,Valor
Ra (Promedio Aritmético),2.098 µm
Rq (RMS),2.594 µm
Rp (Pico Máximo),7.204 µm
Rv (Valle Máximo),-6.212 µm
Rt (Altura Total del Perfil),13.416 µm
Rz (ISO 4287:1997),7.349 µm
Rsk (Asimetría),0.359
Rku (Curtosis),2.934
RSm (Anchura Media de Elementos),551.903 µm
Rdq (Pendiente RMS),16.887 µm/mm
Rda (Pendiente Media Absoluta),12.822 µm/mm
Pc (Conteo de Picos),62.20 1/mm
Rpk (Altura de picos que se desgastan),1.055 µm
Rk (Profundidad del núcleo funcional),4.667 µm
Rvk (Profundidad de valles para lubricante),0.900 µm
Mr1 (%),25.35
Mr2 (%),91.83
