x (mm),altura (µm)
0.000000000,-1.305567265
0.001154700,-1.300627549
0.002309500,-1.283688790
0.003464200,-1.278749074
0.004618900,-1.273809358
0.005773700,-1.256870599
0.006928400,-1.251930883
0.008083100,-1.246991166
0.009237900,-1.242052408
0.010392600,-1.221112692
0.011547300,-1.216172975
0.012702100,-1.211234217
0.013856800,-1.190294500
0.015011500,-1.185354784
0.016166300,-1.180416026
0.017321000,-1.155476309
0.018475800,-1.150537551
0.019630500,-1.145597834
0.020785200,-1.136658118
0.021940000,-1.115719359
0.023094700,-1.106779643
0.024249400,-1.101839927
0.025404200,-1.076901168
0.026558900,-1.071961452
0.027713600,-1.063021736
0.028868400,-1.038082977
0.030023100,-1.033143261
0.031177800,-1.024203544
0.032332600,-1.019264786
0.033487300,-0.994325070
0.034642000,-0.985385353
0.035796800,-0.980446595
0.036951500,-0.955506878
0.038106200,-0.946567162
0.039261000,-0.937628403
0.040415700,-0.912688687
0.041570400,-0.907748971
0.042725200,-0.898810212
0.043879900,-0.873870496
0.045034600,-0.864930780
0.046189400,-0.859992021
0.047344100,-0.851052305
0.048498800,-0.826112588
0.049653600,-0.821173830
0.050808300,-0.812234114
0.051963000,-0.787294397
0.053117800,-0.782355639
0.054272500,-0.773415922
0.055427300,-0.748477164
0.056582000,-0.743537448
0.057736700,-0.738597731
0.058891500,-0.729658973
0.060046200,-0.708719256
0.061200900,-0.699779540
0.062355700,-0.694840781
0.063510400,-0.669901065
0.064665100,-0.664961349
0.065819900,-0.660022590
0.066974600,-0.635082874
0.068129300,-0.630143158
0.069284100,-0.625204399
0.070438800,-0.620264683
0.071593500,-0.599324966
0.072748300,-0.594386208
0.073903000,-0.589446492
0.075057700,-0.564506775
0.076212500,-0.559568017
0.077367200,-0.558628300
0.078521900,-0.537688584
0.079676700,-0.532749825
0.080831400,-0.527810109
0.081986100,-0.522870393
0.083140900,-0.501931634
0.084295600,-0.500991918
0.085450300,-0.496052202
0.086605100,-0.475113443
0.087759800,-0.474173727
0.088914500,-0.469234010
0.090069300,-0.452295252
0.091224000,-0.447355536
0.092378800,-0.446416777
0.093533500,-0.429477061
0.094688200,-0.424537344
0.095843000,-0.423598586
0.096997700,-0.418658869
0.098152400,-0.401719153
0.099307200,-0.400780395
0.100461900,-0.399840678
0.101616600,-0.382900962
0.102771400,-0.381962203
0.103926100,-0.381022487
0.105080800,-0.364082771
0.106235600,-0.363144012
0.107390300,-0.362204296
0.108545000,-0.361264580
0.109699800,-0.344325821
0.110854500,-0.343386105
0.112009200,-0.342446388
0.113164000,-0.329507630
0.114318700,-0.328567913
0.115473400,-0.327628197
0.116628200,-0.314689439
0.117782900,-0.313749722
0.118937600,-0.312810006
0.120092400,-0.315871247
0.121247100,-0.302931531
0.122401800,-0.301991815
0.123556600,-0.301053056
0.124711300,-0.292113340
0.125866100,-0.291174581
0.127020800,-0.290234865
0.128175500,-0.281295149
0.129330300,-0.280356390
0.130485000,-0.283416674
0.131639700,-0.282476957
0.132794500,-0.273538199
0.133949200,-0.276598483
