Parámetro,Valor
Ra (Promedio Aritmético),1.694 µm
Rq (RMS),1.991 µm
Rp (Pico Máximo),4.128 µm
Rv (Valle Máximo),-4.000 µm
Rt (Altura Total del Perfil),8.128 µm
Rz (ISO 4287:1997),5.036 µm
Rsk (Asimetría),0.004
Rku (Curtosis),2.088
RSm (Anchura Media de Elementos),515.975 µm
Rdq (Pendiente RMS),16.494 µm/mm
Rda (Pendiente Media Absoluta),12.435 µm/mm
Pc (Conteo de Picos),132.00 1/mm
Rpk (Altura de picos que se desgastan),0.420 µm
Rk (Profundidad del núcleo funcional),6.408 µm
Rvk (Profundidad de valles para lubricante),0.250 µm
Mr1 (%),3.87
Mr2 (%),93.74
