x (mm),altura (µm)
0.000000000,-4.046842517
0.000203500,-4.042875660
0.000406900,-4.026908786
0.000610400,-4.022941929
0.000813800,-4.014975055
0.001017300,-4.003008198
0.001220700,-3.995041324
0.001424200,-3.987074467
0.001627600,-3.983107593
0.001831100,-3.967140735
0.002034500,-3.963173862
0.002238000,-3.955207004
0.002441400,-3.943240131
0.002644900,-3.935273273
0.002848300,-3.931306399
0.003051800,-3.915339542
0.003255200,-3.911372668
0.003458700,-3.903405811
0.003662100,-3.899438937
0.003865600,-3.883472080
0.004069000,-3.879505206
0.004272500,-3.871538349
0.004475900,-3.863571475
0.004679400,-3.855604617
0.004882800,-3.851637744
0.005086300,-3.835670886
0.005289700,-3.831704013
0.005493200,-3.827737155
0.005696600,-3.823770281
0.005900100,-3.807803424
0.006103500,-3.807836550
0.006307000,-3.799869693
0.006510400,-3.787902819
0.006713900,-3.783935962
0.006917300,-3.779969088
0.007120800,-3.768002231
0.007324200,-3.764035357
0.007527700,-3.760068499
0.007731100,-3.752101626
0.007934600,-3.744134768
0.008138000,-3.744167895
0.008341500,-3.736201037
0.008544900,-3.728234163
0.008748400,-3.724267306
0.008951800,-3.720300432
0.009155300,-3.708333575
0.009358700,-3.708366701
0.009562200,-3.704399844
0.009765600,-3.696432970
0.009969100,-3.692466113
0.010172500,-3.688499239
0.010376000,-3.684532381
0.010579400,-3.680565508
0.010782900,-3.676598650
0.010986300,-3.672631777
0.011189800,-3.664664919
0.011393200,-3.664698045
0.011596700,-3.660731188
0.011800100,-3.652764314
0.012003600,-3.652797457
0.012207000,-3.648830583
0.012410500,-3.648863726
0.012613900,-3.640896852
0.012817400,-3.640929995
0.013020800,-3.636963121
0.013224300,-3.632996263
0.013427700,-3.629029390
0.013631200,-3.629062532
0.013834600,-3.625095659
0.014038100,-3.625128801
0.014241500,-3.621161927
0.014445000,-3.621195070
0.014648400,-3.617228196
0.014851900,-3.617261339
0.015055300,-3.613294465
0.015258800,-3.613327608
0.015462200,-3.609360734
0.015665700,-3.613393877
0.015869100,-3.605427003
0.016072600,-3.609460146
0.016276000,-3.605493272
0.016479500,-3.605526414
0.016682900,-3.601559541
