x (mm),altura (µm)
0.000000000,-9.292940859
0.000356049,-9.302600749
0.000712099,-9.312260639
0.001068148,-9.317920529
0.001424197,-9.327580419
0.001780246,-9.333240309
0.002136296,-9.338900198
0.002492345,-9.344560088
0.002848394,-9.350219978
0.003204443,-9.355879868
0.003560493,-9.361539758
0.003916542,-9.363199647
0.004272591,-9.368859537
0.004628641,-9.370519427
0.004984690,-9.376179317
0.005340739,-9.377839207
0.005696788,-9.379499096
0.006052838,-9.381158986
0.006408887,-9.382818876
0.006764936,-9.384478766
0.007120986,-9.382138656
0.007477035,-9.383798545
0.007833084,-9.385458435
0.008189133,-9.383118325
0.008545183,-9.384778215
0.008901232,-9.382438105
0.009257281,-9.384097994
0.009613330,-9.381757884
0.009969380,-9.379417774
0.010325429,-9.381077664
0.010681478,-9.378737554
0.011037528,-9.376397443
0.011393577,-9.374057333
0.011749626,-9.371717223
0.012105675,-9.373377113
0.012461725,-9.371037003
0.012817774,-9.368696892
0.013173823,-9.366356782
0.013529873,-9.364016672
0.013885922,-9.365676562
0.014241971,-9.363336452
0.014598020,-9.360996341
0.014954070,-9.358656231
0.015310119,-9.356316121
0.015666168,-9.357976011
0.016022217,-9.355635901
0.016378267,-9.353295790
0.016734316,-9.350955680
0.017090365,-9.352615570
0.017446415,-9.350275460
0.017802464,-9.347935350
0.018158513,-9.349595240
0.018514562,-9.347255129
0.018870612,-9.348915019
0.019226661,-9.346574909
0.019582710,-9.348234799
0.019938760,-9.345894689
0.020294809,-9.347554578
0.020650858,-9.345214468
0.021006907,-9.346874358
0.021362957,-9.344534248
0.021719006,-9.346194138
0.022075055,-9.343854027
0.022431104,-9.345513917
0.022787154,-9.343173807
0.023143203,-9.344833697
0.023499252,-9.346493587
0.023855302,-9.344153476
0.024211351,-9.345813366
0.024567400,-9.347473256
0.024923449,-9.345133146
0.025279499,-9.346793036
0.025635548,-9.344452925
0.025991597,-9.346112815
0.026347647,-9.347772705
0.026703696,-9.345432595
0.027059745,-9.347092485
0.027415794,-9.348752374
0.027771844,-9.346412264
0.028127893,-9.348072154
0.028483942,-9.345732044
0.028839991,-9.347391934
0.029196041,-9.349051823
0.029552090,-9.346711713
0.029908139,-9.348371603
0.030264189,-9.346031493
0.030620238,-9.347691383
0.030976287,-9.345351272
0.031332336,-9.347011162
0.031688386,-9.348671052
0.032044435,-9.346330942
0.032400484,-9.347990832
0.032756534,-9.345650721
0.033112583,-9.347310611
0.033468632,-9.344970501
0.033824681,-9.346630391
0.034180731,-9.344290281
0.034536780,-9.345950171
0.034892829,-9.343610060
0.035248878,-9.345269950
0.035604928,-9.346929840
0.035960977,-9.344589730
0.036317026,-9.346249620
0.036673076,-9.343909509
0.037029125,-9.345569399
0.037385174,-9.343229289
0.037741223,-9.344889179
0.038097273,-9.342549069
0.038453322,-9.344208958
0.038809371,-9.341868848
0.039165420,-9.343528738
0.039521470,-9.341188628
0.039877519,-9.342848518
0.040233568,-9.340508407
0.040589618,-9.342168297
0.040945667,-9.339828187
0.041301716,-9.341488077
0.041657765,-9.339147967
0.042013815,-9.336807856
0.042369864,-9.338467746
0.042725913,-9.336127636
0.043081963,-9.333787526
0.043438012,-9.331447416
0.043794061,-9.333107305
0.044150110,-9.330767195
0.044506160,-9.328427085
0.044862209,-9.326086975
0.045218258,-9.327746865
0.045574307,-9.325406754
0.045930357,-9.323066644
0.046286406,-9.320726534
0.046642455,-9.318386424
0.046998505,-9.316046314
0.047354554,-9.313706203
0.047710603,-9.315366093
0.048066652,-9.309025983
0.048422702,-9.310685873
0.048778751,-9.308345763
0.049134800,-9.306005652
0.049490850,-9.303665542
0.049846899,-9.297325432
0.050202948,-9.294985322
0.050558997,-9.292645212
0.050915047,-9.290305102
0.051271096,-9.287964991
0.051627145,-9.285624881
0.051983194,-9.283284771
0.052339244,-9.280944661
0.052695293,-9.274604551
0.053051342,-9.272264440
0.053407392,-9.269924330
0.053763441,-9.263584220
0.054119490,-9.261244110
0.054475539,-9.254904000
0.054831589,-9.252563889
0.055187638,-9.246223779
0.055543687,-9.243883669
0.055899737,-9.237543559
0.056255786,-9.231203449
0.056611835,-9.228863338
0.056967884,-9.222523228
0.057323934,-9.220183118
0.057679983,-9.213843008
0.058036032,-9.207502898
0.058392081,-9.205162787
0.058748131,-9.198822677
0.059104180,-9.192482567
0.059460229,-9.186142457
0.059816279,-9.183802347
0.060172328,-9.177462236
0.060528377,-9.175122126
0.060884426,-9.168782016
0.061240476,-9.162441906
0.061596525,-9.160101796
0.061952574,-9.153761685
0.062308624,-9.147421575
0.062664673,-9.145081465
0.063020722,-9.138741355
0.063376771,-9.136401245
0.063732821,-9.130061134
0.064088870,-9.127721024
0.064444919,-9.121380914
0.064800968,-9.119040804
0.065157018,-9.112700694
0.065513067,-9.110360584
0.065869116,-9.104020473
0.066225166,-9.101680363
0.066581215,-9.099340253
0.066937264,-9.093000143
0.067293313,-9.090660033
0.067649363,-9.088319922
0.068005412,-9.081979812
0.068361461,-9.079639702
0.068717511,-9.077299592
0.069073560,-9.070959482
0.069429609,-9.068619371
0.069785658,-9.066279261
0.070141708,-9.059939151
0.070497757,-9.057599041
0.070853806,-9.055258931
0.071209855,-9.048918820
0.071565905,-9.046578710
0.071921954,-9.044238600
0.072278003,-9.037898490
0.072634053,-9.035558380
0.072990102,-9.033218269
0.073346151,-9.030878159
0.073702200,-9.024538049
0.074058250,-9.022197939
0.074414299,-9.019857829
0.074770348,-9.017517718
0.075126397,-9.015177608
0.075482447,-9.008837498
0.075838496,-9.006497388
0.076194545,-9.004157278
0.076550595,-9.001817167
0.076906644,-8.999477057
0.077262693,-8.997136947
0.077618742,-8.994796837
0.077974792,-8.992456727
0.078330841,-8.990116616
0.078686890,-8.987776506
0.079042940,-8.985436396
0.079398989,-8.983096286
0.079755038,-8.980756176
0.080111087,-8.978416065
0.080467137,-8.980075955
0.080823186,-8.977735845
0.081179235,-8.975395735
0.081535284,-8.973055625
0.081891334,-8.974715515
0.082247383,-8.972375404
0.082603432,-8.970035294
0.082959482,-8.971695184
0.083315531,-8.969355074
0.083671580,-8.971014964
0.084027629,-8.968674853
0.084383679,-8.966334743
0.084739728,-8.967994633
0.085095777,-8.965654523
0.085451827,-8.963314413
0.085807876,-8.964974302
0.086163925,-8.962634192
0.086519974,-8.960294082
0.086876024,-8.957953972
0.087232073,-8.955613862
0.087588122,-8.953273751
0.087944171,-8.950933641
0.088300221,-8.944593531
0.088656270,-8.942253421
0.089012319,-8.935913311
0.089368369,-8.933573200
0.089724418,-8.927233090
0.090080467,-8.920892980
0.090436516,-8.914552870
0.090792566,-8.904212760
0.091148615,-8.897872649
0.091504664,-8.887532539
0.091860714,-8.877192429
0.092216763,-8.866852319
0.092572812,-8.856512209
0.092928861,-8.842172098
0.093284911,-8.827831988
0.093640960,-8.817491878
0.093997009,-8.799151768
0.094353058,-8.788811658
0.094709108,-8.770471547
0.095065157,-8.756131437
0.095421206,-8.741791327
0.095777256,-8.727451217
0.096133305,-8.709111107
0.096489354,-8.690770996
0.096845403,-8.676430886
0.097201453,-8.658090776
0.097557502,-8.643750666
0.097913551,-8.625410556
0.098269601,-8.611070446
0.098625650,-8.592730335
0.098981699,-8.582390225
0.099337748,-8.564050115
0.099693798,-8.549710005
0.100049847,-8.539369895
0.100405896,-8.525029784
0.100761945,-8.514689674
0.101117995,-8.500349564
0.101474044,-8.494009454
0.101830093,-8.483669344
0.102186143,-8.477329233
0.102542192,-8.466989123
0.102898241,-8.460649013
0.103254290,-8.458308903
0.103610340,-8.451968793
0.103966389,-8.449628682
0.104322438,-8.443288572
0.104678488,-8.444948462
0.105034537,-8.442608352
0.105390586,-8.444268242
0.105746635,-8.441928131
0.106102685,-8.443588021
0.106458734,-8.445247911
0.106814783,-8.446907801
0.107170832,-8.452567691
0.107526882,-8.454227580
0.107882931,-8.459887470
0.108238980,-8.461547360
0.108595030,-8.467207250
0.108951079,-8.472867140
0.109307128,-8.478527029
0.109663177,-8.484186919
0.110019227,-8.489846809
0.110375276,-8.495506699
0.110731325,-8.501166589
0.111087374,-8.506826478
0.111443424,-8.512486368
0.111799473,-8.518146258
0.112155522,-8.523806148
0.112511572,-8.529466038
0.112867621,-8.535125927
0.113223670,-8.540785817
0.113579719,-8.546445707
0.113935769,-8.552105597
0.114291818,-8.557765487
0.114647867,-8.559425377
0.115003917,-8.565085266
0.115359966,-8.566745156
0.115716015,-8.572405046
0.116072064,-8.574064936
0.116428114,-8.575724826
0.116784163,-8.581384715
0.117140212,-8.583044605
0.117496261,-8.580704495
0.117852311,-8.582364385
0.118208360,-8.584024275
0.118564409,-8.581684164
0.118920459,-8.583344054
0.119276508,-8.581003944
0.119632557,-8.578663834
0.119988606,-8.576323724
0.120344656,-8.573983613
0.120700705,-8.571643503
0.121056754,-8.569303393
0.121412804,-8.566963283
0.121768853,-8.564623173
0.122124902,-8.558283062
0.122480951,-8.555942952
0.122837001,-8.549602842
0.123193050,-8.547262732
0.123549099,-8.540922622
0.123905148,-8.538582511
0.124261198,-8.532242401
0.124617247,-8.525902291
0.124973296,-8.523562181
0.125329346,-8.517222071
0.125685395,-8.514881960
0.126041444,-8.508541850
0.126397493,-8.506201740
0.126753543,-8.499861630
0.127109592,-8.493521520
0.127465641,-8.491181409
0.127821691,-8.484841299
0.128177740,-8.482501189
0.128533789,-8.480161079
0.128889838,-8.473820969
0.129245888,-8.471480858
0.129601937,-8.469140748
0.129957986,-8.462800638
0.130314035,-8.460460528
0.130670085,-8.458120418
0.131026134,-8.455780308
0.131382183,-8.453440197
0.131738233,-8.447100087
0.132094282,-8.444759977
0.132450331,-8.442419867
0.132806380,-8.440079757
0.133162430,-8.437739646
0.133518479,-8.435399536
0.133874528,-8.433059426
0.134230578,-8.430719316
0.134586627,-8.428379206
0.134942676,-8.426039095
0.135298725,-8.423698985
0.135654775,-8.421358875
0.136010824,-8.419018765
0.136366873,-8.416678655
0.136722922,-8.414338544
0.137078972,-8.411998434
0.137435021,-8.409658324
0.137791070,-8.407318214
0.138147120,-8.404978104
0.138503169,-8.402637993
0.138859218,-8.400297883
0.139215267,-8.401957773
0.139571317,-8.399617663
0.139927366,-8.397277553
0.140283415,-8.394937442
0.140639465,-8.392597332
0.140995514,-8.394257222
0.141351563,-8.391917112
0.141707612,-8.389577002
0.142063662,-8.387236891
0.142419711,-8.388896781
0.142775760,-8.386556671
0.143131809,-8.388216561
0.143487859,-8.385876451
0.143843908,-8.383536340
0.144199957,-8.385196230
0.144556007,-8.382856120
0.144912056,-8.384516010
0.145268105,-8.386175900
0.145624154,-8.383835789
0.145980204,-8.385495679
0.146336253,-8.387155569
0.146692302,-8.384815459
0.147048351,-8.386475349
0.147404401,-8.388135239
0.147760450,-8.389795128
0.148116499,-8.387455018
0.148472549,-8.389114908
0.148828598,-8.390774798
0.149184647,-8.392434688
0.149540696,-8.394094577
0.149896746,-8.391754467
0.150252795,-8.393414357
0.150608844,-8.395074247
0.150964894,-8.396734137
0.151320943,-8.398394026
0.151676992,-8.396053916
0.152033041,-8.397713806
0.152389091,-8.399373696
0.152745140,-8.401033586
0.153101189,-8.398693475
0.153457238,-8.400353365
