x (mm),altura (µm)
0.000000000,-0.156523803
0.000356000,-0.158909978
0.000712100,-0.162495774
0.001068100,-0.164881186
0.001424200,-0.167266208
0.001780200,-0.169650834
0.002136300,-0.172835060
0.002492300,-0.174818880
0.002848400,-0.176402288
0.003204400,-0.178785279
0.003560500,-0.180367849
0.003916500,-0.181949991
0.004272600,-0.183131700
0.004628600,-0.184312973
0.004984700,-0.185093802
0.005340700,-0.185874182
0.005696800,-0.186254109
0.006052800,-0.186633579
0.006408900,-0.186612585
0.006764900,-0.186191122
0.007121000,-0.185769187
0.007477000,-0.184946772
0.007833100,-0.184123873
0.008189100,-0.183300485
0.008545200,-0.181276605
0.008901200,-0.180052226
0.009257300,-0.178427343
0.009613300,-0.176001950
0.009969400,-0.173976045
0.010325400,-0.171949622
0.010681500,-0.169522674
0.011037500,-0.165895200
0.011393600,-0.163467193
0.011749600,-0.160638646
0.012105700,-0.157809557
0.012461700,-0.152979921
0.012817800,-0.150149732
0.013173800,-0.146518986
0.013529900,-0.141287679
0.013885900,-0.137655804
0.014242000,-0.134023357
0.014598000,-0.129990333
0.014954100,-0.123556730
0.015310100,-0.119122540
0.015666200,-0.114687759
0.016022200,-0.107852384
0.016378300,-0.102616409
0.016734300,-0.097779829
0.017090400,-0.092542638
0.017446400,-0.084104836
0.017802500,-0.078466415
0.018158500,-0.072427371
0.018514600,-0.066387698
0.018870600,-0.056747396
0.019226700,-0.050306456
0.019582700,-0.043464876
0.019938800,-0.033022652
0.020294800,-0.025779778
0.020650900,-0.018136251
0.021006900,-0.010492065
0.021363000,0.001152781
0.021719000,0.009198294
0.022075100,0.017644478
0.022431100,0.030491335
0.022787200,0.038938871
0.023143200,0.047787090
0.023499300,0.056635995
0.023855300,0.070285590
0.024211400,0.079535880
0.024567400,0.088786868
0.024923400,0.102838558
0.025279500,0.112490953
0.025635500,0.121744058
0.025991600,0.130997876
0.026347600,0.145052410
0.026703700,0.154707665
0.027059700,0.163563644
0.027415800,0.172820351
0.027771800,0.186877788
0.028127900,0.195735960
0.028483900,0.204594870
0.028840000,0.217454520
0.029196000,0.225914915
0.029552100,0.234376058
0.029908100,0.242437952
0.030264200,0.254100600
0.030620200,0.261764005
0.030976300,0.269028170
0.031332300,0.279893099
0.031688400,0.286758795
0.032044400,0.293225259
0.032400500,0.299692496
0.032756500,0.308560508
0.033112600,0.314229298
0.033468600,0.319498868
0.033824700,0.324769222
0.034180700,0.332040361
0.034536800,0.336512290
0.034892800,0.340585009
0.035248900,0.346658522
0.035604900,0.350332831
0.035961000,0.354007939
0.036317000,0.357283848
0.036673100,0.361760561
0.037029100,0.364238078
0.037385200,0.366716404
0.037741200,0.370395540
0.038097300,0.372075488
0.038453300,0.374156251
0.038809400,0.375837830
0.039165400,0.377920227
0.039521500,0.379203445
0.039877500,0.380487485
0.040233600,0.381372350
0.040589600,0.383058041
0.040945700,0.383944560
0.041301700,0.384431909
0.041657800,0.385720090
0.042013800,0.386209104
0.042369900,0.386698953
0.042725900,0.386789638
0.043082000,0.387681162
0.043438000,0.388173526
0.043794100,0.388266730
0.044150100,0.389160778
0.044506200,0.389255670
0.044862200,0.389751407
0.045218300,0.389847991
0.045574300,0.390745423
0.045930400,0.390843705
0.046286400,0.391342837
0.046642500,0.391842821
0.046998500,0.391943657
0.047354600,0.392445347
0.047710600,0.392947892
0.048066700,0.393451293
0.048422700,0.393955551
0.048778800,0.394060665
0.049134800,0.394566638
0.049490800,0.395073471
0.049846900,0.395181162
0.050202900,0.395689714
0.050559000,0.395799126
0.050915000,0.395909400
0.051271100,0.396020536
