x (mm),altura (µm)
0.000000000,-1.427438992
0.000356049,-1.435455078
0.000712099,-1.447471164
0.001068148,-1.451487250
0.001424197,-1.459503336
0.001780246,-1.467519422
0.002136296,-1.471535508
0.002492345,-1.479551595
0.002848394,-1.483567681
0.003204443,-1.487583767
0.003560493,-1.495599853
0.003916542,-1.495615939
0.004272591,-1.503632025
0.004628641,-1.503648111
0.004984690,-1.507664197
0.005340739,-1.511680283
0.005696788,-1.511696369
0.006052838,-1.511712455
0.006408887,-1.515728541
0.006764936,-1.515744628
0.007120986,-1.515760714
0.007477035,-1.515776800
0.007833084,-1.515792886
0.008189133,-1.515808972
0.008545183,-1.515825058
0.008901232,-1.515841144
0.009257281,-1.515857230
0.009613330,-1.511873316
0.009969380,-1.511889402
0.010325429,-1.511905488
0.010681478,-1.511921574
0.011037528,-1.507937660
0.011393577,-1.503953747
0.011749626,-1.503969833
0.012105675,-1.503985919
0.012461725,-1.504002005
0.012817774,-1.500018091
0.013173823,-1.496034177
0.013529873,-1.496050263
0.013885922,-1.496066349
0.014241971,-1.496082435
0.014598020,-1.492098521
0.014954070,-1.488114607
0.015310119,-1.488130693
0.015666168,-1.488146780
0.016022217,-1.488162866
0.016378267,-1.484178952
0.016734316,-1.480195038
0.017090365,-1.484211124
0.017446415,-1.480227210
0.017802464,-1.480243296
0.018158513,-1.480259382
0.018514562,-1.476275468
0.018870612,-1.480291554
0.019226661,-1.476307640
0.019582710,-1.480323726
0.019938760,-1.476339813
0.020294809,-1.476355899
0.020650858,-1.476371985
0.021006907,-1.476388071
0.021362957,-1.476404157
0.021719006,-1.476420243
0.022075055,-1.472436329
0.022431104,-1.476452415
0.022787154,-1.472468501
0.023143203,-1.476484587
0.023499252,-1.476500673
0.023855302,-1.476516759
0.024211351,-1.476532846
0.024567400,-1.476548932
0.024923449,-1.476565018
0.025279499,-1.476581104
0.025635548,-1.476597190
0.025991597,-1.476613276
0.026347647,-1.476629362
0.026703696,-1.476645448
0.027059745,-1.476661534
0.027415794,-1.480677620
0.027771844,-1.476693706
0.028127893,-1.476709792
0.028483942,-1.476725879
0.028839991,-1.476741965
0.029196041,-1.480758051
0.029552090,-1.476774137
0.029908139,-1.476790223
0.030264189,-1.476806309
0.030620238,-1.476822395
0.030976287,-1.476838481
0.031332336,-1.476854567
0.031688386,-1.476870653
0.032044435,-1.476886739
0.032400484,-1.476902825
0.032756534,-1.476918912
0.033112583,-1.476934998
0.033468632,-1.476951084
0.033824681,-1.476967170
0.034180731,-1.472983256
0.034536780,-1.476999342
0.034892829,-1.473015428
0.035248878,-1.477031514
0.035604928,-1.477047600
0.035960977,-1.473063686
0.036317026,-1.477079772
0.036673076,-1.473095858
0.037029125,-1.477111945
0.037385174,-1.473128031
0.037741223,-1.477144117
0.038097273,-1.473160203
0.038453322,-1.473176289
0.038809371,-1.473192375
0.039165420,-1.473208461
0.039521470,-1.473224547
0.039877519,-1.473240633
0.040233568,-1.469256719
0.040589618,-1.473272805
0.040945667,-1.469288891
0.041301716,-1.473304978
0.041657765,-1.469321064
0.042013815,-1.465337150
0.042369864,-1.469353236
0.042725913,-1.465369322
0.043081963,-1.465385408
0.043438012,-1.461401494
0.043794061,-1.465417580
0.044150110,-1.461433666
0.044506160,-1.457449752
0.044862209,-1.457465838
0.045218258,-1.457481924
0.045574307,-1.457498010
0.045930357,-1.453514097
0.046286406,-1.453530183
0.046642455,-1.449546269
0.046998505,-1.445562355
0.047354554,-1.445578441
0.047710603,-1.445594527
0.048066652,-1.441610613
0.048422702,-1.441626699
0.048778751,-1.437642785
0.049134800,-1.437658871
0.049490850,-1.433674957
0.049846899,-1.429691043
0.050202948,-1.425707130
0.050558997,-1.425723216
