Parámetro,Valor
Ra (Promedio Aritmético),0.218 µm
Rq (RMS),0.292 µm
Rp (Pico Máximo),1.408 µm
Rv (Valle Máximo),-1.017 µm
Rt (Altura Total del Perfil),2.425 µm
Rz (ISO 4287:1997),1.567 µm
Rsk (Asimetría),0.156
Rku (Curtosis),5.611
RSm (Anchura Media de Elementos),52.611 µm
Rdq (Pendiente RMS),13.745 µm/mm
Rda (Pendiente Media Absoluta),10.906 µm/mm
Pc (Conteo de Picos),15.50 1/mm
Rpk (Altura de picos que se desgastan),0.070 µm
Rk (Profundidad del núcleo funcional),0.221 µm
Rvk (Profundidad de valles para lubricante),0.103 µm
Mr1 (%),37.99
Mr2 (%),71.92
