x (mm),altura (µm)
0.000000000,-0.035105582
0.000356000,-0.032723645
0.000712100,-0.029541601
0.001068100,-0.027159665
0.001424200,-0.025177621
0.001780200,-0.023195684
0.002136300,-0.020813640
0.002492300,-0.019231703
0.002848400,-0.017649659
0.003204400,-0.016467723
0.003560500,-0.015685679
0.003916500,-0.014903742
0.004272600,-0.014921698
0.004628600,-0.014939761
0.004984700,-0.015357717
0.005340700,-0.015775780
0.005696800,-0.016593736
0.006052800,-0.018611800
0.006408900,-0.019829756
0.006764900,-0.021447819
0.007121000,-0.024665775
0.007477000,-0.026683838
0.007833100,-0.028701794
0.008189100,-0.031119858
0.008545200,-0.035137814
0.008901200,-0.037955877
0.009257300,-0.040373833
0.009613300,-0.044791896
0.009969400,-0.047209852
0.010325400,-0.049627915
0.010681500,-0.052445871
0.011037500,-0.056063935
0.011393600,-0.058081891
0.011749600,-0.060499954
0.012105700,-0.062117910
0.012461700,-0.064935973
0.012817800,-0.066553929
0.013173800,-0.067771993
0.013529900,-0.069389949
0.013885900,-0.070208012
0.014242000,-0.070625968
0.014598000,-0.071044031
0.014954100,-0.071461987
0.015310100,-0.071480050
0.015666200,-0.071098006
0.016022200,-0.070316070
0.016378300,-0.069534026
0.016734300,-0.068352089
0.017090400,-0.067170045
0.017446400,-0.065588108
0.017802500,-0.064006064
0.018158500,-0.062424128
0.018514600,-0.060842084
0.018870600,-0.058460147
0.019226700,-0.056878103
0.019582700,-0.055296166
0.019938800,-0.052914122
0.020294800,-0.050932185
0.020650900,-0.048950141
0.021006900,-0.047368205
0.021363000,-0.044986161
0.021719000,-0.043004224
0.022075100,-0.041022180
0.022431100,-0.038640243
0.022787200,-0.036658199
0.023143200,-0.035076262
0.023499300,-0.033094218
0.023855300,-0.030312282
0.024211400,-0.028330238
0.024567400,-0.025948301
0.024923400,-0.023166364
0.025279500,-0.020784320
0.025635500,-0.018802384
0.025991600,-0.016420340
0.026347600,-0.012838403
0.026703700,-0.010456359
0.027059700,-0.008074422
0.027415800,-0.005692378
0.027771800,-0.002110441
0.028127900,0.000671603
0.028483900,0.003453539
0.028840000,0.007035583
0.029196000,0.009817520
0.029552100,0.012599564
0.029908100,0.015381501
0.030264200,0.019363545
0.030620200,0.022145481
0.030976300,0.024927525
0.031332300,0.028909462
0.031688400,0.031291506
0.032044400,0.034073443
0.032400500,0.036855487
0.032756500,0.040437424
0.033112600,0.042819468
0.033468600,0.045201404
0.033824700,0.047583448
0.034180700,0.050765385
0.034536800,0.052747429
0.034892800,0.055129366
0.035248900,0.057911410
0.035604900,0.059893346
0.035961000,0.061875390
0.036317000,0.063857327
0.036673100,0.067039371
0.037029100,0.069021308
0.037385200,0.071003352
0.037741200,0.073785289
0.038097300,0.076167333
0.038453300,0.078149269
0.038809400,0.080531313
0.039165400,0.083313250
0.039521500,0.085695294
0.039877500,0.088077231
0.040233600,0.090459275
0.040589600,0.093641211
0.040945700,0.096023255
0.041301700,0.098405192
0.041657800,0.101987236
0.042013800,0.104369173
0.042369900,0.107151217
0.042725900,0.109533154
0.043082000,0.113115198
0.043438000,0.115497134
0.043794100,0.117879178
0.044150100,0.121461115
0.044506200,0.123843159
0.044862200,0.126225096
0.045218300,0.128607140
0.045574300,0.131389076
0.045930400,0.133771120
