x (mm),altura (µm)
0.000000000,0.045754793
0.000356000,0.047967455
0.000712100,0.050980609
0.001068100,0.053194253
0.001424200,0.055008384
0.001780200,0.056823002
0.002136300,0.059038103
0.002492300,0.060453685
0.002848400,0.061869748
0.003204400,0.062886287
0.003560500,0.063503302
0.003916500,0.064120790
0.004272600,0.063938749
0.004628600,0.063757177
0.004984700,0.063176071
0.005340700,0.062595430
0.005696800,0.061615250
0.006052800,0.059435529
0.006408900,0.058056265
0.006764900,0.056277457
0.007121000,0.052899100
0.007477000,0.050721193
0.007833100,0.048543733
0.008189100,0.045966718
0.008545200,0.041790145
0.008901200,0.038814011
0.009257300,0.036238315
0.009613300,0.031663053
0.009969400,0.029088222
0.010325400,0.026513821
0.010681500,0.023539846
0.011037500,0.019766295
0.011393600,0.017593164
0.011749600,0.015020452
0.012105700,0.013248155
0.012461700,0.010276271
0.012817800,0.008504796
0.013173800,0.007133729
0.013529900,0.005363065
0.013885900,0.004392803
0.014242000,0.003822940
0.014598000,0.003253473
0.014954100,0.002684397
0.015310100,0.002515712
0.015666200,0.002747414
0.016022200,0.003379500
0.016378300,0.004011967
0.016734300,0.005044813
0.017090400,0.006078035
0.017446400,0.007511628
0.017802500,0.008945591
0.018158500,0.010379921
0.018514600,0.011814615
0.018870600,0.014049668
0.019226700,0.015485079
0.019582700,0.016920846
0.019938800,0.019156962
0.020294800,0.020993428
0.020650900,0.022830239
0.021006900,0.024267393
0.021363000,0.026504885
0.021719000,0.028342714
0.022075100,0.030180876
0.022431100,0.032419367
0.022787200,0.034258185
0.023143200,0.035697327
0.023499300,0.037536790
0.023855300,0.040176569
0.024211400,0.042016662
0.024567400,0.044257066
0.024923400,0.046897777
0.025279500,0.049138792
0.025635500,0.050980109
0.025991600,0.053221724
0.026347600,0.056663632
0.026703700,0.058905832
0.027059700,0.061148319
0.027415800,0.063391092
0.027771800,0.066834145
0.028127900,0.069477476
0.028483900,0.072121081
0.028840000,0.075564958
0.029196000,0.078209102
0.029552100,0.080853511
0.029908100,0.083498180
0.030264200,0.087343107
0.030620200,0.089988288
0.030976300,0.092633720
0.031332300,0.096479398
0.031688400,0.098725321
0.032044400,0.101371483
0.032400500,0.104017882
0.032756500,0.107464514
0.033112600,0.109711376
0.033468600,0.111958463
0.033824700,0.114205773
0.034180700,0.117253302
0.034536800,0.119101046
0.034892800,0.121349000
0.035248900,0.123997163
0.035604900,0.125845530
0.035961000,0.127694097
0.036317000,0.129542861
0.036673100,0.132591818
0.037029100,0.134440963
0.037385200,0.136290294
0.037741200,0.138939807
0.038097300,0.141189498
0.038453300,0.143039362
0.038809400,0.145289396
0.039165400,0.147939597
0.039521500,0.150189960
0.039877500,0.152440481
0.040233600,0.154691157
0.040589600,0.157741984
0.040945700,0.159992957
0.041301700,0.162244073
0.041657800,0.165695328
0.042013800,0.167946718
0.042369900,0.170598239
0.042725900,0.172849887
0.043082000,0.176301657
0.043438000,0.178553547
0.043794100,0.180805552
0.044150100,0.184257668
0.044506200,0.186509892
0.044862200,0.188762218
0.045218300,0.191014643
0.045574300,0.193667164
0.045930400,0.195919775
0.046286400,0.197772474
0.046642500,0.200025255
0.046998500,0.201478116
0.047354600,0.202931051
0.047710600,0.204384058
0.048066700,0.206237131
0.048422700,0.207290268
0.048778800,0.208343463
0.049134800,0.209396713
0.049490800,0.210450014
0.049846900,0.211103362
0.050202900,0.212156752
0.050559000,0.212810182
0.050915000,0.213463646
0.051271100,0.214117140
0.051627100,0.214370662
0.051983200,0.215024205
0.052339200,0.215277768
0.052695300,0.215531344
0.053051300,0.215784931
0.053407400,0.216038525
0.053763400,0.216292120
0.054119500,0.216545714
0.054475500,0.216399302
0.054831600,0.216252880
0.055187600,0.216506443
0.055543700,0.216359988
0.055899700,0.215813511
0.056255800,0.215667008
0.056611800,0.215120473
0.056967900,0.214573904
0.057323900,0.213627296
0.057680000,0.213080645
0.058036000,0.212133946
0.058392100,0.210387196
0.058748100,0.209040390
0.059104200,0.207693524
0.059460200,0.205146594
0.059816300,0.203399595
0.060172300,0.201252524
0.060528400,0.199105375
0.060884400,0.195358146
0.061240500,0.192810830
0.061596500,0.189863425
0.061952600,0.186915926
0.062308600,0.182368329
0.062664700,0.179020629
0.063020700,0.175672822
0.063376800,0.169924904
0.063732800,0.166576870
0.064088900,0.162428717
0.064444900,0.158680440
0.064801000,0.152932035
0.065157000,0.148783497
0.065513100,0.144634823
0.065869100,0.138886008
0.066225200,0.134737047
0.066581200,0.130987938
0.066937300,0.126838675
0.067293300,0.121089255
0.067649400,0.117339672
0.068005400,0.113589924
0.068361500,0.107840006
0.068717500,0.104489914
0.069073600,0.101139644
0.069429600,0.097389191
0.069785700,0.092438552
0.070141700,0.089087723
0.070497800,0.085736699
0.070853800,0.082785478
0.071209900,0.077834054
0.071565900,0.074482423
0.071922000,0.071530583
0.072278000,0.066578528
0.072634100,0.063226256
0.072990100,0.059873761
0.073346200,0.056921041
0.073702200,0.051568090
0.074058200,0.048214907
0.074414300,0.044861485
0.074770300,0.039107822
0.075126400,0.035353914
0.075482400,0.031599757
0.075838500,0.027845347
0.076194500,0.021290680
0.076550600,0.017135752
0.076906600,0.012980560
0.077262700,0.008825099
0.077618700,0.002269367
0.077974800,-0.002286642
0.078330800,-0.006442931
0.078686900,-0.013399503
0.079042900,-0.017556363
0.079399000,-0.022113515
0.079755000,-0.026270962
0.080111100,-0.032428708
0.080467100,-0.036586758
0.080823200,-0.040345114
0.081179200,-0.046103782
0.081535300,-0.049462764
0.081891300,-0.052822065
0.082247400,-0.055781688
0.082603400,-0.060341638
