x (mm),altura (µm)
0.000000000,0.117164005
0.000356000,0.119165569
0.000712100,0.122367133
0.001068100,0.124368697
0.001424200,0.126370261
0.001780200,0.127971824
0.002136300,0.129973389
0.002492300,0.131574952
0.002848400,0.132776516
0.003204400,0.133978080
0.003560500,0.134379644
0.003916500,0.135181208
0.004272600,0.134782772
0.004628600,0.134384336
0.004984700,0.133985900
0.005340700,0.133187463
0.005696800,0.132389027
0.006052800,0.129990591
0.006408900,0.128392155
0.006764900,0.126793719
0.007121000,0.123195283
0.007477000,0.121196847
0.007833100,0.118798411
0.008189100,0.115999975
0.008545200,0.112001539
0.008901200,0.108803102
0.009257300,0.106404666
0.009613300,0.101606230
0.009969400,0.099207794
0.010325400,0.096409358
0.010681500,0.093210922
0.011037500,0.089612486
0.011393600,0.087214050
0.011749600,0.084815613
0.012105700,0.082817178
0.012461700,0.080018741
0.012817800,0.078020305
0.013173800,0.076421869
0.013529900,0.074823433
0.013885900,0.073624997
0.014242000,0.073226561
0.014598000,0.072428125
0.014954100,0.071629689
0.015310100,0.071631252
0.015666200,0.071632817
0.016022200,0.072434380
0.016378300,0.072835944
0.016734300,0.074037508
0.017090400,0.074839072
0.017446400,0.076040636
0.017802500,0.077642200
0.018158500,0.078843764
0.018514600,0.080445328
0.018870600,0.082446891
0.019226700,0.084048455
0.019582700,0.085250019
0.019938800,0.087251583
0.020294800,0.089253147
0.020650900,0.090854711
0.021006900,0.092456275
0.021363000,0.094457839
0.021719000,0.096459403
0.022075100,0.098060967
0.022431100,0.100062530
0.022787200,0.102064094
0.023143200,0.103265658
0.023499300,0.105267222
0.023855300,0.107668786
0.024211400,0.109670350
0.024567400,0.111671914
0.024923400,0.114073477
0.025279500,0.116475041
0.025635500,0.118076605
0.025991600,0.120478169
0.026347600,0.123679733
0.026703700,0.126081297
0.027059700,0.128082861
0.027415800,0.130084425
0.027771800,0.133685989
0.028127900,0.136087553
0.028483900,0.138889116
0.028840000,0.142090680
0.029196000,0.144892244
0.029552100,0.147293808
0.029908100,0.150095372
0.030264200,0.153696936
0.030620200,0.156098500
0.030976300,0.158900064
0.031332300,0.162501628
0.031688400,0.164903192
0.032044400,0.167304755
0.032400500,0.170106319
0.032756500,0.173307883
0.033112600,0.175309447
0.033468600,0.177711011
0.033824700,0.179712575
0.034180700,0.182914139
0.034536800,0.184515703
0.034892800,0.186917266
0.035248900,0.189318831
0.035604900,0.191320394
0.035961000,0.192921958
0.036317000,0.194523522
0.036673100,0.197725086
0.037029100,0.199326650
0.037385200,0.201328214
0.037741200,0.203729778
0.038097300,0.206131342
0.038453300,0.207732905
0.038809400,0.210134470
0.039165400,0.212536033
0.039521500,0.214537597
0.039877500,0.216939161
0.040233600,0.218940725
0.040589600,0.222142289
0.040945700,0.224143853
0.041301700,0.226545417
0.041657800,0.229746981
0.042013800,0.232148544
0.042369900,0.234550108
0.042725900,0.236551672
0.043082000,0.240153236
0.043438000,0.242154800
0.043794100,0.244556364
0.044150100,0.247757928
0.044506200,0.250159492
0.044862200,0.252161056
0.045218300,0.254562620
0.045574300,0.256964183
0.045930400,0.259365747
0.046286400,0.260967311
0.046642500,0.262968875
