Parámetro,Valor
Ra (Promedio Aritmético),0.239 µm
Rq (RMS),0.376 µm
Rp (Pico Máximo),2.979 µm
Rv (Valle Máximo),-0.770 µm
Rt (Altura Total del Perfil),3.749 µm
Rz (ISO 4287:1997),1.705 µm
Rsk (Asimetría),3.423
Rku (Curtosis),25.127
RSm (Anchura Media de Elementos),66.449 µm
Rdq (Pendiente RMS),13.916 µm/mm
Rda (Pendiente Media Absoluta),10.516 µm/mm
Pc (Conteo de Picos),15.10 1/mm
Rpk (Altura de picos que se desgastan),0.164 µm
Rk (Profundidad del núcleo funcional),0.444 µm
Rvk (Profundidad de valles para lubricante),0.066 µm
Mr1 (%),22.68
Mr2 (%),81.24

Parámetro (ISO 16610/13565-2),Valor
Ra (ISO 16610),0.187 µm
Rq (ISO 16610),0.269 µm
Rp (ISO 16610),1.901 µm
Rv (ISO 16610),-1.084 µm
Rt (ISO 16610),2.984 µm
"Rz (ISO 4287:1997, perfil 16610)",1.396 µm
Rsk (ISO 16610),1.565
Rku (ISO 16610),14.277
RSm (ISO 16610),51.336 µm
Rdq (ISO 16610),13.636 µm/mm
Rda (ISO 16610),10.388 µm/mm
Pc (ISO 16610),23.40 1/mm
"Rpk (ISO 13565-2, 16610)",0.075 µm
"Rk (ISO 13565-2, 16610)",0.333 µm
"Rvk (ISO 13565-2, 16610)",0.076 µm
"Mr1 (ISO 13565-2, 16610) (%)",24.80
"Mr2 (ISO 13565-2, 16610) (%)",79.01
λc (mm),0.800
Fuente filtrado,primary
