Parámetro,Valor
Ra (Promedio Aritmético),3.072 µm
Rq (RMS),5.798 µm
Rp (Pico Máximo),18.140 µm
Rv (Valle Máximo),-15.344 µm
Rz/Rt (Altura Total),33.484 µm
Rz (ISO 4287:1997),13.721 µm
Rsk (Asimetría),-0.079
Rku (Curtosis),5.197
RSm (Anchura Media de Elementos),18.061 µm
Rpk (Altura de picos que se desgastan),3.943 µm
Rk (Profundidad del núcleo funcional),0.130 µm
Rvk (Profundidad de valles para lubricante),4.875 µm
Mr1 (%),37.69
Mr2 (%),69.53

Parámetro (ISO 16610/13565-2),Valor
Ra (ISO 16610),0.349 µm
Rq (ISO 16610),0.835 µm
Rp (ISO 16610),5.090 µm
Rv (ISO 16610),-3.599 µm
Rz/Rt (ISO 16610),8.689 µm
"Rz (ISO 4287:1997, perfil 16610)",3.395 µm
Rsk (ISO 16610),1.886
Rku (ISO 16610),14.901
RSm (ISO 16610),22.473 µm
"Rpk (ISO 13565-2, 16610)",0.519 µm
"Rk (ISO 13565-2, 16610)",0.047 µm
"Rvk (ISO 13565-2, 16610)",0.407 µm
"Mr1 (ISO 13565-2, 16610) (%)",31.43
"Mr2 (ISO 13565-2, 16610) (%)",63.63
λc (mm),0.800
Fuente filtrado,primary
