x (mm),altura (µm)
0.000000000,-2.064570517
0.000356049,-2.064420202
0.000712099,-2.064269887
0.001068148,-2.064119572
0.001424197,-2.063969258
0.001780246,-2.063818943
0.002136296,-2.063668628
0.002492345,-2.063518313
0.002848394,-2.063367999
0.003204443,-2.067217684
0.003560493,-2.067067369
0.003916542,-2.066917054
0.004272591,-2.066766740
0.004628641,-2.066616425
0.004984690,-2.066466110
0.005340739,-2.066315795
0.005696788,-2.066165480
0.006052838,-2.066015166
0.006408887,-2.069864851
0.006764936,-2.069714536
0.007120986,-2.069564221
0.007477035,-2.069413907
0.007833084,-2.069263592
0.008189133,-2.069113277
0.008545183,-2.068962962
0.008901232,-2.068812647
0.009257281,-2.068662333
0.009613330,-2.068512018
0.009969380,-2.068361703
0.010325429,-2.068211388
0.010681478,-2.068061074
0.011037528,-2.067910759
0.011393577,-2.067760444
0.011749626,-2.063610129
0.012105675,-2.063459814
0.012461725,-2.063309500
0.012817774,-2.063159185
0.013173823,-2.063008870
0.013529873,-2.058858555
0.013885922,-2.058708241
0.014241971,-2.058557926
0.014598020,-2.054407611
0.014954070,-2.054257296
0.015310119,-2.050106982
0.015666168,-2.049956667
0.016022217,-2.045806352
0.016378267,-2.045656037
0.016734316,-2.041505722
0.017090365,-2.041355408
0.017446415,-2.037205093
0.017802464,-2.033054778
0.018158513,-2.032904463
0.018514562,-2.028754149
0.018870612,-2.024603834
0.019226661,-2.024453519
0.019582710,-2.020303204
0.019938760,-2.016152889
0.020294809,-2.016002575
0.020650858,-2.011852260
0.021006907,-2.007701945
0.021362957,-2.003551630
0.021719006,-2.003401316
0.022075055,-1.999251001
0.022431104,-1.995100686
0.022787154,-1.994950371
0.023143203,-1.990800056
0.023499252,-1.990649742
0.023855302,-1.986499427
0.024211351,-1.982349112
0.024567400,-1.982198797
0.024923449,-1.978048483
0.025279499,-1.977898168
0.025635548,-1.973747853
0.025991597,-1.973597538
0.026347647,-1.969447224
0.026703696,-1.969296909
0.027059745,-1.965146594
