x (mm),altura (µm)
0.000000000,-0.181410426
0.000356049,-0.182193078
0.000712099,-0.182977805
0.001068148,-0.183764603
0.001424197,-0.184553474
0.001780246,-0.185344415
0.002136296,-0.186137425
0.002492345,-0.186932502
0.002848394,-0.187729646
0.003204443,-0.192528855
0.003560493,-0.193330127
0.003916542,-0.194133463
0.004272591,-0.194938857
0.004628641,-0.195746311
0.004984690,-0.196555822
0.005340739,-0.197367390
0.005696788,-0.198181010
0.006052838,-0.198996683
0.006408887,-0.203814407
0.006764936,-0.204634181
0.007120986,-0.205456002
0.007477035,-0.206279869
0.007833084,-0.207105780
0.008189133,-0.207933731
0.008545183,-0.208763722
0.008901232,-0.209595751
0.009257281,-0.210429817
0.009613330,-0.211265916
0.009969380,-0.212104048
0.010325429,-0.212944209
0.010681478,-0.213786399
0.011037528,-0.214630614
0.011393577,-0.215476854
0.011749626,-0.212325116
0.012105675,-0.213175396
0.012461725,-0.214027694
0.012817774,-0.214882005
0.013173823,-0.215738329
0.013529873,-0.212596662
0.013885922,-0.213457003
0.014241971,-0.214319350
0.014598020,-0.211183699
0.014954070,-0.212050048
0.015310119,-0.208918394
0.015666168,-0.209788735
0.016022217,-0.206661069
0.016378267,-0.207535393
0.016734316,-0.204411703
0.017090365,-0.205289997
0.017446415,-0.202170273
0.017802464,-0.199052528
0.018158513,-0.199936758
0.018514562,-0.196822961
0.018870612,-0.193711134
0.019226661,-0.194601274
0.019582710,-0.191493379
0.019938760,-0.188387444
0.020294809,-0.189283467
0.020650858,-0.186181446
0.021006907,-0.183081377
0.021362957,-0.179983256
0.021719006,-0.180887080
0.022075055,-0.177792848
0.022431104,-0.174700555
0.022787154,-0.175610197
0.023143203,-0.172521773
0.023499252,-0.173435278
0.023855302,-0.170350711
0.024211351,-0.167268065
0.024567400,-0.168187338
0.024923449,-0.165108528
0.025279499,-0.166031630
0.025635548,-0.162956641
0.025991597,-0.163883558
0.026347647,-0.160812377
0.026703696,-0.161743093
0.027059745,-0.158675705
0.027415794,-0.159610209
0.027771844,-0.156546599
0.028127893,-0.157484874
0.028483942,-0.154425029
0.028839991,-0.155367059
0.029196041,-0.152310963
0.029552090,-0.153256735
0.029908139,-0.150204371
0.030264189,-0.151153868
0.030620238,-0.152105222
0.030976287,-0.149058428
0.031332336,-0.146013484
0.031688386,-0.146970384
0.032044435,-0.143929124
0.032400484,-0.144889701
0.032756534,-0.141852110
0.033112583,-0.142816347
0.033468632,-0.139782408
0.033824681,-0.140750290
0.034180731,-0.137719985
0.034536780,-0.134691492
0.034892829,-0.135664807
0.035248878,-0.132639923
0.035604928,-0.133616837
0.035960977,-0.130595546
0.036317026,-0.127576042
0.036673076,-0.128558324
0.037029125,-0.125542385
0.037385174,-0.122528222
0.037741223,-0.123515830
0.038097273,-0.120505204
0.038453322,-0.121496340
0.038809371,-0.118489233
0.039165420,-0.119483878
0.039521470,-0.116480270
0.039877519,-0.117478405
0.040233568,-0.114478278
0.040589618,-0.115479884
0.040945667,-0.112483218
0.041301716,-0.113488275
0.041657765,-0.110495051
0.042013815,-0.111503540
0.042369864,-0.112513738
0.042725913,-0.113525640
0.043081963,-0.110539241
0.043438012,-0.111554534
0.043794061,-0.112571518
0.044150110,-0.113590184
0.044506160,-0.114610530
0.044862209,-0.115632548
0.045218258,-0.116656234
0.045574307,-0.117681583
0.045930357,-0.118708590
0.046286406,-0.119737250
0.046642455,-0.120767556
0.046998505,-0.121799506
0.047354554,-0.122833091
0.047710603,-0.123868309
0.048066652,-0.124905152
0.048422702,-0.125943617
0.048778751,-0.126983696
0.049134800,-0.132025385
0.049490850,-0.133068679
0.049846899,-0.134113572
0.050202948,-0.135160058
0.050558997,-0.136208132
0.050915047,-0.141257788
0.051271096,-0.142309022
0.051627145,-0.143361826
0.051983194,-0.144416196
0.052339244,-0.145472126
0.052695293,-0.146529610
0.053051342,-0.147588643
0.053407392,-0.148649218
0.053763441,-0.149711331
0.054119490,-0.150774975
0.054475539,-0.151840144
0.054831589,-0.152906832
0.055187638,-0.153975034
0.055543687,-0.155044744
0.055899737,-0.156115956
0.056255786,-0.153188664
0.056611835,-0.154262864
0.056967884,-0.155338547
0.057323934,-0.152415709
0.057679983,-0.153494343
0.058036032,-0.150574442
0.058392081,-0.151656003
0.058748131,-0.148739017
0.059104180,-0.149823478
0.059460229,-0.146909383
0.059816279,-0.143996723
0.060172328,-0.141085492
0.060528377,-0.142175684
0.060884426,-0.139267293
0.061240476,-0.136360314
0.061596525,-0.133454740
0.061952574,-0.130550564
0.062308624,-0.127647780
0.062664673,-0.124746381
0.063020722,-0.125846362
0.063376771,-0.122947716
0.063732821,-0.120050437
0.064088870,-0.117154518
0.064444919,-0.114259954
0.064800968,-0.111366737
0.065157018,-0.108474861
0.065513067,-0.105584320
0.065869116,-0.102695108
0.066225166,-0.099807218
0.066581215,-0.096920643
0.066937264,-0.098035378
0.067293313,-0.095151415
0.067649363,-0.092268749
0.068005412,-0.089387372
0.068361461,-0.086507276
0.068717511,-0.083628457
0.069073560,-0.080750907
0.069429609,-0.081874621
0.069785658,-0.078999592
0.070141708,-0.076125813
0.070497757,-0.073253278
0.070853806,-0.074381979
0.071209855,-0.071511911
0.071565905,-0.068643064
0.071921954,-0.065775434
0.072278003,-0.066909015
0.072634053,-0.064043799
0.072990102,-0.061179780
0.073346151,-0.062316950
0.073702200,-0.059455304
0.074058250,-0.056594835
0.074414299,-0.057735535
0.074770348,-0.054877400
0.075126397,-0.052020421
0.075482447,-0.053164592
0.075838496,-0.050309905
0.076194545,-0.047456354
0.076550595,-0.048603932
0.076906644,-0.045752634
0.077262693,-0.046902451
0.077618742,-0.044053376
0.077974792,-0.041205405
0.078330841,-0.042358529
0.078686890,-0.039512741
0.079042940,-0.040668035
0.079398989,-0.041824405
0.079755038,-0.038981841
0.080111087,-0.040140340
0.080467137,-0.041299891
0.080823186,-0.038460491
0.081179235,-0.039622132
0.081535284,-0.040784807
0.081891334,-0.041948507
0.082247383,-0.039113228
0.082603432,-0.040278962
0.082959482,-0.041445702
0.083315531,-0.042613440
0.083671580,-0.043782170
0.084027629,-0.044951885
0.084383679,-0.046122579
0.084739728,-0.047294244
0.085095777,-0.048466874
0.085451827,-0.049640460
0.085807876,-0.050814997
0.086163925,-0.051990476
0.086519974,-0.053166891
0.086876024,-0.054344235
0.087232073,-0.055522501
0.087588122,-0.056701682
0.087944171,-0.057881772
0.088300221,-0.055062762
0.088656270,-0.056244647
0.089012319,-0.057427416
0.089368369,-0.058611066
0.089724418,-0.055795588
0.090080467,-0.056980976
0.090436516,-0.054167223
0.090792566,-0.055354321
0.091148615,-0.052542262
0.091504664,-0.053731041
0.091860714,-0.050920650
0.092216763,-0.048111080
0.092572812,-0.045302327
0.092928861,-0.042494382
0.093284911,-0.039687238
0.093640960,-0.036880889
0.093997009,-0.034075327
0.094353058,-0.031270544
0.094709108,-0.028466534
0.095065157,-0.025663291
0.095421206,-0.022860805
0.095777256,-0.016059069
0.096133305,-0.013258080
0.096489354,-0.010457826
0.096845403,-0.003658302
0.097201453,-0.000859502
0.097557502,0.001938583
0.097913551,0.008735959
0.098269601,0.011532635
0.098625650,0.014328615
0.098981699,0.017123908
0.099337748,0.019918521
0.099693798,0.022712461
0.100049847,0.025505736
0.100405896,0.032298352
0.100761945,0.031090315
0.101117995,0.033881634
0.101474044,0.036672315
0.101830093,0.039462365
0.102186143,0.038251792
0.102542192,0.041040604
0.102898241,0.043828805
0.103254290,0.042616405
0.103610340,0.045403409
0.103966389,0.044189826
0.104322438,0.042975661
0.104678488,0.045760922
0.105034537,0.044545616
0.105390586,0.043329750
0.105746635,0.042113331
0.106102685,0.040896364
0.106458734,0.039678858
0.106814783,0.038460820
0.107170832,0.037242256
0.107526882,0.036023175
0.107882931,0.034803582
0.108238980,0.033583484
0.108595030,0.032362890
0.108951079,0.031141804
0.109307128,0.029920236
0.109663177,0.028698191
0.110019227,0.027475676
0.110375276,0.026252698
