Parámetro,Valor
Ra (Promedio Aritmético),3.895 µm
Rq (RMS),7.488 µm
Rp (Pico Máximo),25.716 µm
Rv (Valle Máximo),-21.944 µm
Rz/Rt (Altura Total),47.660 µm
Rz (ISO 4287:1997),18.837 µm
Rsk (Asimetría),-0.098
Rku (Curtosis),5.479
RSm (Anchura Media de Elementos),74.632 µm
Rpk (Altura de picos que se desgastan),6.201 µm
Rk (Profundidad del núcleo funcional),0.158 µm
Rvk (Profundidad de valles para lubricante),5.277 µm
Mr1 (%),30.01
Mr2 (%),63.96

Parámetro (ISO 16610/13565-2),Valor
Ra (ISO 16610),0.409 µm
Rq (ISO 16610),1.070 µm
Rp (ISO 16610),8.033 µm
Rv (ISO 16610),-3.346 µm
Rz/Rt (ISO 16610),11.379 µm
"Rz (ISO 4287:1997, perfil 16610)",4.201 µm
Rsk (ISO 16610),3.093
Rku (ISO 16610),22.970
RSm (ISO 16610),28.217 µm
"Rpk (ISO 13565-2, 16610)",0.552 µm
"Rk (ISO 13565-2, 16610)",0.049 µm
"Rvk (ISO 13565-2, 16610)",0.510 µm
"Mr1 (ISO 13565-2, 16610) (%)",33.97
"Mr2 (ISO 13565-2, 16610) (%)",64.35
λc (mm),0.800
Fuente filtrado,primary
