x (mm),altura (µm)
0.000000000,-0.546933369
0.000412541,-0.541528467
0.000825083,-0.536130979
0.001237624,-0.530740901
0.001650165,-0.525358226
0.002062706,-0.519982950
0.002475248,-0.518615069
0.002887789,-0.513254577
0.003300330,-0.511901470
0.003712871,-0.506555741
0.004125413,-0.505217383
0.004537954,-0.503886393
0.004950495,-0.502562765
0.005363036,-0.501246494
0.005775578,-0.499937571
0.006188119,-0.498635993
0.006600660,-0.497341753
0.007013201,-0.496054843
0.007425743,-0.494775258
0.007838284,-0.497502991
0.008250825,-0.496238036
0.008663366,-0.498980385
0.009075908,-0.497730031
0.009488449,-0.496486967
0.009900990,-0.499251188
0.010313531,-0.498022685
0.010726073,-0.500801451
0.011138614,-0.499587477
0.011551155,-0.502380757
0.011963696,-0.505181285
0.012376238,-0.503989051
0.012788779,-0.506804047
0.013201320,-0.505626266
0.013613861,-0.504455699
0.014026403,-0.507292338
0.014438944,-0.506136174
0.014851485,-0.508987200
0.015264026,-0.507845407
0.015676568,-0.506710786
0.016089109,-0.509583328
0.016501650,-0.508463025
0.016914191,-0.507349868
0.017326733,-0.506243847
0.017739274,-0.509144955
0.018151815,-0.508053180
0.018564356,-0.506968515
0.018976898,-0.505890950
0.019389439,-0.504820474
0.019801980,-0.503757078
0.020214521,-0.502700752
0.020627063,-0.501651486
0.021039604,-0.496609271
0.021452145,-0.495574095
0.021864686,-0.494545950
0.022277228,-0.493524824
0.022689769,-0.492510705
0.023102310,-0.487503584
0.023514851,-0.486503452
0.023927393,-0.485510296
0.024339934,-0.484524107
0.024752475,-0.479544874
0.025165017,-0.478572585
0.025577558,-0.477607229
0.025990099,-0.472648795
0.026402640,-0.471697272
0.026815182,-0.470752648
0.027227723,-0.465814910
0.027640264,-0.464884048
0.028052805,-0.463960050
0.028465347,-0.459042905
0.028877888,-0.458132601
0.029290429,-0.457229126
0.029702970,-0.452332467
0.030115512,-0.451442613
0.030528053,-0.446559551
0.030940594,-0.445683269
0.031353135,-0.440813754
0.031765677,-0.439950994
0.032178218,-0.439094976
0.032590759,-0.434245690
0.033003300,-0.433403121
0.033415842,-0.428567255
0.033828383,-0.427738081
0.034240924,-0.422915584
0.034653465,-0.422099752
0.035066007,-0.417290573
0.035478548,-0.416488032
0.035891089,-0.411692116
0.036303630,-0.410902813
0.036716172,-0.410120107
0.037128713,-0.405343986
0.037541254,-0.404574436
0.037953795,-0.399811443
0.038366337,-0.399054993
0.038778878,-0.398305073
0.039191419,-0.393561669
0.039603960,-0.392824765
0.040016502,-0.388094350
0.040429043,-0.387370406
0.040841584,-0.386652922
0.041254125,-0.381941880
0.041666667,-0.381237269
0.042079208,-0.380539072
0.042491749,-0.375847275
0.042904290,-0.375161865
0.043316832,-0.374482827
0.043729373,-0.373810145
0.044141914,-0.369143804
0.044554455,-0.368483790
0.044966997,-0.367830086
0.045379538,-0.367182678
0.045792079,-0.362541551
0.046204620,-0.361906690
0.046617162,-0.361278080
0.047029703,-0.356655704
0.047442244,-0.356039549
0.047854785,-0.351429598
0.048267327,-0.350825835
0.048679868,-0.350228244
0.049092409,-0.345636810
0.049504950,-0.341051516
0.049917492,-0.340472347
0.050330033,-0.335899287
0.050742574,-0.331332319
0.051155116,-0.326771428
0.051567657,-0.322216597
0.051980198,-0.317667811
0.052392739,-0.313125052
0.052805281,-0.308588305
0.053217822,-0.304057551
0.053630363,-0.295532775
0.054042904,-0.287013961
0.054455446,-0.278501090
0.054867987,-0.269994149
0.055280528,-0.261493117
0.055693069,-0.252997980
0.056105611,-0.240508720
0.056518152,-0.228025319
0.056930693,-0.219547760
0.057343234,-0.203076027
0.057755776,-0.186610104
0.058168317,-0.174149971
0.058580858,-0.157695611
0.058993399,-0.141247008
0.059405941,-0.120804145
0.059818482,-0.104367004
0.060231023,-0.083935568
0.060643564,-0.063509819
0.061056106,-0.039089740
0.061468647,-0.014675314
0.061881188,0.005733480
0.062293729,0.034136656
0.062706271,0.054534233
0.063118812,0.082926228
0.063531353,0.107312659
0.063943894,0.135693544
0.064356436,0.160068900
0.064768977,0.192438745
0.065181518,0.220803098
0.065594059,0.245161976
0.066006601,0.277515397
0.066419142,0.297863378
0.066831683,0.330205938
0.067244224,0.350543095
0.067656766,0.378874866
0.068069307,0.399201268
0.068481848,0.423522322
0.068894389,0.447838045
0.069306931,0.464148456
0.069719472,0.484453571
0.070132013,0.500753410
0.070544554,0.517047990
0.070957096,0.529337330
0.071369637,0.541621448
0.071782178,0.549900363
0.072194719,0.558174095
0.072607261,0.562442659
0.073019802,0.562706077
0.073432343,0.562964366
0.073844884,0.563217544
0.074257426,0.559465631
0.074669967,0.551708644
0.075082508,0.543946602
0.075495050,0.532179525
0.075907591,0.520407431
0.076320132,0.504630338
0.076732673,0.492848268
0.077145215,0.473061237
0.077557756,0.457269266
0.077970297,0.437472372
0.078382838,0.417670576
0.078795380,0.393863895
0.079207921,0.370052350
0.079620462,0.350235957
0.080033003,0.326414738
0.080445545,0.306588711
0.080858086,0.278757897
0.081270627,0.258922313
0.081683168,0.235081979
0.082095710,0.215236913
0.082508251,0.191387136
0.082920792,0.167532666
0.083333333,0.147673522
0.083745875,0.123809723
0.084158416,0.103941288
0.084570957,0.084068238
0.084983498,0.068190592
0.085396040,0.048308368
0.085808581,0.032421585
0.086221122,0.016530263
0.086633663,0.000634420
0.087046205,-0.011265922
0.087458746,-0.027170746
0.087871287,-0.039080032
0.088283828,-0.050993762
0.088696370,-0.062911916
0.089108911,-0.070834475
0.089521452,-0.082761420
0.089933993,-0.090692731
0.090346535,-0.098628389
0.090759076,-0.106568375
0.091171617,-0.114512669
0.091584158,-0.122461253
0.091996700,-0.126414107
0.092409241,-0.134371211
0.092821782,-0.138332547
0.093234323,-0.146298096
0.093646865,-0.150267839
0.094059406,-0.154241755
0.094471947,-0.158219825
0.094884488,-0.162202030
0.095297030,-0.166188351
0.095709571,-0.166178770
0.096122112,-0.170173266
0.096534653,-0.174171819
0.096947195,-0.174174412
0.097359736,-0.178181023
0.097772277,-0.178191634
0.098184818,-0.182206226
0.098597360,-0.182224780
0.099009901,-0.182247275
0.099422442,-0.182273694
0.099834983,-0.182304016
0.100247525,-0.182338222
0.100660066,-0.182376293
0.101072607,-0.182418211
0.101485149,-0.178463955
0.101897690,-0.178513507
0.102310231,-0.174566847
0.102722772,-0.170623956
0.103135314,-0.166684815
0.103547855,-0.166749405
0.103960396,-0.158817706
0.104372937,-0.154889701
0.104785479,-0.150965368
0.105198020,-0.143044690
0.105610561,-0.139127645
0.106023102,-0.135214218
0.106435644,-0.127304386
0.106848185,-0.119398134
0.107260726,-0.115495439
0.107673267,-0.107596286
0.108085809,-0.099700654
0.108498350,-0.095808524
0.108910891,-0.083919877
0.109323432,-0.080034694
0.109735974,-0.072152956
0.110148515,-0.068274644
0.110561056,-0.060399742
0.110973597,-0.056528228
0.111386139,-0.048660084
0.111798680,-0.044795291
0.112211221,-0.040933829
0.112623762,-0.033075681
0.113036304,-0.033220827
0.113448845,-0.029369251
0.113861386,-0.025520931
0.114273927,-0.025675850
0.114686469,-0.025833989
0.115099010,-0.021995329
0.115511551,-0.022159853
0.115924092,-0.026327540
0.116336634,-0.026498373
0.116749175,-0.026672333
0.117161716,-0.030849400
0.117574257,-0.035029558
0.117986799,-0.035212786
0.118399340,-0.039399069
0.118811881,-0.043588386
0.119224422,-0.047780720
0.119636964,-0.051976050
0.120049505,-0.056174360
0.120462046,-0.064375631
0.120874587,-0.068579845
0.121287129,-0.072786982
0.121699670,-0.076997026
0.122112211,-0.081209958
0.122524752,-0.085425760
0.122937294,-0.089644414
0.123349835,-0.093865901
0.123762376,-0.098090205
0.124174917,-0.102317308
0.124587459,-0.106547190
0.125000000,-0.110779833
0.125412541,-0.111015220
0.125825083,-0.115253335
0.126237624,-0.119494158
0.126650165,-0.119737671
0.127062706,-0.123983857
0.127475248,-0.124232697
0.127887789,-0.124484174
0.128300330,-0.128738272
0.128712871,-0.128994972
0.129125413,-0.129254258
0.129537954,-0.129516110
0.129950495,-0.129780511
0.130363036,-0.130047446
0.130775578,-0.134316895
0.131188119,-0.134588842
0.131600660,-0.134863269
0.132013201,-0.135140157
0.132425743,-0.135419492
0.132838284,-0.135701255
0.133250825,-0.135985430
0.133663366,-0.136271997
0.134075908,-0.136560943
0.134488449,-0.136852247
0.134900990,-0.137145896
0.135313531,-0.137441869
0.135726073,-0.137740151
0.136138614,-0.142040725
0.136551155,-0.142343573
0.136963696,-0.142648679
0.137376238,-0.142956027
0.137788779,-0.143265599
0.138201320,-0.147577379
0.138613861,-0.147891349
0.139026403,-0.148207493
0.139438944,-0.148525796
0.139851485,-0.152846239
0.140264026,-0.153168806
0.140676568,-0.153493481
0.141089109,-0.157820247
0.141501650,-0.158149088
0.141914191,-0.158479987
0.142326733,-0.162812928
0.142739274,-0.163147896
0.143151815,-0.163484873
0.143564356,-0.167823844
0.143976898,-0.168164793
0.144389439,-0.172507704
0.144801980,-0.172852560
0.145214521,-0.173199345
0.145627063,-0.177548045
0.146039604,-0.177898642
0.146452145,-0.182251120
0.146864686,-0.182605464
0.147277228,-0.182961659
0.147689769,-0.187319689
0.148102310,-0.187679538
0.148514851,-0.188041189
0.148927393,-0.192404629
0.149339934,-0.192769842
0.149752475,-0.193136812
0.150165017,-0.197505522
0.150577558,-0.197875960
0.150990099,-0.198248109
0.151402640,-0.198621955
0.151815182,-0.198997482
0.152227723,-0.203374673
0.152640264,-0.203753516
0.153052805,-0.204133995
0.153465347,-0.204516095
0.153877888,-0.204899802
0.154290429,-0.205285100
0.154702970,-0.205671975
0.155115512,-0.206060413
0.155528053,-0.206450398
0.155940594,-0.206841916
0.156353135,-0.207234953
0.156765677,-0.207629494
0.157178218,-0.208025524
0.157590759,-0.208423029
0.158003300,-0.208821997
0.158415842,-0.209222411
0.158828383,-0.209624258
0.159240924,-0.210027525
0.159653465,-0.210432197
0.160066007,-0.206838260
0.160478548,-0.207245700
0.160891089,-0.207654504
0.161303630,-0.208064658
0.161716172,-0.208476147
0.162128713,-0.204888958
0.162541254,-0.205303079
0.162953795,-0.205718496
0.163366337,-0.206135192
0.163778878,-0.202553157
0.164191419,-0.202972377
0.164603960,-0.203392839
0.165016502,-0.199814529
0.165429043,-0.200237434
0.165841584,-0.200661542
0.166254125,-0.197086838
0.166666667,-0.197513309
0.167079208,-0.197940944
0.167491749,-0.194369730
0.167904290,-0.194799653
0.168316832,-0.195230702
0.168729373,-0.191662863
0.169141914,-0.192096122
0.169554455,-0.188530469
0.169966997,-0.188965889
0.170379538,-0.189402372
0.170792079,-0.189839906
0.171204620,-0.186278477
0.171617162,-0.186718073
0.172029703,-0.187158682
0.172442244,-0.183600292
0.172854785,-0.184042891
0.173267327,-0.180486467
0.173679868,-0.180931009
0.174092409,-0.177376503
0.174504950,-0.177822937
0.174917492,-0.174270302
0.175330033,-0.174718583
0.175742574,-0.171167770
0.176155116,-0.167617851
0.176567657,-0.164068815
0.176980198,-0.156520651
0.177392739,-0.152973344
0.177805281,-0.149426886
0.178217822,-0.141881263
0.178630363,-0.134336463
0.179042904,-0.126792477
0.179455446,-0.119249294
0.179867987,-0.107706901
0.180280528,-0.100165288
0.180693069,-0.088624443
0.181105611,-0.077084354
0.181518152,-0.065545014
0.181930693,-0.054006408
0.182343234,-0.038468528
0.182755776,-0.026931362
0.183168317,-0.011394900
0.183580858,0.004140868
0.183993399,0.015675952
0.184405941,0.031210362
0.184818482,0.046744108
0.185231023,0.062277203
0.185643564,0.073809652
0.186056106,0.085341468
0.186468647,0.096872659
0.186881188,0.112403235
0.187293729,0.123933207
0.187706271,0.127462584
0.188118812,0.138991374
0.188531353,0.142519586
0.188943894,0.150047230
