x (mm),altura (µm)
0.000000000,-2.079426135
0.000412541,-2.071463921
0.000825083,-2.067501707
0.001237624,-2.063539493
0.001650165,-2.055577279
0.002062706,-2.051615065
0.002475248,-2.047652851
0.002887789,-2.043690637
0.003300330,-2.043728423
0.003712871,-2.035766209
0.004125413,-2.035803995
0.004537954,-2.031841781
0.004950495,-2.031879567
0.005363036,-2.031917353
0.005775578,-2.027955139
0.006188119,-2.027992925
0.006600660,-2.024030711
0.007013201,-2.024068497
0.007425743,-2.024106282
0.007838284,-2.024144068
0.008250825,-2.024181854
0.008663366,-2.024219640
0.009075908,-2.024257426
0.009488449,-2.024295212
0.009900990,-2.024332998
0.010313531,-2.024370784
0.010726073,-2.028408570
0.011138614,-2.024446356
0.011551155,-2.028484142
0.011963696,-2.028521928
0.012376238,-2.028559714
0.012788779,-2.032597500
0.013201320,-2.028635286
0.013613861,-2.028673072
0.014026403,-2.028710858
0.014438944,-2.028748644
0.014851485,-2.032786430
0.015264026,-2.028824216
0.015676568,-2.028862002
0.016089109,-2.032899788
0.016501650,-2.028937574
0.016914191,-2.028975360
0.017326733,-2.025013146
0.017739274,-2.029050932
0.018151815,-2.029088718
0.018564356,-2.025126504
0.018976898,-2.025164289
0.019389439,-2.021202075
0.019801980,-2.021239861
0.020214521,-2.021277647
0.020627063,-2.017315433
0.021039604,-2.013353219
0.021452145,-2.013391005
0.021864686,-2.009428791
0.022277228,-2.009466577
0.022689769,-2.005504363
0.023102310,-2.001542149
0.023514851,-2.001579935
0.023927393,-1.997617721
0.024339934,-1.997655507
0.024752475,-1.993693293
0.025165017,-1.989731079
0.025577558,-1.989768865
0.025990099,-1.981806651
0.026402640,-1.981844437
0.026815182,-1.981882223
0.027227723,-1.973920009
0.027640264,-1.973957795
0.028052805,-1.973995581
0.028465347,-1.966033367
0.028877888,-1.966071153
0.029290429,-1.962108939
0.029702970,-1.958146725
0.030115512,-1.958184511
0.030528053,-1.950222296
0.030940594,-1.950260082
0.031353135,-1.946297868
0.031765677,-1.942335654
0.032178218,-1.942373440
0.032590759,-1.938411226
0.033003300,-1.934449012
0.033415842,-1.930486798
0.033828383,-1.926524584
0.034240924,-1.922562370
0.034653465,-1.922600156
0.035066007,-1.914637942
0.035478548,-1.914675728
0.035891089,-1.910713514
0.036303630,-1.906751300
0.036716172,-1.906789086
0.037128713,-1.898826872
