Parámetro,Valor
Ra (Promedio Aritmético),3.994 µm
Rq (RMS),6.917 µm
Rp (Pico Máximo),23.420 µm
Rv (Valle Máximo),-17.408 µm
Rz/Rt (Altura Total),40.828 µm
Rz (ISO 4287:1997),17.506 µm
Rsk (Asimetría),-0.017
Rku (Curtosis),4.550
RSm (Anchura Media de Elementos),56.935 µm
Rpk (Altura de picos que se desgastan),4.732 µm
Rk (Profundidad del núcleo funcional),0.283 µm
Rvk (Profundidad de valles para lubricante),7.448 µm
Mr1 (%),40.16
Mr2 (%),74.63

Parámetro (ISO 16610/13565-2),Valor
Ra (ISO 16610),0.433 µm
Rq (ISO 16610),0.900 µm
Rp (ISO 16610),8.088 µm
Rv (ISO 16610),-3.627 µm
Rz/Rt (ISO 16610),11.715 µm
"Rz (ISO 4287:1997, perfil 16610)",5.198 µm
Rsk (ISO 16610),1.859
Rku (ISO 16610),16.825
RSm (ISO 16610),40.584 µm
"Rpk (ISO 13565-2, 16610)",0.651 µm
"Rk (ISO 13565-2, 16610)",0.070 µm
"Rvk (ISO 13565-2, 16610)",0.468 µm
"Mr1 (ISO 13565-2, 16610) (%)",30.87
"Mr2 (ISO 13565-2, 16610) (%)",62.76
λc (mm),0.800
Fuente filtrado,primary
